cluster_id,cluster_size,signal_counts,long_open,long_close,short_open,short_close,long_pairs,short_pairs,total_pairs,signal_density
161,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
162,3,"{2: 1, 3: 1, 1: 1}",1,0,1,1,0,1,1,0.3333333333333333
163,1,{2: 1},0,0,0,1,0,0,0,0.0
164,1,{1: 1},0,0,1,0,0,0,0,0.0
165,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
166,3,"{4: 1, 1: 1, 2: 1}",0,1,1,1,0,1,1,0.3333333333333333
167,2,"{1: 1, 2: 1}",0,0,1,1,0,1,1,0.5
168,2,"{3: 1, 4: 1}",1,1,0,0,1,0,1,0.5
169,1,{1: 1},0,0,1,0,0,0,0,0.0
170,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
171,1,{2: 1},0,0,0,1,0,0,0,0.0
172,1,{3: 1},1,0,0,0,0,0,0,0.0
173,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
174,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
175,2,"{1: 1, 2: 1}",0,0,1,1,0,1,1,0.5
176,1,{3: 1},1,0,0,0,0,0,0,0.0
177,1,{1: 1},0,0,1,0,0,0,0,0.0
178,1,{1: 1},0,0,1,0,0,0,0,0.0
179,2,"{1: 1, 2: 1}",0,0,1,1,0,1,1,0.5
180,1,{3: 1},1,0,0,0,0,0,0,0.0
181,1,{1: 1},0,0,1,0,0,0,0,0.0
182,1,{2: 1},0,0,0,1,0,0,0,0.0
183,1,{1: 1},0,0,1,0,0,0,0,0.0
184,1,{2: 1},0,0,0,1,0,0,0,0.0
185,1,{1: 1},0,0,1,0,0,0,0,0.0
186,1,{1: 1},0,0,1,0,0,0,0,0.0
187,2,{1: 2},0,0,2,0,0,0,0,0.0
188,3,"{2: 2, 3: 1}",1,0,0,2,0,0,0,0.0
189,1,{4: 1},0,1,0,0,0,0,0,0.0
190,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
191,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
192,1,{1: 1},0,0,1,0,0,0,0,0.0
193,1,{2: 1},0,0,0,1,0,0,0,0.0
194,1,{1: 1},0,0,1,0,0,0,0,0.0
195,1,{2: 1},0,0,0,1,0,0,0,0.0
196,1,{1: 1},0,0,1,0,0,0,0,0.0
197,1,{2: 1},0,0,0,1,0,0,0,0.0
198,1,{1: 1},0,0,1,0,0,0,0,0.0
199,1,{2: 1},0,0,0,1,0,0,0,0.0
200,1,{1: 1},0,0,1,0,0,0,0,0.0
201,1,{2: 1},0,0,0,1,0,0,0,0.0
202,1,{1: 1},0,0,1,0,0,0,0,0.0
203,1,{2: 1},0,0,0,1,0,0,0,0.0
204,1,{1: 1},0,0,1,0,0,0,0,0.0
205,1,{2: 1},0,0,0,1,0,0,0,0.0
206,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
207,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
208,1,{1: 1},0,0,1,0,0,0,0,0.0
209,1,{2: 1},0,0,0,1,0,0,0,0.0
210,1,{1: 1},0,0,1,0,0,0,0,0.0
211,1,{2: 1},0,0,0,1,0,0,0,0.0
212,1,{1: 1},0,0,1,0,0,0,0,0.0
213,1,{2: 1},0,0,0,1,0,0,0,0.0
214,1,{1: 1},0,0,1,0,0,0,0,0.0
215,1,{2: 1},0,0,0,1,0,0,0,0.0
216,1,{3: 1},1,0,0,0,0,0,0,0.0
217,2,"{1: 1, 2: 1}",0,0,1,1,0,1,1,0.5
218,1,{1: 1},0,0,1,0,0,0,0,0.0
219,1,{2: 1},0,0,0,1,0,0,0,0.0
220,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
221,2,"{2: 1, 3: 1}",1,0,0,1,0,0,0,0.0
222,1,{1: 1},0,0,1,0,0,0,0,0.0
223,1,{2: 1},0,0,0,1,0,0,0,0.0
224,1,{1: 1},0,0,1,0,0,0,0,0.0
225,1,{2: 1},0,0,0,1,0,0,0,0.0
226,1,{1: 1},0,0,1,0,0,0,0,0.0
227,1,{1: 1},0,0,1,0,0,0,0,0.0
228,1,{2: 1},0,0,0,1,0,0,0,0.0
229,1,{1: 1},0,0,1,0,0,0,0,0.0
230,1,{2: 1},0,0,0,1,0,0,0,0.0
231,1,{1: 1},0,0,1,0,0,0,0,0.0
232,1,{2: 1},0,0,0,1,0,0,0,0.0
233,2,"{1: 1, 4: 1}",0,1,1,0,0,0,0,0.0
234,3,"{2: 2, 3: 1}",1,0,0,2,0,0,0,0.0
235,1,{1: 1},0,0,1,0,0,0,0,0.0
236,2,{1: 2},0,0,2,0,0,0,0,0.0
237,1,{2: 1},0,0,0,1,0,0,0,0.0
238,1,{3: 1},1,0,0,0,0,0,0,0.0
239,1,{4: 1},0,1,0,0,0,0,0,0.0
