x,a,b,c,d,index_value,true_index_value,label
2,116,193,234,159,322,3726.01,0
3,116,194,234,159,361,3721.57,0
4,115,201,234,159,380,3719.4,0
5,113,192,234,159,378,3719.63,0
6,113,185,232,159,366,3721.0,0
7,112,169,206,158,336,3724.42,0
8,99,164,192,158,338,3724.19,0
9,99,165,184,158,339,3724.07,0
10,98,164,184,158,354,3722.37,0
11,94,154,169,158,348,3723.05,0
12,93,154,175,159,350,3722.82,0
13,101,155,170,159,353,3722.48,0
14,101,159,169,159,359,3721.8,0
15,101,155,168,159,350,3722.82,0
16,100,153,173,159,348,3723.05,0
17,103,147,166,159,338,3724.19,0
18,106,142,156,159,331,3724.99,0
19,108,136,144,159,326,3725.56,0
20,111,131,136,159,316,3726.7,0
21,111,124,138,159,312,3727.15,0
22,110,119,130,159,306,3727.84,0
23,107,117,120,159,304,3728.06,0
24,112,119,112,159,315,3726.81,0
25,112,120,123,159,316,3726.7,0
26,114,124,131,159,320,3726.24,0
27,115,122,124,159,312,3727.15,0
28,115,124,118,159,311,3727.27,0
29,115,124,113,159,310,3727.38,0
30,114,122,121,159,306,3727.84,0
31,112,121,118,159,303,3728.18,0
32,108,118,110,158,296,3728.97,0
33,103,117,105,158,292,3729.43,0
34,102,118,109,159,293,3729.32,0
35,111,124,111,159,299,3728.63,0
36,116,128,115,159,308,3727.61,0
37,120,135,117,160,318,3726.47,0
38,121,140,117,160,325,3725.67,0
39,124,144,128,160,334,3724.64,0
40,130,151,136,161,345,3723.39,0
41,136,154,136,162,352,3722.59,0
42,140,159,142,163,359,3721.8,0
43,145,160,154,164,361,3721.57,0
44,145,161,160,164,362,3721.45,0
45,144,161,158,164,363,3721.34,0
46,145,156,154,165,356,3722.14,0
47,149,156,151,165,356,3722.14,0
48,150,156,155,166,361,3721.57,0
49,155,160,158,166,371,3720.43,0
50,157,163,157,167,379,3719.52,0
51,162,166,156,168,382,3719.17,0
52,167,170,167,170,389,3718.38,0
53,175,174,173,172,400,3717.12,0
54,180,181,177,174,410,3715.98,0
55,189,187,181,176,425,3714.27,0
56,197,191,187,178,428,3713.93,0
57,198,194,201,180,432,3713.48,0
58,198,192,206,180,432,3713.48,0
59,198,188,202,180,426,3714.16,0
60,197,185,196,180,422,3714.62,0
61,198,180,194,180,410,3715.98,0
62,198,179,188,181,410,3715.98,0
63,200,179,182,181,411,3715.87,0
64,202,179,182,182,414,3715.53,0
65,203,177,179,183,411,3715.87,0
66,203,175,181,183,409,3716.1,0
67,205,174,178,183,409,3716.1,0
68,205,170,174,183,408,3716.21,0
69,204,168,171,183,407,3716.33,0
70,201,161,170,183,398,3717.35,0
71,200,158,165,183,393,3717.92,0
72,200,155,156,183,387,3718.6,0
73,200,155,152,184,387,3718.6,0
74,200,155,153,184,388,3718.49,0
75,199,154,155,184,389,3718.38,0
76,200,153,154,184,390,3718.26,0
77,201,152,152,185,389,3718.38,0
78,201,149,148,184,383,3719.06,0
79,200,145,147,184,374,3720.09,0
80,198,143,143,184,369,3720.66,0
81,197,138,138,184,359,3721.8,0
82,197,137,135,184,355,3722.25,0
83,196,133,129,184,349,3722.93,0
84,195,131,131,184,345,3723.39,0
85,194,131,129,184,348,3723.05,0
86,194,133,128,184,354,3722.37,0
87,196,140,128,185,371,3720.43,0
88,198,141,136,186,379,3719.52,0
89,198,144,144,186,387,3718.6,0
90,198,142,145,185,380,3719.4,0
91,196,139,138,185,367,3720.88,0
92,195,138,134,185,360,3721.68,0
93,194,137,134,185,354,3722.37,0
94,193,135,132,185,351,3722.71,0
95,192,134,130,185,348,3723.05,0
96,192,133,128,185,345,3723.39,0
97,192,132,128,184,340,3723.96,0
98,191,129,126,183,335,3724.53,0
99,189,126,121,183,329,3725.21,0
100,186,124,115,183,325,3725.67,0
101,185,125,113,183,335,3724.53,0
102,184,128,115,182,336,3724.42,0
103,184,131,119,182,343,3723.62,0
104,183,130,120,182,340,3723.96,0
105,180,128,117,182,335,3724.53,0
106,180,127,115,182,332,3724.87,0
107,180,126,115,182,331,3724.99,0
108,180,123,111,180,328,3725.33,0
109,179,119,107,178,321,3726.13,0
110,176,115,102,177,310,3727.38,0
111,171,110,97,177,299,3728.63,0
112,167,106,95,177,289,3729.77,0
113,165,104,91,177,285,3730.23,1
114,164,108,89,177,298,3728.75,1
115,164,109,89,176,305,3727.95,1
116,163,112,98,176,316,3726.7,1
117,163,113,98,176,313,3727.04,1
118,163,116,94,177,317,3726.58,1
119,165,118,94,177,319,3726.35,1
120,165,120,101,178,328,3725.33,1
121,165,120,104,178,329,3725.21,1
122,166,122,103,178,332,3724.87,1
123,166,123,103,178,331,3724.99,1
124,168,123,103,179,331,3724.99,1
125,168,123,106,179,328,3725.33,1
126,168,124,106,179,329,3725.21,1
127,168,125,105,179,330,3725.1,1
128,168,123,105,178,326,3725.56,1
129,167,121,104,177,322,3726.01,1
130,165,119,100,177,316,3726.7,1
131,163,118,98,178,315,3726.81,1
132,163,119,97,178,317,3726.58,1
133,165,120,95,178,320,3726.24,1
134,166,122,101,179,320,3726.24,1
135,166,124,104,179,323,3725.9,1
136,167,127,104,180,327,3725.44,1
137,168,129,105,180,330,3725.1,1
138,170,132,110,181,335,3724.53,1
139,170,133,112,182,337,3724.3,1
140,173,138,113,182,344,3723.5,1
141,176,141,113,184,347,3723.16,1
142,177,145,117,185,355,3722.25,1
143,178,147,125,185,354,3722.37,1
144,179,146,128,186,353,3722.48,1
145,181,147,124,187,352,3722.59,1
146,184,151,124,188,361,3721.57,1
147,187,154,130,190,366,3721.0,1
148,189,157,137,191,374,3720.09,1
149,189,157,140,191,369,3720.66,1
150,189,152,139,190,365,3721.11,1
151,188,151,135,189,352,3722.59,1
152,186,146,132,189,349,3722.93,1
153,185,146,132,190,351,3722.71,1
154,185,146,130,190,352,3722.59,1
155,185,145,130,190,356,3722.14,1
156,185,146,132,190,361,3721.57,1
157,186,148,131,191,366,3721.0,1
