x,a,b,c,d,index_value,true_index_value,label
2,192,99,212,51,372,3772.81,0
3,192,100,212,52,403,3771.53,0
4,212,103,212,52,449,3769.63,0
5,212,95,213,51,408,3771.32,0
6,211,89,201,51,386,3772.23,0
7,174,90,190,52,346,3773.88,0
8,241,104,194,54,372,3772.81,0
9,241,106,200,56,379,3772.52,0
10,240,103,206,55,368,3772.97,0
11,218,97,211,55,361,3773.26,0
12,180,90,204,55,346,3773.88,0
13,177,90,196,55,354,3773.55,0
14,177,90,184,55,355,3773.51,0
15,177,91,178,55,359,3773.35,0
16,184,93,191,52,374,3772.73,0
17,184,88,190,51,371,3772.85,0
18,183,86,181,50,366,3773.06,0
19,160,76,165,49,351,3773.68,0
20,126,77,171,48,354,3773.55,0
21,122,77,175,48,358,3773.39,0
22,106,75,175,49,347,3773.84,0
23,112,73,165,51,324,3774.79,0
24,153,75,156,53,310,3775.37,0
25,166,83,172,56,332,3774.46,0
26,177,91,186,58,364,3773.14,0
27,183,96,189,59,391,3772.02,0
28,208,96,182,61,394,3771.9,0
29,208,95,178,64,369,3772.93,0
30,207,93,188,63,357,3773.43,0
31,202,83,182,58,329,3774.59,0
32,199,74,169,55,291,3776.16,0
33,185,65,159,54,266,3777.19,0
34,173,58,154,54,246,3778.02,0
35,158,60,154,54,256,3777.6,0
36,158,62,155,52,276,3776.78,0
37,157,57,148,51,265,3777.23,0
38,149,50,139,51,244,3778.1,0
39,138,45,145,51,245,3778.06,0
40,138,48,143,51,246,3778.02,0
41,141,52,141,51,263,3777.31,0
42,155,59,141,52,258,3777.52,0
43,159,65,153,57,262,3777.35,0
44,161,69,162,57,263,3777.31,0
45,161,73,163,57,269,3777.07,0
46,160,73,158,57,262,3777.35,0
47,160,79,153,57,266,3777.19,0
48,176,85,160,59,276,3776.78,0
49,176,91,166,59,285,3776.4,0
50,175,90,167,58,288,3776.28,0
51,172,89,163,58,275,3776.82,0
52,165,84,163,57,268,3777.11,0
53,160,84,164,57,266,3777.19,0
54,159,86,159,57,276,3776.78,0
55,165,90,154,59,296,3775.95,0
56,166,91,152,58,301,3775.74,0
57,166,88,155,56,295,3775.99,0
58,165,84,150,56,268,3777.11,0
59,154,81,144,55,260,3777.44,0
60,152,77,139,51,244,3778.1,0
61,150,73,139,50,227,3778.8,0
62,142,69,133,50,216,3779.26,0
63,132,65,126,49,201,3779.88,0
64,129,58,121,49,190,3780.33,0
65,127,50,116,43,152,3781.9,0
66,118,38,111,37,121,3783.18,0
67,90,31,107,32,84,3784.71,0
68,78,27,101,30,79,3784.92,0
69,75,16,100,28,46,3786.28,0
70,71,14,99,16,40,3786.53,0
71,47,4,94,15,15,3787.56,0
72,36,3,90,9,17,3787.48,0
73,25,5,84,9,23,3787.23,0
74,27,13,84,9,49,3786.16,0
75,27,19,93,9,59,3785.75,0
76,26,26,99,7,77,3785.0,0
77,21,26,97,5,76,3785.04,0
78,20,27,93,5,83,3784.75,0
79,21,31,93,5,92,3784.38,0
80,21,35,96,4,110,3783.64,0
81,21,39,100,4,116,3783.39,0
82,22,40,101,7,122,3783.14,0
83,27,46,99,10,136,3782.56,0
84,37,48,101,10,150,3781.98,0
85,38,58,110,10,169,3781.2,0
86,38,60,110,10,174,3780.99,0
87,40,60,110,11,173,3781.03,0
