x,a,b,c,d,index_value,true_index_value,label
1,140,130,196,7,254,3776.24,0
2,140,130,196,7,254,3776.24,0
3,140,129,196,5,254,3776.24,0
4,139,129,196,6,270,3775.63,0
5,129,132,200,6,271,3775.59,0
6,131,131,199,6,276,3775.4,0
7,132,130,193,7,271,3775.59,0
8,146,132,192,7,310,3774.11,0
9,148,131,187,8,310,3774.11,0
10,174,131,178,9,368,3771.91,0
11,174,126,169,11,368,3771.91,0
12,194,126,185,13,400,3770.69,0
13,194,124,186,14,400,3770.69,0
14,193,123,180,14,418,3770.01,0
15,192,119,170,12,412,3770.23,0
16,192,117,182,10,415,3770.12,0
17,191,109,178,10,406,3770.46,0
18,177,103,163,11,394,3770.92,0
19,180,96,148,13,382,3771.37,0
20,181,96,140,15,384,3771.3,0
21,196,95,151,17,412,3770.23,0
22,204,93,150,21,415,3770.12,0
23,209,92,141,23,427,3769.66,0
24,223,90,133,29,440,3769.17,0
25,235,90,146,31,441,3769.13,0
26,235,87,148,33,430,3769.55,0
27,234,78,140,33,379,3771.49,0
28,230,73,127,32,363,3772.1,0
29,225,66,127,32,328,3773.43,0
30,225,69,128,33,342,3772.89,0
31,225,69,124,34,342,3772.89,0
32,226,69,117,35,340,3772.97,0
33,229,68,107,37,337,3773.08,0
34,230,66,116,38,336,3773.12,0
35,230,65,114,37,335,3773.16,0
36,229,62,106,37,335,3773.16,0
37,226,63,104,37,347,3772.7,0
38,226,67,106,38,361,3772.17,0
39,227,67,114,40,372,3771.75,0
40,233,68,114,41,405,3770.5,0
41,238,70,109,45,411,3770.27,0
42,238,73,111,45,430,3769.55,0
43,238,69,118,44,413,3770.2,0
44,236,66,115,44,402,3770.61,0
45,235,61,105,45,394,3770.92,0
46,236,60,97,47,404,3770.54,0
47,236,62,92,48,405,3770.5,0
48,236,63,98,48,403,3770.58,0
49,239,68,95,48,411,3770.27,0
50,239,69,91,50,411,3770.27,0
51,240,71,93,51,414,3770.16,0
52,240,69,101,51,404,3770.54,0
53,239,67,98,51,404,3770.54,0
54,238,61,92,52,385,3771.26,0
55,239,57,84,53,371,3771.79,0
56,239,53,77,52,358,3772.29,0
57,239,47,77,50,337,3773.08,0
58,238,41,71,49,314,3773.96,0
59,235,37,59,48,297,3774.6,0
60,229,29,52,44,269,3775.67,0
61,227,23,55,43,237,3776.88,0
62,224,21,51,44,230,3777.15,0
63,223,22,46,46,209,3777.95,0
64,223,24,46,46,205,3778.1,0
65,222,23,45,46,193,3778.55,0
66,221,21,48,46,187,3778.78,0
67,219,22,46,47,172,3779.35,0
68,220,25,44,47,174,3779.28,0
69,221,27,43,48,178,3779.12,0
70,225,37,51,50,213,3777.79,0
71,225,39,54,52,218,3777.6,0
72,226,46,59,52,243,3776.65,0
73,226,43,58,51,223,3777.41,0
74,225,40,54,51,202,3778.21,0
75,222,37,54,51,183,3778.93,0
76,223,42,53,52,194,3778.52,0
77,229,50,54,54,215,3777.72,0
78,238,56,57,61,232,3777.07,0
79,241,66,72,65,259,3776.05,0
80,242,68,79,67,260,3776.01,0
81,242,69,81,65,256,3776.16,0
82,241,65,77,64,245,3776.58,0
83,237,61,72,63,225,3777.34,0
84,235,57,70,61,222,3777.45,0
85,234,54,67,60,218,3777.6,0
86,232,52,62,55,211,3777.87,0
87,230,46,56,53,184,3778.9,0
88,226,44,56,52,177,3779.16,0
89,218,41,56,52,167,3779.54,0
90,216,43,53,52,180,3779.05,0
91,216,46,51,49,185,3778.86,0
92,216,45,51,46,186,3778.82,0
93,215,41,53,44,172,3779.35,0
94,208,35,49,43,165,3779.62,0
95,205,26,45,40,150,3780.19,0
96,204,22,40,39,126,3781.1,0
97,202,16,35,39,123,3781.21,0
98,197,18,31,39,120,3781.33,0
99,197,23,31,39,138,3780.64,0
100,198,27,34,39,158,3779.88,0
101,201,36,39,40,187,3778.78,0
102,202,37,47,44,195,3778.48,0
103,203,41,50,45,213,3777.79,0
104,203,41,48,45,214,3777.76,0
105,204,41,45,46,220,3777.53,0
106,205,41,45,47,225,3777.34,0
107,205,41,45,47,227,3777.26,0
108,205,39,43,46,218,3777.6,0
109,204,37,38,46,211,3777.87,0
110,203,36,33,46,203,3778.17,0
111,202,37,36,46,205,3778.1,0
112,202,38,36,46,211,3777.87,0
113,202,38,35,46,208,3777.98,0
114,202,38,33,46,203,3778.17,0
115,202,37,33,46,194,3778.52,0
116,202,38,33,46,188,3778.74,0
117,203,43,32,48,205,3778.1,0
118,204,44,32,49,210,3777.91,0
119,204,48,36,49,231,3777.11,0
120,205,48,43,49,231,3777.11,0
121,206,48,43,50,228,3777.22,0
122,206,46,40,51,220,3777.53,0
123,206,44,37,51,219,3777.57,0
124,207,43,34,51,218,3777.6,0
125,207,43,38,50,213,3777.79,0
126,206,42,38,51,213,3777.79,0
127,205,40,36,51,206,3778.06,0
128,205,40,35,50,206,3778.06,0
129,204,38,35,50,200,3778.29,0
130,204,37,34,49,200,3778.29,0
131,203,35,30,49,192,3778.59,0
132,202,36,28,49,192,3778.59,0
133,201,37,28,49,192,3778.59,0
134,201,38,30,48,193,3778.55,0
135,201,36,30,48,192,3778.59,0
136,201,35,27,47,197,3778.4,0
137,200,34,26,46,198,3778.36,0
138,199,32,28,46,198,3778.36,0
139,198,31,25,45,188,3778.74,0
140,197,29,21,45,180,3779.05,0
141,197,28,20,44,170,3779.43,0
142,196,26,19,42,164,3779.66,0
143,195,21,19,37,143,3780.45,0
144,194,17,16,34,137,3780.68,0
145,188,10,12,32,106,3781.86,0
146,186,6,8,30,90,3782.47,0
147,183,1,8,29,72,3783.15,0
148,179,1,8,29,56,3783.76,0
149,179,3,7,29,53,3783.87,0
150,179,7,7,29,65,3783.42,0
151,182,14,8,30,87,3782.58,0
152,183,19,16,32,114,3781.56,0
153,183,24,23,33,127,3781.06,0
154,183,23,24,33,126,3781.1,0
155,184,23,19,34,119,3781.37,0
156,184,23,21,34,121,3781.29,0
157,184,23,22,34,127,3781.06,0
158,184,22,18,34,127,3781.06,0
159,184,23,16,35,123,3781.21,0
160,185,25,16,35,118,3781.4,0
161,185,27,18,36,129,3780.99,0
162,190,36,19,37,153,3780.07,0
163,192,38,23,43,171,3779.39,0
164,193,46,32,45,190,3778.67,0
165,194,46,39,46,181,3779.01,0
166,195,46,39,47,181,3779.01,0
167,195,46,38,48,181,3779.01,0
168,195,46,36,47,178,3779.12,0
169,195,42,34,46,157,3779.92,0
170,194,41,35,46,154,3780.04,0
171,193,39,32,46,154,3780.04,0
172,193,41,32,46,158,3779.88,0
173,195,44,31,47,173,3779.31,0
174,195,45,33,49,174,3779.28,0
175,195,46,35,49,185,3778.86,0
176,196,46,34,49,188,3778.74,0
177,196,46,33,50,190,3778.67,0
178,196,46,32,50,186,3778.82,0
179,198,48,34,51,185,3778.86,0
180,199,49,36,54,172,3779.35,0
181,200,50,37,55,171,3779.39,0
182,200,49,36,55,162,3779.73,0
183,201,49,36,57,163,3779.69,0
184,202,50,36,58,170,3779.43,0
185,207,55,37,60,178,3779.12,0
186,209,57,35,66,187,3778.78,0
187,209,61,43,66,188,3778.74,0
188,209,60,50,66,186,3778.82,0
189,208,59,49,66,178,3779.12,0
190,208,57,46,65,157,3779.92,0
191,208,53,43,63,148,3780.26,0
192,207,50,43,63,124,3781.18,0
193,205,47,38,62,118,3781.4,0
194,205,44,34,60,107,3781.82,0
195,203,40,30,59,99,3782.12,0
196,202,37,26,56,81,3782.81,0
197,201,31,25,54,70,3783.23,0
198,199,28,21,53,58,3783.68,0
199,197,25,19,53,51,3783.95,0
200,196,25,19,52,48,3784.06,0
201,195,26,20,52,49,3784.02,0
202,195,30,20,52,57,3783.72,0
