x,a,b,c,d,index_value,true_index_value,label
2,40,4,64,7,39,3932.58,0
3,58,14,64,7,42,3932.4,0
4,101,22,64,7,58,3931.45,0
5,119,34,73,7,61,3931.28,0
6,157,43,83,9,62,3931.22,0
7,162,42,86,11,36,3932.76,0
8,162,39,78,11,27,3933.29,0
9,161,37,63,11,11,3934.23,0
10,152,39,54,12,19,3933.76,0
11,148,47,70,12,43,3932.34,0
12,148,47,77,12,49,3931.99,0
13,147,44,68,12,44,3932.28,0
14,147,39,53,13,31,3933.05,0
15,163,45,47,15,41,3932.46,0
16,163,47,63,16,47,3932.1,0
17,162,51,69,16,55,3931.63,0
18,159,51,60,16,57,3931.51,0
19,156,56,54,16,75,3930.45,0
20,156,56,49,17,77,3930.33,0
21,156,58,65,18,88,3929.68,0
22,156,59,64,18,98,3929.09,0
23,160,60,59,19,99,3929.03,0
24,160,54,57,19,103,3928.79,0
25,159,53,63,19,102,3928.85,0
26,161,50,57,20,105,3928.67,0
27,164,53,52,22,109,3928.44,0
28,164,56,51,23,122,3927.67,0
29,168,58,50,23,128,3927.31,0
30,168,58,63,23,131,3927.14,0
31,168,48,63,22,108,3928.5,0
32,167,43,52,21,88,3929.68,0
33,158,32,37,21,65,3931.04,0
34,148,26,43,21,51,3931.87,0
35,147,23,41,21,48,3932.05,0
36,146,18,33,20,41,3932.46,0
37,143,16,21,19,36,3932.76,0
38,140,15,16,20,40,3932.52,0
39,136,16,26,20,41,3932.46,0
40,134,16,27,20,46,3932.16,0
41,144,20,19,22,57,3931.51,0
42,146,21,19,24,57,3931.51,0
43,146,26,33,24,73,3930.57,0
44,146,26,37,24,73,3930.57,0
45,144,29,31,25,74,3930.51,0
46,147,29,27,26,75,3930.45,0
47,161,39,29,27,89,3929.62,0
48,168,44,37,32,102,3928.85,0
49,170,52,46,33,115,3928.08,0
50,172,54,50,34,122,3927.67,0
51,172,55,46,34,128,3927.31,0
52,172,56,52,35,130,3927.2,0
53,172,58,56,35,139,3926.66,0
54,174,57,52,36,145,3926.31,0
55,174,57,49,37,148,3926.13,0
56,174,56,48,37,152,3925.9,0
57,173,54,51,37,152,3925.9,0
58,175,54,49,38,160,3925.42,0
59,176,54,45,38,161,3925.36,0
60,181,56,45,40,173,3924.65,0
61,183,58,51,41,177,3924.42,0
62,184,59,55,42,182,3924.12,0
63,184,57,54,43,182,3924.12,0
64,184,57,49,43,189,3923.71,0
65,186,57,47,44,190,3923.65,0
66,186,56,53,44,201,3923.0,0
67,191,54,51,46,204,3922.82,0
68,191,53,48,47,210,3922.46,0
69,191,51,47,47,206,3922.7,0
70,190,47,47,46,203,3922.88,0
71,189,38,44,44,183,3924.06,0
72,188,32,34,43,176,3924.48,0
73,181,16,23,41,141,3926.55,0
74,178,12,16,41,132,3927.08,0
75,171,6,12,41,121,3927.73,0
76,170,6,10,42,122,3927.67,0
77,170,8,11,42,121,3927.73,0
78,170,11,7,42,119,3927.85,0
79,170,12,11,43,119,3927.85,0
80,170,16,18,44,123,3927.61,0
81,173,20,17,44,135,3926.9,0
82,173,20,15,45,135,3926.9,0
83,176,23,17,46,137,3926.78,0
84,176,22,22,47,119,3927.85,0
85,176,19,21,47,111,3928.32,0
86,175,20,17,47,102,3928.85,0
87,174,20,13,47,101,3928.91,0
88,173,22,22,47,99,3929.03,0
89,173,19,23,47,96,3929.21,0
90,171,17,19,46,86,3929.8,0
91,169,14,14,46,80,3930.15,0
92,167,14,13,46,78,3930.27,0
93,166,14,17,46,81,3930.09,0
94,168,14,17,47,87,3929.74,0
95,170,16,15,47,87,3929.74,0
96,170,16,15,47,81,3930.09,0
97,169,15,16,47,80,3930.15,0
98,166,19,18,47,86,3929.8,0
99,167,22,17,48,97,3929.15,0
100,167,26,21,49,113,3928.2,0
101,167,27,23,49,123,3927.61,0
102,168,27,26,49,127,3927.37,0
103,172,30,26,51,138,3926.72,0
104,172,31,27,52,141,3926.55,0
105,172,31,26,52,149,3926.07,0
106,173,32,26,53,154,3925.78,0
107,174,35,27,53,158,3925.54,0
108,176,38,29,54,173,3924.65,0
109,180,39,29,56,180,3924.24,0
110,182,41,31,58,191,3923.59,0
111,184,44,35,59,199,3923.12,0
112,185,47,35,60,206,3922.7,0
113,188,49,36,61,210,3922.46,0
114,190,50,37,63,208,3922.58,0
115,190,51,39,63,205,3922.76,0
116,189,49,42,63,200,3923.06,0
117,190,48,42,64,199,3923.12,0
118,192,50,40,65,202,3922.94,0
119,196,54,40,67,215,3922.17,0
120,199,58,47,70,219,3921.93,0
121,203,63,51,72,235,3920.99,0
122,204,64,54,73,236,3920.93,0
123,204,62,55,73,228,3921.4,0
124,204,55,51,73,208,3922.58,0
125,202,53,50,73,197,3923.23,0
126,202,47,42,73,184,3924.0,0
127,203,46,40,74,177,3924.42,0
128,203,46,38,75,184,3924.0,0
129,203,47,42,75,185,3923.94,0
130,204,48,42,75,193,3923.47,0
131,206,50,40,77,199,3923.12,0
132,209,54,40,78,201,3923.0,0
133,212,57,43,80,210,3922.46,0
134,215,62,51,83,218,3921.99,0
135,219,65,54,85,225,3921.58,0
136,222,68,57,87,232,3921.16,0
137,222,71,60,88,243,3920.51,0
138,222,71,66,89,244,3920.45,0
139,222,70,67,89,245,3920.4,0
140,222,68,64,89,243,3920.51,0
141,222,67,64,90,230,3921.28,0
142,222,65,62,90,227,3921.46,0
143,221,63,62,90,220,3921.87,0
144,221,60,59,90,213,3922.29,0
145,222,59,55,91,212,3922.35,0
146,226,62,54,92,219,3921.93,0
147,226,63,58,94,224,3921.64,0
148,227,68,63,95,241,3920.63,0
149,229,70,63,96,243,3920.51,0
150,229,72,64,97,251,3920.04,0
151,229,70,66,98,242,3920.57,0
152,229,69,67,98,239,3920.75,0
153,229,65,64,98,229,3921.34,0
154,228,64,62,97,227,3921.46,0
155,228,57,59,96,206,3922.7,0
156,227,55,57,96,205,3922.76,0
157,223,46,55,96,177,3924.42,0
158,222,44,49,96,173,3924.65,0
159,222,47,44,97,183,3924.06,0
160,222,47,44,98,190,3923.65,0
161,223,54,53,98,215,3922.17,0
162,224,53,56,99,217,3922.05,0
163,225,52,54,100,215,3922.17,0
164,225,48,51,100,208,3922.58,0
165,225,47,51,100,210,3922.46,0
166,224,45,46,100,210,3922.46,0
167,224,47,46,100,213,3922.29,0
168,224,46,46,101,214,3922.23,0
169,224,44,44,101,211,3922.41,0
170,224,42,44,101,206,3922.7,0
171,223,41,41,101,208,3922.58,0
172,223,40,40,101,208,3922.58,0
173,223,38,38,100,202,3922.94,0
174,223,35,37,100,197,3923.23,0
175,221,33,35,100,189,3923.71,0
176,219,31,35,100,188,3923.77,0
177,219,33,34,100,207,3922.64,0
178,220,40,34,101,214,3922.23,0
179,222,48,43,103,241,3920.63,0
180,225,55,52,105,247,3920.28,0
181,225,59,60,106,244,3920.45,0
182,225,55,61,106,230,3921.28,0
183,224,53,61,105,217,3922.05,0
184,224,49,57,105,204,3922.82,0
185,222,45,55,105,196,3923.29,0
186,221,42,51,103,186,3923.88,0
187,219,36,46,102,170,3924.83,0
188,217,32,44,102,156,3925.66,0
189,215,27,41,102,143,3926.43,0
190,214,25,37,102,144,3926.37,0
191,214,26,35,102,158,3925.54,0
192,213,27,35,102,160,3925.42,0
193,213,28,38,102,169,3924.89,0
194,213,29,37,102,167,3925.01,0
195,213,28,36,102,166,3925.07,0
196,212,29,34,102,168,3924.95,0
197,212,31,36,103,172,3924.71,0
198,212,32,39,103,181,3924.18,0
199,212,32,39,103,183,3924.06,0
200,212,33,39,103,187,3923.83,0
201,212,32,40,104,182,3924.12,0
202,212,31,41,103,181,3924.18,0
203,212,29,39,103,178,3924.36,0
204,211,28,37,103,176,3924.48,0
205,210,26,35,103,175,3924.53,0
206,211,26,35,103,176,3924.48,0
207,211,26,35,104,178,3924.36,0
208,211,27,34,104,182,3924.12,0
209,210,27,34,104,185,3923.94,0
210,210,27,35,104,181,3924.18,0
211,210,27,36,104,176,3924.48,0
212,210,28,36,105,170,3924.83,0
213,210,28,35,105,167,3925.01,0
214,210,26,35,105,163,3925.24,0
215,210,26,35,105,164,3925.19,0
216,209,27,34,105,164,3925.19,0
217,209,28,34,105,172,3924.71,0
218,209,26,33,105,172,3924.71,0
219,209,24,32,104,163,3925.24,0
220,208,22,31,104,158,3925.54,0
221,207,20,28,104,146,3926.25,0
222,206,20,26,105,147,3926.19,0
223,206,20,26,105,148,3926.13,0
224,206,19,30,104,144,3926.37,0
225,206,18,30,103,137,3926.78,0
226,205,16,26,103,131,3927.14,0
227,204,16,25,103,129,3927.26,0
228,203,14,25,104,127,3927.37,0
229,203,14,25,103,123,3927.61,0
230,203,11,23,101,117,3927.97,0
231,202,8,22,101,112,3928.26,0
232,200,6,19,101,118,3927.91,0
233,199,7,19,101,118,3927.91,0
234,198,12,22,101,133,3927.02,0
235,198,14,23,101,136,3926.84,0
236,198,21,26,102,157,3925.6,0
237,198,23,28,103,160,3925.42,0
238,198,26,35,103,164,3925.19,0
239,198,26,36,103,163,3925.24,0
240,198,27,36,103,164,3925.19,0
241,200,29,36,104,168,3924.95,0
242,201,32,36,105,179,3924.3,0
243,202,37,37,107,185,3923.94,0
244,204,41,42,108,197,3923.23,0
245,204,41,47,108,189,3923.71,0
246,203,40,49,108,182,3924.12,0
247,202,38,47,108,169,3924.89,0
248,202,37,47,107,162,3925.3,0
249,201,35,45,106,156,3925.66,0
250,201,31,43,106,141,3926.55,0
251,199,29,43,105,134,3926.96,0
252,198,26,39,105,119,3927.85,0
253,197,25,38,104,116,3928.02,0
254,196,25,37,104,115,3928.08,0
255,195,26,36,104,119,3927.85,0
256,194,29,38,104,128,3927.31,0
257,194,30,40,105,131,3927.14,0
258,194,30,40,105,139,3926.66,0
259,194,30,39,105,140,3926.6,0
260,194,30,40,105,143,3926.43,0
261,194,32,39,105,147,3926.19,0
262,195,34,39,105,154,3925.78,0
263,195,36,40,106,159,3925.48,0
264,195,37,41,106,160,3925.42,0
265,195,38,43,107,160,3925.42,0
266,196,41,43,107,169,3924.89,0
267,197,43,46,108,171,3924.77,0
268,198,47,48,109,185,3923.94,0
269,198,47,50,109,184,3924.0,0
270,198,46,51,109,180,3924.24,0
271,197,44,49,109,170,3924.83,0
272,196,43,48,109,166,3925.07,0
273,196,43,46,109,166,3925.07,0
274,196,42,48,109,162,3925.3,0
275,196,39,47,108,154,3925.78,0
276,195,38,44,108,149,3926.07,0
277,196,38,43,108,152,3925.9,0
278,196,39,45,108,156,3925.66,0
279,195,39,46,108,157,3925.6,0
280,194,39,46,108,156,3925.66,0
281,194,39,46,109,154,3925.78,0
282,195,39,47,110,150,3926.01,0
283,195,42,47,110,157,3925.6,0
284,195,45,49,110,160,3925.42,0
285,197,50,52,111,173,3924.65,0
286,197,53,55,112,175,3924.53,0
287,197,56,59,113,181,3924.18,0
288,197,57,62,113,183,3924.06,0
289,198,58,62,113,186,3923.88,0
290,198,58,62,114,182,3924.12,0
291,198,59,62,114,182,3924.12,0
292,198,59,64,114,183,3924.06,0
293,198,61,64,114,187,3923.83,0
294,198,64,64,114,200,3923.06,0
295,200,67,67,116,203,3922.88,0
296,200,68,71,117,207,3922.64,0
297,200,67,72,117,206,3922.7,0
298,199,65,70,117,204,3922.82,0
299,199,65,70,117,203,3922.88,0
300,199,65,70,117,198,3923.17,0
301,199,64,70,117,197,3923.23,0
302,200,65,69,118,200,3923.06,0
303,203,72,69,119,222,3921.76,0
304,205,77,74,123,230,3921.28,0
305,206,83,80,124,251,3920.04,0
306,206,86,87,125,255,3919.8,0
307,206,86,90,125,256,3919.74,0
308,206,86,89,125,256,3919.74,0
309,206,83,89,125,238,3920.81,0
310,206,81,89,125,237,3920.87,0
311,205,76,84,125,220,3921.87,0
312,205,75,83,125,219,3921.93,0
313,204,74,80,125,217,3922.05,0
314,204,73,80,125,219,3921.93,0
315,204,71,80,125,215,3922.17,0
316,204,69,78,125,214,3922.23,0
317,204,68,75,125,209,3922.52,0
318,203,65,74,125,202,3922.94,0
319,203,65,74,125,201,3923.0,0
320,203,67,73,125,202,3922.94,0
321,202,68,75,125,206,3922.7,0
322,203,68,77,125,207,3922.64,0
323,203,71,75,125,220,3921.87,0
324,204,73,79,126,228,3921.4,0
325,204,78,84,127,242,3920.57,0
326,205,79,86,127,250,3920.1,0
327,205,79,86,128,242,3920.57,0
328,205,79,87,128,241,3920.63,0
329,205,78,86,128,234,3921.05,0
330,205,77,85,128,238,3920.81,0
331,204,76,85,128,241,3920.63,0
332,204,74,84,128,232,3921.16,0
333,203,71,82,128,229,3921.34,0
334,203,67,79,128,216,3922.11,0
335,203,65,76,128,214,3922.23,0
336,203,63,72,128,211,3922.41,0
337,203,62,71,128,213,3922.29,0
338,203,62,71,128,214,3922.23,0
339,203,61,70,128,213,3922.29,0
340,203,61,68,129,211,3922.41,0
341,203,62,68,129,221,3921.81,0
342,204,64,70,130,227,3921.46,0
343,204,64,70,130,236,3920.93,0
344,204,64,70,130,239,3920.75,0
345,204,63,70,130,240,3920.69,0
346,204,64,70,131,244,3920.45,0
347,205,66,70,131,248,3920.22,0
348,205,68,71,132,250,3920.1,0
349,205,68,72,132,252,3919.98,0
350,205,67,72,132,250,3920.1,0
351,205,65,71,132,245,3920.4,0
352,205,64,70,133,243,3920.51,0
353,205,63,68,133,242,3920.57,0
354,206,65,68,133,248,3920.22,0
355,206,66,68,133,251,3920.04,0
356,206,67,71,134,257,3919.69,0
357,206,68,71,134,257,3919.69,0
358,206,69,71,134,261,3919.45,0
359,206,70,72,135,262,3919.39,0
360,207,70,72,135,268,3919.03,0
361,207,72,72,135,272,3918.8,0
362,209,74,72,136,281,3918.27,0
363,209,75,75,138,283,3918.15,0
364,209,74,77,138,283,3918.15,0
365,209,73,76,138,280,3918.33,0
366,209,72,76,138,279,3918.38,0
367,209,71,75,139,278,3918.44,0
368,209,73,74,139,284,3918.09,0
369,211,75,76,140,292,3917.62,0
370,211,77,79,141,302,3917.02,0
371,212,78,80,141,308,3916.67,0
372,212,79,80,142,312,3916.43,0
373,213,80,80,143,315,3916.26,0
374,216,86,81,145,338,3914.89,0
375,219,90,84,147,341,3914.72,0
376,220,96,93,151,361,3913.53,0
377,221,98,99,152,359,3913.65,0
378,221,98,101,153,359,3913.65,0
379,222,97,100,154,355,3913.89,0
380,222,97,99,153,356,3913.83,0
381,222,94,98,153,341,3914.72,0
382,221,93,96,153,341,3914.72,0
383,221,90,96,154,326,3915.6,0
384,221,88,95,154,323,3915.78,0
385,222,87,93,154,324,3915.72,0
386,223,89,92,155,331,3915.31,0
387,223,91,94,156,339,3914.84,0
388,223,92,96,157,346,3914.42,0
389,223,92,96,157,346,3914.42,0
390,224,91,95,158,346,3914.42,0
391,224,91,96,158,346,3914.42,0
392,226,93,96,159,351,3914.13,0
393,226,94,96,160,352,3914.07,0
394,226,96,99,161,359,3913.65,0
395,227,96,99,161,358,3913.71,0
396,227,95,100,162,355,3913.89,0
397,227,93,98,162,349,3914.24,0
398,227,92,97,162,346,3914.42,0
399,226,90,95,162,338,3914.89,0
400,226,88,94,162,337,3914.95,0
401,226,86,93,162,334,3915.13,0
402,225,85,90,162,336,3915.01,0
403,225,84,90,162,335,3915.07,0
404,225,84,90,162,334,3915.13,0
405,225,82,89,162,325,3915.66,0
406,225,81,88,162,321,3915.9,0
407,225,79,86,162,316,3916.2,0
408,225,79,85,162,321,3915.9,0
409,226,81,85,163,322,3915.84,0
410,226,82,87,164,331,3915.31,0
411,226,82,87,164,332,3915.25,0
412,226,81,86,164,331,3915.31,0
413,226,80,86,164,329,3915.43,0
414,226,81,86,164,329,3915.43,0
415,226,81,86,164,330,3915.37,0
416,226,81,87,164,339,3914.84,0
417,226,81,87,165,344,3914.54,0
418,227,87,88,165,361,3913.53,0
419,230,92,88,166,369,3913.06,0
420,232,100,97,170,381,3912.35,0
421,234,108,106,173,389,3911.88,0
