x,a,b,c,d,index_value,true_index_value,label
2,150,156,223,238,455,3894.23,0
3,211,158,223,238,458,3893.78,0
4,211,160,223,238,455,3894.23,0
5,210,163,234,238,449,3895.12,0
6,183,163,237,238,444,3895.86,0
7,171,160,228,238,443,3896.01,0
8,171,158,222,238,442,3896.16,0
9,169,155,207,238,440,3896.46,0
10,177,156,194,238,445,3895.72,0
11,181,157,204,238,444,3895.86,0
12,181,156,211,237,438,3896.76,0
13,180,154,201,237,430,3897.95,0
14,174,154,190,237,424,3898.84,0
15,170,154,183,236,423,3898.99,0
16,166,153,194,236,423,3898.99,0
17,165,152,190,236,426,3898.55,0
18,168,155,182,236,427,3898.4,0
19,168,158,179,235,430,3897.95,0
20,168,163,175,235,433,3897.5,0
21,172,167,191,236,436,3897.06,0
22,182,170,199,236,442,3896.16,0
23,182,173,199,236,444,3895.86,0
24,182,174,196,236,447,3895.42,0
25,181,173,209,235,444,3895.86,0
26,180,171,209,234,443,3896.01,0
27,172,167,200,234,435,3897.21,0
28,166,160,188,233,429,3898.1,0
29,162,158,174,231,423,3898.99,0
30,142,155,182,231,422,3899.14,0
31,144,156,182,231,424,3898.84,0
32,144,158,180,231,426,3898.55,0
33,144,159,176,231,426,3898.55,0
34,142,162,189,230,427,3898.4,0
35,144,167,190,230,430,3897.95,0
36,148,170,195,230,435,3897.21,0
37,151,173,198,231,437,3896.91,0
38,160,175,198,232,437,3896.91,0
39,168,177,206,232,439,3896.61,0
40,171,180,210,232,446,3895.57,0
41,175,182,209,232,450,3894.97,0
42,176,184,209,233,453,3894.52,0
43,188,186,216,234,457,3893.93,0
44,191,189,218,234,459,3893.63,0
45,197,192,220,235,466,3892.59,0
46,201,195,219,235,472,3891.69,0
47,201,193,218,235,471,3891.84,0
48,200,190,224,234,468,3892.29,0
49,198,186,224,233,460,3893.48,0
50,196,183,215,233,455,3894.23,0
51,196,178,211,233,446,3895.57,0
52,195,176,211,232,441,3896.31,0
53,190,173,202,232,432,3897.65,0
54,193,173,198,232,434,3897.35,0
55,193,173,196,232,435,3897.21,0
56,192,171,194,232,438,3896.76,0
57,188,168,194,231,438,3896.76,0
58,186,165,187,231,430,3897.95,0
59,186,162,178,231,429,3898.1,0
60,185,162,173,231,426,3898.55,0
61,189,165,180,231,430,3897.95,0
62,191,168,184,232,436,3897.06,0
63,193,171,186,232,439,3896.61,0
64,194,171,185,232,437,3896.91,0
65,196,171,184,233,437,3896.91,0
66,201,174,188,233,440,3896.46,0
67,204,176,189,233,447,3895.42,0
68,205,179,193,233,452,3894.67,0
69,205,179,195,233,455,3894.23,0
70,205,178,200,234,449,3895.12,0
71,209,178,198,234,448,3895.27,0
72,213,179,194,235,451,3894.82,0
73,216,185,197,235,460,3893.48,0
74,221,187,199,235,463,3893.03,0
75,223,191,212,236,468,3892.29,0
76,226,192,218,237,469,3892.14,0
77,230,194,218,237,472,3891.69,0
78,230,194,219,237,468,3892.29,0
79,232,192,223,237,465,3892.74,0
80,232,190,218,237,459,3893.63,0
81,234,188,213,238,460,3893.48,0
82,236,188,208,238,465,3892.74,0
83,239,191,205,238,468,3892.29,0
84,242,192,212,238,472,3891.69,0
85,242,192,215,238,470,3891.99,0
86,242,191,213,238,467,3892.44,0
87,240,188,209,238,464,3892.88,0
88,238,185,209,237,457,3893.93,0
89,235,183,205,236,457,3893.93,0
90,232,180,200,236,455,3894.23,0
91,231,178,196,236,454,3894.37,0
92,230,176,192,236,451,3894.82,0
93,229,174,192,236,447,3895.42,0
94,227,172,187,234,445,3895.72,0
95,223,171,182,234,442,3896.16,0
96,222,169,179,234,441,3896.31,0
97,220,169,176,234,441,3896.31,0
98,221,170,178,234,443,3896.01,0
99,221,171,180,234,446,3895.57,0
100,221,172,179,234,449,3895.12,0
101,221,173,180,234,450,3894.97,0
102,220,173,185,233,451,3894.82,0
103,219,171,184,233,450,3894.97,0
104,217,170,179,232,450,3894.97,0
105,215,170,178,232,452,3894.67,0
106,215,171,181,232,453,3894.52,0
107,215,173,183,233,456,3894.08,0
108,216,174,183,233,457,3893.93,0
109,217,176,185,233,462,3893.18,0
110,221,178,185,233,462,3893.18,0
111,221,177,192,233,463,3893.03,0
112,221,177,191,233,462,3893.18,0
113,220,175,187,233,460,3893.48,0
114,220,175,185,233,459,3893.63,0
115,220,174,183,233,457,3893.93,0
116,220,170,183,233,451,3894.82,0
117,218,167,179,231,448,3895.27,0
118,211,163,171,230,443,3896.01,0
119,208,161,168,230,444,3895.86,0
120,206,161,170,230,446,3895.57,0
121,206,162,171,230,448,3895.27,0
122,207,164,170,230,449,3895.12,0
123,208,164,170,230,449,3895.12,0
124,208,164,170,230,444,3895.86,0
125,207,164,171,230,444,3895.86,0
126,207,165,171,230,445,3895.72,0
127,208,165,172,230,449,3895.12,0
128,209,166,172,230,451,3894.82,0
129,211,166,173,230,453,3894.52,0
130,211,167,172,230,454,3894.37,0
131,212,167,170,230,454,3894.37,0
132,212,168,169,231,454,3894.37,0
133,213,168,168,231,453,3894.52,0
134,213,168,170,231,452,3894.67,0
135,213,167,169,230,450,3894.97,0
136,213,166,165,230,448,3895.27,0
137,213,166,164,230,447,3895.42,0
138,213,165,164,230,446,3895.57,0
139,212,163,161,230,442,3896.16,0
140,210,161,156,229,440,3896.46,0
141,205,160,154,228,437,3896.91,0
142,205,159,152,228,438,3896.76,0
143,206,160,154,229,440,3896.46,0
144,206,160,153,229,441,3896.31,0
145,206,160,153,229,440,3896.46,0
146,206,160,152,228,437,3896.91,0
147,205,159,153,228,436,3897.06,0
148,205,158,151,228,437,3896.91,0
149,205,159,151,228,438,3896.76,0
150,205,160,151,229,439,3896.61,0
151,208,163,151,229,442,3896.16,0
152,210,165,155,229,444,3895.86,0
153,211,168,163,229,447,3895.42,0
154,212,169,168,229,449,3895.12,0
155,212,170,168,229,449,3895.12,0
156,212,169,171,229,448,3895.27,0
157,212,168,170,229,445,3895.72,0
158,212,166,167,229,442,3896.16,0
159,211,165,165,229,441,3896.31,0
160,211,164,162,229,438,3896.76,0
161,211,163,163,229,437,3896.91,0
162,211,164,162,229,438,3896.76,0
163,211,164,161,229,438,3896.76,0
164,212,164,161,229,438,3896.76,0
165,212,164,163,229,436,3897.06,0
166,212,162,163,229,432,3897.65,0
167,211,162,161,229,431,3897.8,0
168,212,164,159,229,436,3897.06,0
169,214,167,160,230,440,3896.46,0
170,216,171,167,230,446,3895.57,0
171,217,173,174,230,449,3895.12,0
172,217,174,177,229,449,3895.12,0
173,216,174,177,229,449,3895.12,0
174,215,174,179,229,448,3895.27,0
175,215,175,180,229,448,3895.27,0
176,215,175,180,229,448,3895.27,0
177,215,175,180,229,447,3895.42,0
178,214,174,179,229,446,3895.57,0
179,213,173,179,228,448,3895.27,0
180,212,173,180,229,450,3894.97,0
181,214,174,180,229,452,3894.67,0
182,215,176,180,229,454,3894.37,0
183,217,177,182,230,456,3894.08,0
184,218,177,184,230,457,3893.93,0
185,219,178,184,230,459,3893.63,0
186,220,180,185,231,462,3893.18,0
187,224,181,186,231,463,3893.03,0
188,224,182,191,231,463,3893.03,0
189,224,181,192,231,463,3893.03,0
190,224,181,190,231,462,3893.18,0
191,225,181,188,231,462,3893.18,0
192,225,182,187,231,464,3892.88,0
193,225,182,189,231,466,3892.59,0
194,225,182,190,231,465,3892.74,0
195,225,182,189,231,465,3892.74,0
196,225,182,189,231,465,3892.74,0
197,225,181,189,231,464,3892.88,0
198,224,180,188,231,463,3893.03,0
199,224,179,186,231,462,3893.18,0
200,224,178,184,231,464,3892.88,0
201,223,178,183,231,465,3892.74,0
202,223,178,185,231,466,3892.59,0
203,223,177,183,231,466,3892.59,0
204,223,176,179,230,468,3892.29,0
205,223,175,179,231,468,3892.29,0
206,224,175,181,231,465,3892.74,0
207,224,174,180,231,463,3893.03,0
208,224,173,176,231,460,3893.48,0
209,225,172,173,231,457,3893.93,0
210,226,171,172,231,456,3894.08,0
211,226,169,173,231,452,3894.67,0
212,226,167,172,231,450,3894.97,0
213,225,166,167,230,448,3895.27,0
214,224,165,166,230,447,3895.42,0
215,223,165,166,230,447,3895.42,0
216,224,166,165,230,447,3895.42,0
217,224,166,165,231,447,3895.42,0
218,225,166,164,231,447,3895.42,0
219,225,166,163,231,449,3895.12,0
220,225,167,165,231,450,3894.97,0
221,225,167,165,231,451,3894.82,0
222,226,167,164,231,452,3894.67,0
223,226,167,164,231,450,3894.97,0
224,226,167,163,230,449,3895.12,0
225,225,166,163,230,446,3895.57,0
226,224,165,161,230,445,3895.72,0
227,224,164,158,230,442,3896.16,0
228,224,163,156,230,441,3896.31,0
229,223,162,156,230,440,3896.46,0
230,222,161,155,229,439,3896.61,0
231,222,161,154,229,438,3896.76,0
232,223,161,154,229,440,3896.46,0
233,223,162,154,229,442,3896.16,0
234,223,162,155,229,443,3896.01,0
235,222,162,154,229,441,3896.31,0
236,222,161,152,229,440,3896.46,0
237,222,160,151,229,435,3897.21,0
238,220,159,149,228,434,3897.35,0
239,219,159,149,228,434,3897.35,0
240,219,160,152,228,436,3897.06,0
241,219,160,152,228,436,3897.06,0
242,219,160,153,228,436,3897.06,0
243,219,159,152,228,436,3897.06,0
244,218,159,150,228,436,3897.06,0
245,218,160,150,228,438,3896.76,0
246,218,161,151,228,439,3896.61,0
247,218,161,154,227,438,3896.76,0
248,217,160,152,227,436,3897.06,0
249,217,159,151,227,434,3897.35,0
250,216,159,150,227,434,3897.35,0
251,216,159,150,227,433,3897.5,0
252,216,158,147,226,433,3897.5,0
253,215,159,147,226,433,3897.5,0
254,214,159,147,226,435,3897.21,0
255,215,160,148,227,436,3897.06,0
256,216,161,149,227,440,3896.46,0
257,216,162,150,227,442,3896.16,0
258,216,162,151,227,444,3895.86,0
259,216,162,151,227,442,3896.16,0
260,216,162,151,226,443,3896.01,0
261,216,162,150,227,443,3896.01,0
262,216,163,150,227,444,3895.86,0
263,216,163,150,227,444,3895.86,0
264,217,163,150,227,445,3895.72,0
265,218,163,152,227,446,3895.57,0
266,219,164,152,228,448,3895.27,0
267,220,165,152,228,449,3895.12,0
268,220,165,153,228,450,3894.97,0
269,220,166,154,228,449,3895.12,0
270,220,166,154,228,449,3895.12,0
271,220,166,154,228,450,3894.97,0
272,221,167,155,228,451,3894.82,0
273,221,168,155,228,453,3894.52,0
274,222,168,157,228,454,3894.37,0
275,222,168,157,228,455,3894.23,0
276,222,168,157,228,454,3894.37,0
277,222,167,156,228,454,3894.37,0
278,222,167,157,228,454,3894.37,0
279,222,167,156,228,455,3894.23,0
280,222,168,154,229,456,3894.08,0
281,223,169,154,229,458,3893.78,0
282,224,170,156,229,459,3893.63,0
283,224,170,158,229,460,3893.48,0
284,225,170,158,229,460,3893.48,0
285,225,170,157,229,460,3893.48,0
286,225,171,157,229,460,3893.48,0
287,225,171,157,229,459,3893.63,0
288,225,170,157,229,456,3894.08,0
289,225,169,155,229,454,3894.37,0
290,224,168,151,229,452,3894.67,0
291,224,167,150,229,453,3894.52,0
292,224,167,150,228,454,3894.37,0
293,224,167,149,228,454,3894.37,0
294,224,167,148,229,454,3894.37,0
295,224,168,148,229,455,3894.23,0
296,225,169,149,229,457,3893.93,0
297,225,170,152,229,458,3893.78,0
298,225,170,154,229,458,3893.78,0
299,226,171,155,229,458,3893.78,0
