x,a,b,c,d,index_value,true_index_value,label
1,27,41,95,33,101,3779.52,0
2,208,41,95,40,101,3779.52,0
3,208,55,95,39,100,3779.62,0
4,207,56,95,37,91,3780.5,0
5,156,65,100,33,91,3780.5,0
6,141,72,96,32,80,3781.58,0
7,127,79,98,31,79,3781.68,0
8,86,85,104,30,71,3782.46,0
9,75,100,104,30,74,3782.17,0
10,59,108,102,30,85,3781.09,0
11,73,125,126,30,109,3778.73,0
12,73,131,154,30,114,3778.24,0
13,72,143,152,30,113,3778.34,0
14,65,143,150,30,114,3778.24,0
15,64,146,160,27,124,3777.26,0
16,57,139,165,26,123,3777.36,0
17,55,128,146,25,107,3778.93,0
18,50,113,136,15,95,3780.11,0
19,27,105,118,10,80,3781.58,0
20,17,105,117,10,79,3781.68,0
21,17,109,127,10,82,3781.38,0
22,16,119,136,7,92,3780.4,0
23,15,128,132,8,106,3779.03,0
24,15,129,130,11,113,3778.34,0
25,29,141,147,12,126,3777.06,0
26,29,141,156,12,125,3777.16,0
27,28,144,161,10,120,3777.65,0
28,25,141,158,10,104,3779.22,0
29,31,142,153,12,112,3778.44,0
30,31,147,162,12,124,3777.26,0
31,33,150,164,12,143,3775.39,0
32,33,155,160,11,157,3774.02,0
33,32,159,162,7,166,3773.13,0
34,29,159,171,7,168,3772.94,0
35,27,158,171,6,168,3772.94,0
36,26,160,160,8,177,3772.05,0
37,32,172,156,8,190,3770.77,0
38,32,173,161,8,199,3769.89,0
39,31,178,175,7,201,3769.69,0
40,32,174,173,8,200,3769.79,0
41,36,173,165,10,203,3769.5,0
42,38,174,158,12,205,3769.3,0
43,41,174,166,14,202,3769.6,0
44,44,180,171,15,212,3768.61,0
45,45,181,176,15,214,3768.42,0
46,48,181,178,15,223,3767.53,0
47,48,180,177,16,223,3767.53,0
48,50,178,176,17,223,3767.53,0
49,50,174,172,17,217,3768.12,0
50,52,170,169,24,213,3768.52,0
51,62,171,159,27,208,3769.01,0
52,66,173,161,29,216,3768.22,0
53,68,184,173,30,233,3766.55,0
54,73,191,176,31,253,3764.59,0
55,82,201,180,33,276,3762.33,0
56,85,208,184,38,288,3761.15,0
57,86,208,201,40,290,3760.95,0
58,86,197,199,39,271,3762.82,0
59,85,189,188,39,264,3763.51,0
60,85,183,177,40,262,3763.7,0
61,86,184,177,42,268,3763.11,0
62,89,187,177,44,282,3761.74,0
63,90,186,177,45,291,3760.85,0
64,96,190,172,47,302,3759.77,0
65,100,199,171,52,319,3758.1,0
66,104,207,185,56,330,3757.02,0
67,106,216,202,59,348,3755.25,0
68,107,217,213,61,351,3754.96,0
69,110,213,213,62,350,3755.06,0
70,113,201,213,66,339,3756.14,0
71,114,197,204,67,338,3756.24,0
72,114,188,197,68,323,3757.71,0
73,114,182,190,70,321,3757.91,0
74,119,180,181,73,318,3758.2,0
75,121,177,181,75,319,3758.1,0
76,122,174,177,77,319,3758.1,0
77,122,169,170,78,313,3758.69,0
78,123,168,163,76,314,3758.59,0
79,123,165,166,74,310,3758.99,0
80,122,156,166,72,293,3760.66,0
81,117,145,154,71,275,3762.42,0
82,115,133,134,72,251,3764.78,0
83,116,127,123,74,243,3765.57,0
84,117,129,131,75,252,3764.68,0
85,119,134,131,77,263,3763.6,0
86,120,137,132,79,275,3762.42,0
87,121,136,131,81,279,3762.03,0
88,122,135,131,82,280,3761.93,0
89,122,130,129,82,273,3762.62,0
90,124,129,124,84,272,3762.72,0
91,130,136,118,86,282,3761.74,0
92,136,140,116,93,285,3761.44,0
93,140,151,137,100,302,3759.77,0
94,146,161,152,105,309,3759.08,0
95,146,162,152,108,311,3758.89,0
96,145,159,156,107,304,3759.58,0
97,143,156,153,108,300,3759.97,0
98,143,148,152,108,288,3761.15,0
99,142,146,149,108,287,3761.25,0
100,142,138,141,107,278,3762.13,0
101,142,137,136,106,273,3762.62,0
102,141,135,134,105,270,3762.92,0
103,139,138,136,105,271,3762.82,0
104,139,144,139,106,273,3762.62,0
105,143,154,139,108,286,3761.34,0
106,144,158,147,114,287,3761.25,0
107,145,164,161,115,307,3759.28,0
108,146,168,165,116,314,3758.59,0
109,147,171,165,118,326,3757.41,0
110,155,187,170,120,355,3754.57,0
111,157,188,185,132,357,3754.37,0
112,158,197,202,134,377,3752.41,0
113,160,196,201,136,378,3752.31,0
114,160,192,197,138,376,3752.5,0
115,161,191,198,139,375,3752.6,0
116,162,188,194,141,376,3752.5,0
117,164,186,191,144,380,3752.11,0
118,164,182,186,145,375,3752.6,0
119,164,181,181,145,374,3752.7,0
120,165,178,181,147,367,3753.39,0
121,165,174,176,148,363,3753.78,0
122,166,171,171,149,360,3754.07,0
123,166,167,162,150,354,3754.66,0
124,167,168,159,151,357,3754.37,0
125,167,169,157,152,357,3754.37,0
126,167,170,161,151,360,3754.07,0
127,167,168,160,151,359,3754.17,0
128,166,166,156,151,358,3754.27,0
129,166,164,156,151,359,3754.17,0
130,166,165,155,152,364,3753.68,0
131,166,166,155,153,365,3753.58,0
132,167,169,153,155,368,3753.29,0
