x,a,b,c,d,index_value,true_index_value,label
1,7,11,60,238,347,3867.01,0
2,175,11,60,238,347,3867.01,0
3,174,40,60,237,367,3865.64,0
4,174,68,60,237,377,3864.95,0
5,206,115,88,237,421,3861.92,0
6,232,143,137,237,432,3861.17,0
7,243,167,174,237,449,3860.0,0
8,243,183,191,237,463,3859.04,0
9,242,188,194,237,455,3859.59,0
10,240,190,199,238,455,3859.59,0
11,220,190,221,238,451,3859.86,0
12,218,187,233,237,455,3859.59,0
13,211,183,213,236,453,3859.72,0
14,204,177,197,236,447,3860.14,0
15,203,175,183,234,442,3860.48,0
16,197,170,198,233,433,3861.1,0
17,180,173,196,231,429,3861.37,0
18,170,180,189,231,435,3860.96,0
19,170,187,189,231,437,3860.82,0
20,169,194,203,230,438,3860.75,0
21,164,187,218,229,426,3861.58,0
22,163,185,208,228,420,3861.99,0
23,157,170,189,228,397,3863.57,0
24,156,163,181,226,381,3864.67,0
25,152,152,181,224,360,3866.12,0
26,138,147,166,223,348,3866.94,0
27,136,147,153,223,343,3867.29,0
28,136,145,148,222,343,3867.29,0
29,135,145,141,222,347,3867.01,0
30,138,150,153,222,357,3866.32,0
31,138,154,162,222,363,3865.91,0
32,140,166,164,222,379,3864.81,0
33,145,173,163,223,394,3863.78,0
34,147,185,191,223,401,3863.3,0
35,154,192,209,225,413,3862.47,0
36,162,201,209,225,419,3862.06,0
37,162,204,206,225,422,3861.85,0
38,164,211,217,225,430,3861.3,0
39,165,213,229,225,436,3860.89,0
40,165,211,226,225,431,3861.24,0
41,165,206,217,224,427,3861.51,0
42,164,203,210,223,420,3861.99,0
43,158,196,212,222,420,3861.99,0
44,156,195,211,222,418,3862.13,0
45,161,197,201,222,416,3862.27,0
46,161,190,200,222,392,3863.92,0
47,160,190,195,220,391,3863.99,0
48,152,182,194,220,371,3865.36,0
49,153,182,190,220,372,3865.29,0
50,155,181,179,221,366,3865.7,0
51,157,181,174,221,364,3865.84,0
52,157,182,180,221,364,3865.84,0
53,158,182,183,220,364,3865.84,0
54,159,183,179,220,364,3865.84,0
55,159,184,175,219,366,3865.7,0
56,158,183,171,218,360,3866.12,0
57,151,182,180,216,359,3866.19,0
58,147,180,176,216,352,3866.67,0
59,145,182,171,216,357,3866.32,0
60,146,184,171,217,362,3865.98,0
61,148,187,180,217,373,3865.22,0
62,153,190,187,217,381,3864.67,0
63,154,192,186,217,389,3864.12,0
64,154,192,186,216,384,3864.47,0
65,153,188,186,216,380,3864.74,0
66,149,185,187,216,370,3865.43,0
67,152,189,179,216,376,3865.02,0
68,154,192,181,216,380,3864.74,0
69,154,195,185,217,385,3864.4,0
70,156,193,190,217,383,3864.54,0
71,158,191,186,217,379,3864.81,0
72,161,193,181,218,383,3864.54,0
73,165,200,181,219,389,3864.12,0
74,168,204,186,220,402,3863.23,0
75,171,210,198,220,407,3862.89,0
76,172,213,204,220,417,3862.2,0
77,172,214,202,220,414,3862.4,0
78,173,215,202,221,415,3862.34,0
79,176,216,208,222,418,3862.13,0
80,179,219,210,222,428,3861.44,0
81,182,223,210,223,437,3860.82,0
82,184,228,214,223,441,3860.55,0
83,186,232,220,223,444,3860.34,3
84,186,233,230,223,434,3861.03,0
85,186,230,231,223,426,3861.58,0
86,185,225,225,222,411,3862.61,0
87,183,220,219,221,398,3863.5,0
88,179,209,215,220,384,3864.47,0
89,177,204,208,219,367,3865.64,0
90,175,197,191,217,359,3866.19,0
91,169,201,189,218,367,3865.64,0
92,172,204,187,218,373,3865.22,0
93,173,210,203,218,385,3864.4,0
94,173,209,210,218,382,3864.6,0
95,173,206,202,217,373,3865.22,0
96,172,203,194,217,370,3865.43,0
97,170,200,188,216,366,3865.7,0
98,169,200,190,216,367,3865.64,0
99,169,200,188,216,368,3865.57,0
100,169,199,186,216,369,3865.5,0
101,169,198,183,216,369,3865.5,0
102,170,199,185,216,369,3865.5,0
103,171,200,185,216,369,3865.5,0
104,171,199,185,216,362,3865.98,0
105,170,198,183,216,361,3866.05,0
106,171,202,183,216,369,3865.5,0
107,172,205,188,216,377,3864.95,0
108,173,209,196,216,386,3864.33,0
109,173,208,198,216,380,3864.74,0
110,172,208,198,215,376,3865.02,0
111,172,209,201,215,374,3865.15,0
112,173,212,204,215,377,3864.95,0
113,173,215,207,215,383,3864.54,0
114,172,215,209,214,384,3864.47,0
115,170,213,208,214,380,3864.74,0
116,170,213,209,214,379,3864.81,0
117,171,214,205,214,380,3864.74,0
118,171,213,205,214,381,3864.67,0
119,171,212,202,214,384,3864.47,0
120,171,208,201,214,380,3864.74,0
121,169,207,194,213,378,3864.88,0
122,168,203,189,213,370,3865.43,0
123,168,202,185,213,370,3865.43,0
124,169,202,185,213,371,3865.36,0
125,169,202,188,213,377,3864.95,0
126,170,200,187,213,377,3864.95,0
127,170,199,186,213,374,3865.15,0
128,170,198,181,212,369,3865.5,0
129,169,196,182,212,361,3866.05,0
130,169,188,179,212,344,3867.22,0
131,167,186,172,209,337,3867.7,0
132,160,176,162,208,320,3868.87,0
133,158,174,159,207,316,3869.14,0
134,156,170,159,205,310,3869.56,0
135,151,168,157,204,307,3869.76,0
136,149,165,155,203,294,3870.66,0
137,146,155,152,202,279,3871.69,0
138,140,150,145,196,262,3872.86,0
139,134,140,140,194,249,3873.75,0
140,128,139,140,193,252,3873.54,0
141,127,143,138,193,259,3873.06,0
142,127,144,139,192,263,3872.79,0
143,126,146,143,192,265,3872.65,0
144,125,146,140,192,264,3872.72,0
145,125,143,137,191,258,3873.13,0
146,123,135,135,189,242,3874.23,0
147,120,132,131,184,237,3874.58,0
148,106,126,130,182,228,3875.19,0
149,105,129,129,182,230,3875.06,0
150,104,130,129,181,229,3875.13,0
151,103,132,127,180,228,3875.19,0
152,103,134,130,180,229,3875.13,0
153,103,138,131,180,235,3874.71,0
154,103,139,131,180,233,3874.85,0
155,103,139,130,180,233,3874.85,0
156,101,137,130,179,229,3875.13,0
157,101,135,130,178,229,3875.13,0
158,101,130,126,178,218,3875.88,0
159,100,122,121,175,204,3876.84,0
160,94,118,115,170,193,3877.6,0
161,84,111,115,168,186,3878.08,0
162,79,113,115,167,196,3877.39,0
163,80,116,111,167,200,3877.12,0
164,81,120,111,167,206,3876.71,0
165,81,124,118,167,212,3876.29,0
166,81,128,122,167,217,3875.95,0
167,81,127,124,167,214,3876.16,0
168,80,126,124,165,212,3876.29,0
169,78,121,117,165,200,3877.12,0
170,77,120,120,163,195,3877.46,0
171,75,119,119,162,194,3877.53,0
172,73,119,116,161,190,3877.81,0
173,72,119,115,161,189,3877.88,0
174,72,115,115,161,173,3878.98,0
175,71,113,114,159,172,3879.04,0
176,67,108,103,157,161,3879.8,0
177,66,107,103,157,162,3879.73,0
178,65,108,103,156,166,3879.46,0
179,64,112,104,155,170,3879.18,0
180,64,117,109,156,184,3878.22,0
