x,a,b,c,d,index_value,true_index_value,label
1,55,4,7,32,25,3807.71,0
2,127,4,7,25,25,3807.71,0
3,126,11,7,24,21,3807.95,1
4,56,25,7,24,26,3807.65,1
5,55,43,22,9,35,3807.1,1
6,29,64,55,7,55,3805.88,1
7,33,79,73,10,70,3804.96,1
8,62,92,79,10,71,3804.9,1
9,64,101,87,14,86,3803.98,1
10,76,113,91,15,107,3802.7,1
11,86,116,104,15,108,3802.64,1
12,88,128,120,15,139,3800.74,1
13,88,130,120,15,140,3800.68,1
14,87,134,121,12,145,3800.38,1
15,85,133,118,11,139,3800.74,1
16,88,130,122,11,133,3801.11,1
17,88,130,119,11,132,3801.17,1
18,88,132,114,13,143,3800.5,1
19,90,140,110,16,170,3798.85,1
20,105,146,112,18,193,3797.44,1
21,108,153,132,23,216,3796.04,1
22,117,157,141,24,231,3795.12,1
23,118,158,137,26,230,3795.18,1
24,125,160,139,27,234,3794.94,1
25,125,143,146,27,240,3794.57,1
26,124,137,143,27,258,3793.47,1
27,127,121,120,27,264,3793.11,1
28,127,122,120,27,257,3793.53,1
29,126,123,122,23,253,3793.78,1
30,122,119,125,21,236,3794.82,1
31,118,114,120,19,235,3794.88,1
32,117,110,112,18,216,3796.04,1
33,116,106,104,15,216,3796.04,1
34,113,103,107,15,205,3796.71,1
35,112,101,105,14,206,3796.65,1
36,111,100,97,16,208,3796.53,1
37,116,103,91,22,218,3795.92,1
38,122,109,93,28,236,3794.82,1
39,129,115,102,31,257,3793.53,1
40,134,122,112,33,276,3792.37,1
41,138,126,118,36,292,3791.39,1
42,141,126,120,38,297,3791.09,1
43,141,125,125,39,294,3791.27,1
44,144,125,124,40,292,3791.39,1
45,146,126,120,41,293,3791.33,1
46,149,127,120,42,293,3791.33,1
47,149,129,120,42,294,3791.27,1
48,156,134,124,43,310,3790.29,1
49,166,139,128,51,319,3789.74,1
50,170,145,136,59,337,3788.64,1
51,172,146,141,62,339,3788.52,1
52,173,145,148,63,340,3788.46,1
53,176,145,147,65,340,3788.46,1
54,182,147,145,70,343,3788.28,1
55,184,148,144,75,351,3787.79,1
56,184,148,145,77,353,3787.67,1
57,186,147,150,77,354,3787.61,1
58,186,145,149,78,350,3787.85,1
59,186,144,146,76,346,3788.09,1
60,186,144,143,74,345,3788.16,1
61,184,142,146,72,346,3788.09,1
62,180,139,145,70,338,3788.58,1
63,178,136,140,69,336,3788.71,1
64,176,131,132,69,323,3789.5,1
65,175,128,126,68,322,3789.56,1
66,175,124,126,67,311,3790.23,1
67,174,123,122,67,308,3790.42,1
68,174,122,117,68,306,3790.54,1
69,174,122,115,71,308,3790.42,1
70,181,125,119,73,329,3789.13,1
71,183,128,122,78,335,3788.77,1
72,183,131,125,80,349,3787.91,1
73,183,133,127,81,358,3787.36,1
74,185,134,126,83,358,3787.36,1
75,186,136,131,85,364,3787.0,1
76,187,136,135,86,365,3786.93,1
77,187,136,134,86,364,3787.0,1
78,188,134,131,87,364,3787.0,1
79,190,133,131,86,367,3786.81,1
80,190,129,131,85,355,3787.55,1
81,189,128,127,85,350,3787.85,1
82,186,124,120,85,335,3788.77,1
83,187,125,119,87,337,3788.64,1
84,189,126,121,89,348,3787.97,1
85,190,127,122,92,355,3787.55,1
86,192,128,122,94,363,3787.06,1
87,195,130,122,96,371,3786.57,1
88,195,131,123,99,374,3786.38,1
