x,a,b,c,d,index_value,true_index_value,label
2,151,26,57,35,153,3926.17,0
3,151,26,57,35,136,3927.68,0
4,150,20,57,35,131,3928.12,0
5,122,21,58,35,124,3928.74,0
6,107,18,53,35,113,3929.72,0
7,102,14,44,33,95,3931.31,0
8,92,7,34,32,73,3933.26,0
9,72,5,21,29,58,3934.59,0
10,41,1,11,26,46,3935.65,0
11,26,3,23,25,37,3936.45,0
12,18,8,30,24,37,3936.45,0
13,17,15,29,24,37,3936.45,0
14,19,27,27,25,42,3936.01,0
15,36,37,24,26,53,3935.03,0
16,50,50,46,26,71,3933.44,0
17,57,55,57,26,81,3932.55,0
18,57,60,55,26,86,3932.11,0
19,56,61,49,24,84,3932.29,0
20,51,60,45,23,82,3932.46,0
21,47,59,56,23,81,3932.55,0
22,51,58,54,23,76,3932.99,0
23,54,60,49,23,77,3932.91,0
24,57,62,46,25,84,3932.29,0
25,67,68,57,26,98,3931.04,0
26,77,70,58,27,108,3930.16,0
27,81,77,57,27,119,3929.18,0
28,81,77,56,27,115,3929.54,0
29,80,76,56,25,112,3929.8,0
30,77,75,65,25,103,3930.6,0
31,78,76,66,25,103,3930.6,0
32,78,74,63,25,101,3930.78,0
33,77,71,59,24,95,3931.31,0
34,74,67,62,25,90,3931.75,0
35,77,66,59,27,90,3931.75,0
36,89,73,57,28,102,3930.69,0
37,91,75,57,29,110,3929.98,0
38,99,81,61,31,125,3928.65,0
39,110,84,72,33,133,3927.94,0
40,114,84,77,34,137,3927.59,0
41,115,83,74,34,138,3927.5,0
42,118,78,70,34,131,3928.12,0
43,118,74,72,34,130,3928.21,0
44,118,67,67,33,118,3929.27,0
45,117,64,58,33,114,3929.63,0
46,117,62,51,34,106,3930.34,0
47,119,64,47,35,111,3929.89,0
48,125,68,59,35,117,3929.36,0
49,125,69,67,35,123,3928.83,0
50,128,72,65,35,130,3928.21,0
51,130,75,64,36,132,3928.03,0
52,134,78,73,36,142,3927.15,0
53,141,83,80,37,149,3926.53,0
54,141,84,80,38,153,3926.17,0
55,144,85,81,39,156,3925.91,0
56,144,82,78,39,152,3926.26,0
57,143,79,81,39,149,3926.53,0
58,142,76,77,39,145,3926.88,0
59,142,73,71,38,145,3926.88,0
60,142,69,68,37,140,3927.32,0
61,141,65,68,36,137,3927.59,0
62,138,60,62,36,129,3928.3,0
63,135,57,57,36,127,3928.48,0
64,133,58,53,36,128,3928.39,0
65,133,57,53,36,125,3928.65,0
66,133,56,56,36,125,3928.65,0
67,134,56,54,35,128,3928.39,0
68,134,56,53,35,132,3928.03,0
69,134,54,52,35,130,3928.21,0
70,132,53,54,35,129,3928.3,0
71,131,53,52,35,125,3928.65,0
72,131,52,49,35,121,3929.01,0
73,130,50,48,35,112,3929.8,0
74,125,45,47,34,104,3930.51,0
75,123,39,47,32,91,3931.67,0
76,118,34,42,29,82,3932.46,0
77,111,29,34,28,71,3933.44,0
78,108,27,34,25,69,3933.61,0
79,102,31,37,24,77,3932.91,0
80,101,37,40,26,88,3931.93,0
81,105,44,46,28,97,3931.13,0
82,112,54,50,30,113,3929.72,0
83,114,58,52,30,114,3929.63,0
84,115,63,62,30,119,3929.18,0
85,115,61,66,30,116,3929.45,0
86,114,60,61,30,117,3929.36,0
87,116,58,59,30,119,3929.18,0
88,116,57,61,30,121,3929.01,0
89,116,57,60,31,124,3928.74,0
90,118,57,57,32,127,3928.48,0
91,119,58,54,34,133,3927.94,0
92,122,61,54,34,136,3927.68,0
93,124,62,58,34,138,3927.5,0
94,125,61,61,35,133,3927.94,0
95,126,59,58,35,130,3928.21,0
96,126,56,54,35,123,3928.83,0
97,125,54,55,35,121,3929.01,0
98,126,52,53,35,117,3929.36,0
99,126,50,51,35,114,3929.63,0
100,126,47,47,35,109,3930.07,0
101,126,41,42,34,95,3931.31,0
102,125,36,42,31,80,3932.64,0
103,119,30,37,29,67,3933.79,0
104,115,23,32,28,48,3935.48,0
105,112,15,29,26,27,3937.34,0
106,108,10,26,20,18,3938.13,0
107,97,3,20,18,11,3938.75,0
108,94,3,18,18,15,3938.4,0
109,93,7,18,18,21,3937.87,0
110,93,8,15,18,21,3937.87,0
111,92,8,22,15,16,3938.31,0
112,90,6,22,14,12,3938.66,0
113,88,5,19,11,7,3939.11,0
114,84,5,18,11,8,3939.02,0
115,83,8,19,10,15,3938.4,0
116,82,10,22,10,19,3938.04,0
117,83,14,23,10,25,3937.51,0
118,83,17,23,10,28,3937.25,0
119,83,19,25,10,32,3936.89,0
120,82,18,27,9,32,3936.89,0
121,82,18,25,10,32,3936.89,0
122,84,20,23,10,31,3936.98,0
123,85,21,22,12,31,3936.98,0
124,90,31,24,14,53,3935.03,0
125,91,32,25,16,58,3934.59,0
126,94,43,34,16,85,3932.2,0
127,96,45,38,17,88,3931.93,0
128,98,49,41,18,90,3931.75,0
129,99,51,44,20,96,3931.22,0
130,104,57,47,24,103,3930.6,0
131,112,64,48,27,120,3929.1,0
132,115,69,57,30,128,3928.39,0
