x,a,b,c,d,index_value,true_index_value,label
2,156,38,205,12,53,3901.69,0
3,166,42,205,13,48,3902.01,0
4,167,46,205,13,44,3902.26,0
5,186,56,207,13,71,3900.54,0
6,186,57,204,13,72,3900.48,0
7,185,51,210,13,76,3900.22,0
8,178,38,198,13,40,3902.51,0
9,169,23,174,13,25,3903.47,0
10,175,12,150,13,19,3903.85,0
11,175,14,158,13,27,3903.34,0
12,177,21,167,14,44,3902.26,0
13,181,24,162,14,51,3901.81,0
14,181,28,152,15,57,3901.43,0
15,182,29,144,15,58,3901.37,0
16,184,32,163,16,67,3900.79,0
17,186,36,162,16,71,3900.54,0
18,186,38,158,16,72,3900.48,0
19,186,28,154,15,67,3900.79,0
20,186,20,155,15,36,3902.77,0
21,184,8,149,15,32,3903.02,0
22,179,2,135,15,20,3903.79,0
23,180,2,128,15,25,3903.47,0
24,182,8,124,16,32,3903.02,0
25,182,9,137,16,33,3902.96,0
26,186,18,135,18,38,3902.64,0
27,190,25,134,20,49,3901.94,0
28,190,30,133,22,54,3901.62,0
29,192,39,144,22,63,3901.05,0
30,192,42,151,23,66,3900.86,0
31,193,46,154,24,76,3900.22,0
32,193,47,153,23,76,3900.22,0
33,193,47,148,23,75,3900.28,0
34,191,52,158,23,84,3899.71,0
35,191,53,159,23,85,3899.65,0
36,191,50,156,22,93,3899.14,0
37,190,48,146,22,93,3899.14,0
38,190,44,138,23,97,3898.88,0
39,191,49,147,25,104,3898.44,0
40,194,53,150,26,108,3898.18,0
41,194,54,150,26,100,3898.69,0
42,193,54,144,27,99,3898.76,0
43,194,52,150,28,98,3898.82,0
44,195,55,153,29,105,3898.37,0
45,196,59,149,30,113,3897.86,0
46,197,60,145,31,112,3897.93,0
47,197,53,143,31,96,3898.95,0
48,197,50,147,31,87,3899.52,0
49,196,49,140,32,81,3899.9,0
50,197,50,139,33,82,3899.84,0
51,197,54,139,33,89,3899.39,0
52,197,59,149,33,98,3898.82,0
53,198,64,149,35,105,3898.37,0
54,199,70,148,36,117,3897.61,0
55,199,78,148,37,135,3896.46,0
56,202,86,148,38,145,3895.82,0
57,202,90,162,41,157,3895.06,0
58,202,84,170,40,141,3896.08,0
59,202,81,162,40,137,3896.33,0
60,201,74,152,40,133,3896.59,0
61,203,81,155,41,147,3895.7,0
62,204,87,157,44,164,3894.61,0
63,206,94,162,46,176,3893.85,0
64,206,96,163,46,178,3893.72,0
65,205,93,160,46,169,3894.3,0
66,204,91,162,47,168,3894.36,0
67,204,89,159,47,164,3894.61,0
68,204,87,155,46,164,3894.61,0
69,204,82,152,44,150,3895.51,0
70,203,76,152,44,150,3895.51,0
71,202,71,148,44,143,3895.95,0
72,203,69,142,45,145,3895.82,0
73,203,67,137,46,145,3895.82,0
74,203,65,133,46,144,3895.89,0
75,202,62,136,46,136,3896.4,0
76,202,60,134,47,137,3896.33,0
77,202,56,131,47,137,3896.33,0
78,203,55,126,48,130,3896.78,0
79,206,60,126,52,137,3896.33,0
80,206,62,132,54,138,3896.27,0
81,206,66,139,54,143,3895.95,0
82,206,67,136,54,144,3895.89,0
83,207,68,131,56,145,3895.82,0
84,208,74,139,57,158,3895.0,0
85,208,74,142,57,159,3894.93,0
86,208,72,139,58,157,3895.06,0
87,208,72,135,58,158,3895.0,0
88,209,75,138,60,162,3894.74,0
89,210,79,139,61,170,3894.23,0
90,211,86,140,63,180,3893.59,0
91,212,91,143,65,190,3892.96,0
92,212,96,146,66,190,3892.96,0
93,212,91,153,65,180,3893.59,0
94,212,88,150,65,167,3894.42,0
95,211,82,145,64,160,3894.87,0
96,211,72,140,63,144,3895.89,0
97,210,69,133,62,143,3895.95,0
98,209,59,131,62,131,3896.72,0
99,208,58,127,62,130,3896.78,0
100,208,57,124,62,134,3896.53,0
101,208,60,122,63,141,3896.08,0
102,210,65,128,65,154,3895.25,0
103,210,68,129,67,161,3894.81,0
104,211,71,129,68,170,3894.23,0
105,213,77,128,70,177,3893.79,0
106,213,78,132,73,179,3893.66,0
107,214,82,141,74,178,3893.72,0
108,214,83,141,75,178,3893.72,0
109,216,87,139,77,185,3893.28,0
110,217,90,139,80,190,3892.96,0
111,217,92,147,81,190,3892.96,0
112,217,92,149,82,190,3892.96,0
113,218,93,149,83,189,3893.02,0
114,219,98,149,85,199,3892.38,0
115,219,99,150,87,198,3892.45,0
116,220,103,157,88,197,3892.51,0
117,220,104,158,89,200,3892.32,0
118,220,105,158,88,204,3892.07,0
119,220,102,158,88,198,3892.45,0
120,219,99,158,88,193,3892.77,0
121,218,95,158,87,191,3892.89,0
122,218,90,153,82,180,3893.59,0
123,217,83,147,80,168,3894.36,0
124,216,75,141,80,153,3895.31,0
125,214,69,140,78,141,3896.08,0
126,213,62,135,75,136,3896.4,0
127,212,58,132,72,132,3896.65,0
128,210,49,125,70,110,3898.05,0
129,208,45,122,68,107,3898.25,0
130,207,38,116,68,97,3898.88,1
131,206,37,113,67,98,3898.82,0
132,205,38,109,65,106,3898.31,0
133,205,39,107,64,107,3898.25,0
134,204,39,111,64,109,3898.12,0
135,203,38,110,63,105,3898.37,0
136,203,36,107,63,105,3898.37,0
137,202,35,105,63,105,3898.37,0
138,202,37,105,63,114,3897.8,0
139,202,39,104,63,116,3897.67,0
140,202,41,104,63,125,3897.1,0
141,202,44,104,64,131,3896.72,0
142,202,46,104,65,133,3896.59,0
143,202,47,109,65,133,3896.59,0
144,202,47,108,65,133,3896.59,0
145,202,50,104,65,140,3896.14,0
146,202,51,106,66,149,3895.57,0
147,202,59,111,66,159,3894.93,0
148,203,62,113,67,172,3894.1,0
149,204,71,118,69,187,3893.15,0
150,204,74,122,70,196,3892.58,0
151,205,79,127,71,206,3891.94,0
152,205,80,133,72,205,3892.0,0
153,205,79,133,72,205,3892.0,0
154,205,78,130,71,203,3892.13,0
155,205,73,126,71,192,3892.83,0
156,205,73,124,71,190,3892.96,0
157,204,69,123,72,183,3893.4,0
158,204,69,122,72,186,3893.21,0
159,204,69,119,73,187,3893.15,0
160,205,70,119,74,189,3893.02,0
161,205,70,120,74,187,3893.15,0
162,205,69,121,74,187,3893.15,0
163,205,68,117,74,187,3893.15,0
164,205,69,117,74,196,3892.58,0
165,205,72,119,75,202,3892.19,0
166,206,74,121,76,202,3892.19,0
167,206,72,123,75,201,3892.26,0
168,205,71,122,75,194,3892.7,0
169,204,72,121,75,198,3892.45,0
170,204,76,123,75,204,3892.07,0
171,205,79,123,76,210,3891.68,0
172,205,83,127,77,214,3891.43,0
173,205,86,129,77,220,3891.05,0
174,205,88,132,78,225,3890.73,0
175,205,90,134,78,228,3890.54,0
176,205,90,134,79,232,3890.28,0
177,205,90,135,79,233,3890.22,0
178,205,89,134,80,238,3889.9,0
179,206,88,136,80,240,3889.77,0
180,207,92,136,82,245,3889.45,0
181,207,93,138,85,240,3889.77,0
182,207,97,141,86,240,3889.77,0
183,208,101,143,87,244,3889.52,0
184,209,107,146,89,254,3888.88,0
185,211,114,149,92,260,3888.5,0
186,211,118,152,96,271,3887.8,0
187,211,123,157,97,275,3887.54,0
188,213,129,161,99,289,3886.65,0
189,214,134,165,103,298,3886.08,0
190,214,138,170,106,306,3885.57,0
191,214,142,176,107,313,3885.12,0
192,215,144,179,109,317,3884.87,0
193,216,147,181,111,325,3884.36,0
194,216,149,181,112,329,3884.1,0
195,216,152,183,113,336,3883.65,0
196,217,152,183,115,338,3883.53,0
197,217,152,185,115,341,3883.34,0
198,217,152,184,116,344,3883.15,0
199,218,152,183,117,344,3883.15,0
200,218,152,183,119,345,3883.08,0
201,218,151,186,120,344,3883.15,0
202,218,150,186,120,343,3883.21,0
203,218,147,184,121,338,3883.53,0
204,218,144,180,122,337,3883.59,0
