x,a,b,c,d,index_value,true_index_value,label
2,105,30,154,205,368,3888.45,0
3,137,42,154,204,367,3888.52,0
4,137,46,154,204,378,3887.81,0
5,148,64,167,199,398,3886.52,0
6,149,67,174,199,411,3885.68,0
7,154,74,173,201,429,3884.52,0
8,169,79,164,201,437,3884.0,0
9,174,81,156,201,444,3883.55,0
10,181,88,150,200,460,3882.52,0
11,181,89,167,198,462,3882.39,0
12,180,89,179,193,466,3882.13,0
13,167,86,174,191,464,3882.26,0
14,166,78,158,189,454,3882.9,0
15,165,76,147,185,450,3883.16,0
16,163,76,161,181,453,3882.97,0
17,160,78,162,179,461,3882.45,0
18,161,80,156,180,463,3882.32,0
19,166,83,148,182,462,3882.39,0
20,172,86,142,182,468,3882.0,0
21,174,89,159,184,472,3881.74,0
22,178,90,160,184,469,3881.94,0
23,178,88,154,184,451,3883.1,0
24,178,80,148,180,428,3884.58,0
25,176,70,154,171,405,3886.06,0
26,167,61,143,161,380,3887.68,0
27,158,50,130,160,359,3889.03,0
28,158,49,119,157,352,3889.48,0
29,158,46,114,156,343,3890.06,0
30,157,45,126,155,339,3890.32,0
31,161,48,124,156,345,3889.93,0
32,163,52,120,156,351,3889.55,0
33,163,58,120,156,365,3888.64,0
34,165,61,131,155,369,3888.39,0
35,165,61,136,155,369,3888.39,0
36,168,61,127,156,364,3888.71,0
37,170,62,119,156,359,3889.03,0
38,170,57,118,156,344,3890.0,0
39,169,51,122,152,335,3890.58,0
40,167,44,115,146,312,3892.06,0
41,165,41,102,145,309,3892.26,0
42,165,42,100,144,308,3892.32,0
43,164,45,111,139,311,3892.13,0
44,161,47,117,137,314,3891.93,0
45,161,49,115,136,316,3891.8,0
46,163,56,110,137,328,3891.03,0
47,165,60,106,138,333,3890.71,0
48,167,67,120,138,349,3889.68,0
49,167,70,128,138,353,3889.42,0
50,168,70,125,139,350,3889.61,0
51,172,71,124,140,351,3889.55,0
52,173,70,132,140,351,3889.55,0
53,173,69,132,140,351,3889.55,0
54,173,68,126,139,348,3889.74,0
55,173,68,121,139,343,3890.06,0
56,172,66,120,134,341,3890.19,0
57,171,64,121,133,334,3890.64,0
58,171,67,117,135,333,3890.71,0
59,173,73,116,138,339,3890.32,0
60,178,82,115,139,352,3889.48,0
61,178,86,129,139,358,3889.1,0
62,177,92,139,138,365,3888.64,0
63,179,93,136,138,365,3888.64,0
64,179,93,133,138,358,3889.1,0
65,179,88,132,135,350,3889.61,0
66,177,86,132,130,341,3890.19,0
67,175,81,130,131,336,3890.51,0
68,176,82,125,131,337,3890.45,0
69,178,85,124,132,345,3889.93,0
70,179,87,133,132,346,3889.87,0
71,179,90,138,135,353,3889.42,0
72,181,93,135,138,358,3889.1,0
73,185,98,135,145,367,3888.52,0
74,189,106,136,147,383,3887.48,0
75,191,111,145,149,390,3887.03,0
76,191,117,157,149,403,3886.19,0
77,192,119,161,149,402,3886.26,0
78,192,116,158,150,398,3886.52,0
79,194,115,157,151,402,3886.26,0
80,195,115,155,153,402,3886.26,0
81,196,116,155,153,413,3885.55,0
82,196,116,152,153,414,3885.48,0
83,196,115,151,153,417,3885.29,0
84,197,114,154,155,418,3885.23,0
85,199,114,152,155,417,3885.29,0
86,199,113,147,159,411,3885.68,0
87,202,118,146,162,421,3885.03,0
88,203,121,150,163,423,3884.9,0
89,204,127,159,164,435,3884.13,0
90,205,128,161,166,436,3884.07,0
91,206,128,159,167,443,3883.61,0
92,207,129,157,169,445,3883.49,0
93,208,129,163,172,450,3883.16,0
94,210,130,162,173,452,3883.03,0
95,210,131,162,173,452,3883.03,0
96,210,128,161,173,442,3883.68,0
97,211,124,159,173,438,3883.94,0
98,211,121,158,173,424,3884.84,0
99,211,119,153,171,421,3885.03,0
100,210,116,148,171,419,3885.16,0
101,211,115,147,173,418,3885.23,0
102,211,113,147,175,417,3885.29,0
103,213,115,145,176,425,3884.78,0
104,213,116,144,176,427,3884.65,0
105,213,114,145,174,431,3884.39,0
106,212,113,144,170,425,3884.78,0
107,211,112,146,170,424,3884.84,0
108,211,112,145,170,424,3884.84,0
109,211,112,143,170,425,3884.78,0
110,211,114,143,171,430,3884.45,0
111,212,114,145,171,437,3884.0,0
112,212,116,151,171,441,3883.74,0
113,213,116,152,172,441,3883.74,0
114,213,116,151,172,434,3884.19,0
115,213,115,151,171,431,3884.39,0
116,213,116,153,173,429,3884.52,0
117,215,120,155,174,435,3884.13,0
118,215,122,156,174,438,3883.94,0
119,215,121,159,174,436,3884.07,0
120,215,122,162,176,440,3883.81,0
121,216,123,161,177,440,3883.81,0
122,216,123,161,178,445,3883.49,0
123,217,122,159,178,438,3883.94,0
124,217,119,158,178,430,3884.45,0
125,217,116,158,178,421,3885.03,0
126,217,113,153,178,414,3885.48,0
127,217,110,147,178,404,3886.13,0
128,218,109,144,178,404,3886.13,0
129,218,108,144,178,404,3886.13,0
130,218,110,145,181,408,3885.87,0
131,219,113,146,182,412,3885.61,0
132,219,113,146,182,406,3886.0,0
133,219,112,148,181,402,3886.26,0
134,219,113,151,180,394,3886.77,0
135,219,113,152,180,395,3886.71,0
136,219,112,150,180,392,3886.9,0
137,219,111,148,180,394,3886.77,0
138,219,108,148,179,395,3886.71,0
139,219,106,146,177,393,3886.84,0
140,218,103,142,176,383,3887.48,0
141,218,100,139,174,374,3888.06,0
142,217,100,138,173,371,3888.26,0
143,217,103,140,173,373,3888.13,0
144,217,103,141,173,372,3888.19,0
145,217,103,141,171,371,3888.26,0
146,216,100,138,169,369,3888.39,0
147,216,100,140,168,372,3888.19,0
148,215,94,139,167,360,3888.97,0
149,214,93,133,159,359,3889.03,0
150,212,86,125,158,342,3890.13,0
151,212,85,124,158,344,3890.0,0
152,212,84,124,158,345,3889.93,0
153,212,82,122,158,345,3889.93,0
154,212,79,120,156,339,3890.32,0
155,211,75,116,151,334,3890.64,0
156,210,71,116,149,327,3891.1,0
157,209,69,112,147,324,3891.29,0
158,208,67,110,145,322,3891.42,0
159,208,64,107,144,311,3892.13,0
160,207,63,105,140,308,3892.32,0
161,206,61,105,138,300,3892.84,0
162,205,63,105,137,307,3892.38,0
163,206,65,106,139,311,3892.13,0
164,206,68,106,139,324,3891.29,0
165,206,69,110,140,326,3891.16,0
166,206,71,112,141,334,3890.64,0
167,208,73,111,141,338,3890.39,0
168,208,75,113,141,340,3890.26,0
169,208,76,114,141,349,3889.68,0
170,208,76,116,142,349,3889.68,0
171,209,79,119,143,355,3889.29,0
172,209,81,119,143,358,3889.1,0
173,209,83,121,143,362,3888.84,0
174,209,83,124,142,367,3888.52,0
175,209,82,123,141,363,3888.77,0
176,209,79,123,140,360,3888.97,0
177,208,77,119,140,347,3889.81,0
178,208,75,115,138,346,3889.87,0
179,208,77,115,140,347,3889.81,0
180,209,80,116,143,354,3889.35,0
181,210,81,117,143,359,3889.03,0
182,210,82,118,143,354,3889.35,0
183,210,81,117,141,351,3889.55,0
184,210,82,116,143,358,3889.1,0
185,210,85,115,143,364,3888.71,0
186,210,87,117,145,371,3888.26,0
187,211,90,118,148,378,3887.81,0
188,212,92,120,150,383,3887.48,0
189,213,95,122,153,391,3886.97,0
190,214,97,124,153,395,3886.71,0
191,214,98,125,153,396,3886.65,0
192,214,97,126,152,393,3886.84,0
193,214,96,127,151,392,3886.9,0
194,214,95,124,151,392,3886.9,0
