x,a,b,c,d,index_value,true_index_value,label
2,110,104,115,12,183,3907.24,0
3,110,103,115,12,173,3908.42,0
4,109,101,115,13,168,3909.02,0
5,140,113,128,14,180,3907.59,0
6,167,118,142,16,184,3907.12,0
7,210,131,152,19,192,3906.17,0
8,210,133,160,22,196,3905.7,0
9,210,139,164,24,205,3904.63,0
10,209,134,164,24,199,3905.34,0
11,208,133,171,24,198,3905.46,0
12,204,127,169,24,183,3907.24,0
13,203,126,162,24,182,3907.36,0
14,198,121,151,25,185,3907.0,0
15,198,121,145,25,191,3906.29,0
16,205,119,152,26,196,3905.7,0
17,205,115,150,25,194,3905.94,0
18,204,110,142,21,180,3907.59,0
19,194,99,131,19,162,3909.73,0
20,183,88,130,16,135,3912.93,0
21,172,76,121,15,110,3915.89,0
22,152,69,108,15,97,3917.43,0
23,141,66,98,14,90,3918.26,0
24,140,63,98,13,81,3919.32,0
25,135,58,98,13,77,3919.8,0
26,125,61,95,12,76,3919.92,0
27,124,62,91,12,78,3919.68,0
28,119,60,86,11,72,3920.39,0
29,115,59,86,10,68,3920.86,0
30,113,62,89,11,71,3920.51,0
31,116,70,90,11,87,3918.61,0
32,125,78,89,12,99,3917.19,0
33,130,87,90,13,115,3915.3,0
34,135,93,102,14,125,3914.11,0
35,135,97,110,15,126,3913.99,0
36,140,100,109,15,124,3914.23,0
37,140,102,109,16,126,3913.99,0
38,140,104,111,16,126,3913.99,0
39,140,105,114,16,128,3913.76,0
40,140,104,113,15,125,3914.11,0
41,139,101,111,14,119,3914.82,0
42,137,97,103,14,113,3915.53,0
43,139,96,107,15,116,3915.18,0
44,139,97,106,16,117,3915.06,0
45,143,101,106,17,127,3913.87,0
46,145,101,103,18,128,3913.76,0
47,145,103,103,18,128,3913.76,0
48,147,103,108,18,126,3913.99,0
49,147,104,106,19,129,3913.64,0
50,149,105,106,20,133,3913.16,0
51,149,104,102,20,133,3913.16,0
52,149,99,104,19,127,3913.87,0
53,149,94,99,19,116,3915.18,0
54,147,89,90,18,110,3915.89,0
55,145,87,83,18,108,3916.13,0
56,144,88,81,18,112,3915.65,0
57,143,89,89,18,114,3915.41,0
58,144,89,91,18,122,3914.47,0
59,144,89,89,18,124,3914.23,0
60,144,91,85,19,131,3913.4,0
61,148,96,91,20,141,3912.22,0
62,149,99,96,22,150,3911.15,0
63,153,106,101,23,162,3909.73,0
64,155,109,104,24,166,3909.25,0
65,159,112,105,26,173,3908.42,0
66,164,116,112,28,179,3907.71,0
67,166,119,116,30,189,3906.53,0
68,170,122,118,31,192,3906.17,0
69,176,129,121,33,202,3904.99,0
70,176,129,129,34,202,3904.99,0
71,175,127,132,34,201,3905.11,0
72,173,119,123,33,195,3905.82,0
73,172,116,117,33,195,3905.82,0
74,170,113,113,33,194,3905.94,0
75,170,113,113,33,195,3905.82,0
76,171,113,112,34,196,3905.7,0
77,171,111,111,34,191,3906.29,0
78,170,109,108,34,190,3906.41,0
79,175,112,109,35,197,3905.58,0
80,180,115,111,39,204,3904.75,0
81,182,121,118,41,213,3903.68,0
82,183,121,122,42,213,3903.68,0
83,183,116,121,42,205,3904.63,0
84,182,112,122,42,200,3905.22,0
85,181,105,115,42,194,3905.94,0
86,181,100,107,42,189,3906.53,0
87,181,95,99,41,188,3906.65,0
88,180,92,98,41,186,3906.88,0
89,179,90,94,41,182,3907.36,0
90,179,89,90,41,181,3907.48,0
91,180,89,86,42,182,3907.36,0
92,180,91,85,42,185,3907.0,0
93,181,95,91,43,193,3906.05,0
94,181,96,94,44,191,3906.29,0
95,181,94,94,43,190,3906.41,0
96,181,90,90,42,176,3908.07,0
97,180,88,89,41,173,3908.42,0
98,178,85,86,41,163,3909.61,0
99,177,83,82,41,163,3909.61,0
100,176,84,77,41,166,3909.25,0
101,176,85,76,41,167,3909.13,0
102,175,85,82,41,172,3908.54,0
103,176,88,81,41,177,3907.95,0
104,180,90,81,43,185,3907.0,0
105,180,93,84,45,189,3906.53,0
106,181,91,87,45,187,3906.76,0
107,181,89,87,44,184,3907.12,0
108,181,86,84,44,180,3907.59,0
109,179,84,80,44,176,3908.07,0
110,179,83,79,45,174,3908.3,0
111,179,83,80,45,172,3908.54,0
112,179,81,80,45,167,3909.13,0
113,179,78,77,42,163,3909.61,0
114,179,72,72,40,149,3911.27,0
115,177,68,67,40,145,3911.74,0
116,173,63,65,40,133,3913.16,0
117,170,62,62,39,134,3913.04,0
118,170,62,60,38,135,3912.93,0
119,168,62,60,37,139,3912.45,0
120,167,61,59,37,137,3912.69,0
121,166,61,59,37,137,3912.69,0
122,166,61,58,36,137,3912.69,0
123,165,59,57,36,134,3913.04,0
124,164,57,56,35,128,3913.76,0
125,163,53,55,33,120,3914.7,0
126,162,50,52,31,113,3915.53,0
127,160,46,48,30,105,3916.48,0
128,157,39,43,28,93,3917.9,0
129,155,37,43,27,86,3918.73,0
130,152,29,38,26,74,3920.15,0
131,150,29,34,26,71,3920.51,0
132,149,28,30,26,74,3920.15,0
133,149,30,30,25,75,3920.04,0
134,149,33,35,24,80,3919.44,0
135,147,34,37,23,80,3919.44,0
136,146,35,36,23,81,3919.32,0
137,145,37,36,23,85,3918.85,0
138,145,38,38,21,86,3918.73,0
139,144,36,40,20,89,3918.38,0
140,141,36,39,20,84,3918.97,0
141,140,34,35,19,83,3919.09,0
142,140,33,35,18,79,3919.56,0
143,138,32,35,18,77,3919.8,0
144,137,31,32,17,74,3920.15,0
145,136,30,30,16,67,3920.98,0
146,135,29,30,15,64,3921.34,0
147,134,26,31,14,55,3922.41,0
148,133,25,30,13,50,3923.0,0
149,132,23,27,12,45,3923.59,0
150,130,19,23,11,39,3924.3,0
151,128,12,20,10,28,3925.6,0
152,126,9,18,9,21,3926.43,0
153,122,2,11,7,10,3927.74,0
154,120,1,10,6,4,3928.45,1
155,119,3,8,5,8,3927.97,0
156,118,9,12,5,16,3927.03,0
157,118,13,18,5,26,3925.84,0
158,118,18,22,5,35,3924.77,0
159,118,20,22,5,37,3924.54,0
160,118,20,22,4,33,3925.01,0
161,117,20,23,4,32,3925.13,0
162,116,19,22,4,28,3925.6,0
163,116,19,20,4,28,3925.6,0
164,117,21,19,5,29,3925.49,0
165,118,24,21,5,30,3925.37,0
166,118,27,23,5,31,3925.25,0
167,118,31,25,5,37,3924.54,0
168,118,35,28,6,39,3924.3,0
169,119,38,30,6,45,3923.59,0
170,119,41,33,7,50,3923.0,0
171,120,44,35,7,55,3922.41,0
172,121,46,37,7,60,3921.81,0
173,121,47,37,8,65,3921.22,0
174,122,49,37,9,68,3920.86,0
175,123,52,38,9,72,3920.39,0
176,123,53,39,10,74,3920.15,0
177,124,55,40,10,78,3919.68,0
178,125,56,40,10,79,3919.56,0
179,125,55,41,10,79,3919.56,0
180,125,55,41,10,77,3919.8,0
181,124,53,38,10,75,3920.04,0
182,124,52,37,10,70,3920.63,0
183,124,51,37,10,69,3920.75,0
184,124,53,34,11,74,3920.15,0
185,125,56,34,11,79,3919.56,0
186,126,59,37,11,88,3918.49,0
187,126,62,40,12,94,3917.78,0
188,127,63,43,12,97,3917.43,0
189,127,64,44,12,99,3917.19,0
190,127,64,44,12,98,3917.31,0
191,127,63,45,12,95,3917.67,0
192,126,61,45,11,92,3918.02,0
193,124,58,45,7,87,3918.61,0
194,121,56,42,5,86,3918.73,0
195,119,54,39,5,83,3919.09,0
196,119,52,38,5,80,3919.44,0
197,119,51,38,4,77,3919.8,0
198,118,50,37,4,76,3919.92,0
199,118,51,36,5,80,3919.44,0
200,119,52,36,6,83,3919.09,0
201,121,54,36,7,88,3918.49,0
202,121,56,38,8,93,3917.9,0
203,122,59,40,9,100,3917.07,0
204,123,62,42,10,103,3916.72,0
205,124,64,44,11,110,3915.89,0
206,125,67,47,11,115,3915.3,0
207,126,69,49,12,117,3915.06,0
208,127,72,51,12,123,3914.35,0
209,127,73,53,12,124,3914.23,0
210,128,73,56,13,124,3914.23,0
211,129,75,56,13,125,3914.11,0
212,131,77,58,13,128,3913.76,0
213,131,80,61,14,130,3913.52,0
214,131,80,63,14,126,3913.99,0
215,132,79,63,14,125,3914.11,0
216,132,79,61,15,122,3914.47,0
217,133,79,60,15,125,3914.11,0
218,134,81,60,16,133,3913.16,0
