x,a,b,c,d,index_value,true_index_value,label
2,185,13,97,154,213,3904.79,0
3,243,37,97,160,229,3902.83,0
4,243,60,97,163,236,3901.97,0
5,242,88,120,165,246,3900.75,0
6,231,107,154,167,245,3900.87,0
7,230,116,173,168,261,3898.91,0
8,214,123,187,169,265,3898.42,0
9,214,126,197,169,279,3896.71,0
10,213,123,193,168,270,3897.81,0
11,203,120,206,168,265,3898.42,0
12,181,118,207,168,257,3899.4,0
13,175,118,199,169,257,3899.4,0
14,174,121,192,171,269,3897.93,0
15,180,125,185,173,272,3897.56,0
16,186,129,198,175,285,3895.97,0
17,186,135,208,176,291,3895.24,0
18,188,138,208,177,294,3894.87,0
19,188,143,210,179,302,3893.89,0
20,188,149,212,179,309,3893.03,0
21,188,152,225,178,316,3892.18,0
22,187,153,231,175,315,3892.3,0
23,178,147,223,174,313,3892.54,0
24,169,141,216,174,292,3895.11,0
25,164,135,212,174,288,3895.6,0
26,157,127,201,174,278,3896.83,0
27,156,125,195,174,282,3896.34,0
28,155,122,182,175,283,3896.22,0
29,153,124,182,176,285,3895.97,0
30,153,126,188,175,287,3895.73,0
31,152,127,191,174,284,3896.09,0
32,149,125,185,173,281,3896.46,0
33,146,121,179,171,271,3897.68,0
34,143,119,180,170,268,3898.05,0
35,137,115,174,168,260,3899.03,0
36,135,112,164,166,253,3899.89,0
37,131,109,154,161,248,3900.5,0
38,125,101,150,159,239,3901.6,0
39,118,100,148,158,226,3903.19,0
40,113,96,131,158,223,3903.56,0
41,105,97,133,157,219,3904.05,0
42,104,101,135,156,226,3903.19,0
43,102,105,141,155,231,3902.58,0
44,101,108,146,153,230,3902.7,0
45,100,107,146,153,228,3902.95,0
46,95,103,136,153,219,3904.05,0
47,93,102,131,153,219,3904.05,0
48,93,104,133,153,220,3903.93,0
49,94,110,135,153,226,3903.19,0
50,94,112,135,153,231,3902.58,0
51,94,118,136,153,239,3901.6,0
52,94,122,144,153,250,3900.26,0
53,94,125,150,153,256,3899.52,0
54,95,129,152,154,262,3898.79,0
55,98,131,152,155,268,3898.05,0
56,100,134,152,157,271,3897.68,0
57,102,135,162,157,277,3896.95,3
58,102,135,165,156,273,3897.44,0
59,102,132,161,156,269,3897.93,0
60,105,130,156,157,258,3899.28,0
61,106,129,154,160,255,3899.64,0
62,106,129,156,160,252,3900.01,0
63,106,128,157,160,251,3900.13,0
64,105,127,151,160,248,3900.5,0
65,105,126,147,159,247,3900.62,0
66,104,126,153,158,245,3900.87,0
67,102,124,152,158,244,3900.99,0
68,101,125,149,158,245,3900.87,0
69,101,125,143,158,246,3900.75,0
70,101,122,148,156,235,3902.09,0
71,100,120,144,155,232,3902.46,0
72,97,118,136,154,215,3904.54,0
73,96,117,134,154,214,3904.66,0
74,96,117,129,153,209,3905.27,0
75,95,114,135,152,201,3906.25,0
76,92,113,135,151,198,3906.62,0
77,88,113,129,150,195,3906.99,0
78,88,114,129,149,198,3906.62,0
79,90,116,129,148,204,3905.89,0
80,90,106,134,148,204,3905.89,0
81,89,103,133,147,203,3906.01,0
82,81,90,117,147,198,3906.62,0
83,80,90,111,147,200,3906.38,0
84,82,93,116,147,209,3905.27,0
85,82,95,123,147,211,3905.03,0
86,82,97,124,147,218,3904.17,0
87,81,96,122,147,212,3904.91,0
88,80,96,122,145,211,3905.03,0
89,79,94,121,145,207,3905.52,0
90,79,93,116,144,207,3905.52,0
91,79,92,108,144,205,3905.76,0
92,79,92,106,146,207,3905.52,0
93,81,94,106,146,209,3905.27,0
94,81,95,106,147,212,3904.91,0
95,81,97,109,149,213,3904.79,0
96,85,100,110,149,219,3904.05,0
97,86,102,112,149,220,3903.93,0
98,90,104,119,149,220,3903.93,0
99,90,103,120,149,218,3904.17,0
100,90,100,118,149,213,3904.79,0
101,88,97,114,150,194,3907.11,0
102,87,94,116,150,190,3907.6,0
103,85,91,111,148,170,3910.05,0
104,83,90,111,147,166,3910.54,0
105,81,91,110,145,165,3910.66,0
106,81,91,112,145,162,3911.03,0
107,80,90,113,144,158,3911.52,0
108,79,89,109,142,155,3911.89,0
109,78,88,105,142,156,3911.76,0
110,76,88,102,140,157,3911.64,0
111,75,88,102,140,159,3911.4,0
112,75,89,103,140,159,3911.4,0
113,74,89,102,139,158,3911.52,0
114,73,88,98,138,155,3911.89,0
115,73,89,98,138,154,3912.01,0
116,73,90,100,138,155,3911.89,0
117,73,91,100,138,156,3911.76,0
118,73,90,95,137,154,3912.01,0
119,72,91,91,137,155,3911.89,0
120,72,91,94,137,156,3911.76,0
121,72,92,96,136,156,3911.76,0
122,71,91,93,136,157,3911.64,0
123,71,94,91,136,167,3910.42,0
124,71,95,91,136,170,3910.05,0
125,71,95,97,135,171,3909.93,0
126,71,94,95,134,168,3910.29,0
127,70,93,90,133,164,3910.78,0
128,70,95,90,134,168,3910.29,0
129,70,96,91,134,174,3909.56,0
130,70,97,94,134,179,3908.95,0
131,71,98,94,134,182,3908.58,0
132,71,99,92,135,183,3908.46,0
133,71,100,92,135,186,3908.09,0
134,72,102,94,135,188,3907.85,0
135,72,103,95,135,187,3907.97,0
136,72,102,96,134,187,3907.97,0
137,71,100,95,134,181,3908.7,0
138,71,98,94,133,177,3909.19,0
139,70,96,89,132,171,3909.93,0
140,69,97,84,131,171,3909.93,0
141,69,96,84,131,166,3910.54,0
142,68,95,83,129,160,3911.27,0
143,67,94,81,129,154,3912.01,0
144,67,97,80,129,161,3911.15,0
145,67,98,84,129,162,3911.03,0
146,67,98,84,128,161,3911.15,0
147,66,97,83,127,155,3911.89,0
148,64,96,77,125,149,3912.62,0
149,64,97,77,125,152,3912.25,0
150,64,98,76,125,153,3912.13,0
151,64,98,77,124,152,3912.25,0
152,63,98,79,124,146,3912.99,0
153,63,97,78,123,145,3913.11,0
154,62,96,73,123,145,3913.11,0
155,63,97,73,123,148,3912.74,0
156,63,98,74,123,149,3912.62,0
157,63,99,77,123,153,3912.13,0
158,63,100,76,124,159,3911.4,0
159,63,102,78,125,163,3910.91,0
160,65,105,78,125,172,3909.8,0
161,65,106,81,125,173,3909.68,0
162,65,105,84,125,168,3910.29,0
163,64,104,82,125,165,3910.66,0
164,65,107,79,126,170,3910.05,0
165,66,110,82,128,178,3909.07,0
166,67,113,89,128,188,3907.85,0
167,67,114,94,128,193,3907.23,0
168,68,115,95,128,191,3907.48,0
169,68,113,94,128,181,3908.7,0
170,68,111,93,127,178,3909.07,0
171,67,107,88,126,167,3910.42,0
172,66,105,83,126,162,3911.03,0
173,66,103,80,125,152,3912.25,0
174,65,102,77,124,150,3912.5,0
175,65,101,75,124,146,3912.99,0
176,65,101,75,123,146,3912.99,0
177,64,100,72,123,143,3913.36,0
178,64,97,72,123,137,3914.09,0
179,64,94,71,122,124,3915.68,0
180,62,91,66,117,118,3916.42,0
181,60,90,62,116,113,3917.03,0
182,59,85,63,116,97,3918.99,0
183,57,84,62,109,93,3919.48,0
184,53,80,54,106,77,3921.44,0
185,51,80,56,105,77,3921.44,0
186,51,81,55,105,81,3920.95,0
187,51,82,55,105,83,3920.7,0
188,51,82,56,104,87,3920.21,0
189,50,82,56,103,85,3920.46,0
190,49,81,54,103,82,3920.82,0
191,49,79,50,102,78,3921.31,0
192,47,78,49,99,77,3921.44,0
193,46,81,49,99,82,3920.82,0
194,46,82,52,99,84,3920.58,0
195,46,83,54,99,86,3920.33,0
196,46,82,53,96,82,3920.82,0
197,45,82,53,95,81,3920.95,0
198,45,84,50,96,84,3920.58,0
199,45,87,52,97,95,3919.23,0
200,46,89,55,97,101,3918.5,0
201,46,91,59,97,108,3917.64,0
202,46,90,61,97,104,3918.13,0
203,46,90,57,96,103,3918.25,0
204,45,87,55,95,100,3918.62,0
205,45,86,53,95,95,3919.23,0
206,44,84,50,93,88,3920.09,0
207,43,83,47,92,80,3921.07,0
208,43,82,44,91,74,3921.8,0
209,42,82,42,91,75,3921.68,0
210,41,81,40,90,76,3921.56,0
211,41,83,40,88,85,3920.46,0
212,40,84,40,88,86,3920.33,0
213,41,86,45,88,92,3919.6,0
214,41,83,46,88,79,3921.19,0
215,40,82,45,86,76,3921.56,0
216,39,79,39,85,65,3922.9,0
217,39,78,37,85,67,3922.66,0
218,39,78,37,85,69,3922.41,0
219,38,78,34,84,70,3922.29,0
220,38,80,34,84,73,3921.92,0
221,39,82,38,84,76,3921.56,0
222,39,82,40,84,73,3921.92,0
223,39,82,39,84,72,3922.05,0
224,39,81,39,84,69,3922.41,0
225,39,81,39,84,68,3922.54,0
226,39,80,37,83,67,3922.66,0
227,38,77,34,82,53,3924.37,0
228,37,75,31,79,48,3924.99,0
229,35,72,27,76,34,3926.7,0
230,34,71,26,75,31,3927.07,0
231,33,70,24,75,25,3927.8,0
232,32,72,22,73,28,3927.43,0
233,32,74,26,73,33,3926.82,0
234,32,78,30,74,42,3925.72,0
235,33,80,34,74,48,3924.99,0
236,33,79,35,74,44,3925.48,0
237,33,79,35,73,43,3925.6,0
238,32,79,35,72,42,3925.72,0
239,32,80,35,72,44,3925.48,0
240,31,78,34,70,39,3926.09,0
241,30,75,30,69,34,3926.7,0
242,29,74,29,67,30,3927.19,0
243,29,75,26,67,33,3926.82,0
244,29,75,28,67,33,3926.82,0
245,29,74,26,66,33,3926.82,0
246,29,75,24,66,33,3926.82,0
247,29,77,26,66,38,3926.21,0
248,29,78,30,66,40,3925.96,0
249,29,78,30,65,43,3925.6,0
250,29,78,30,65,42,3925.72,0
251,29,78,31,65,41,3925.84,0
252,28,78,31,64,40,3925.96,0
253,28,78,30,63,39,3926.09,0
254,27,78,30,63,41,3925.84,0
255,27,78,30,63,37,3926.33,0
256,27,76,30,61,32,3926.94,0
257,26,75,26,59,25,3927.8,0
258,25,73,24,59,22,3928.17,0
259,25,74,23,58,23,3928.05,0
260,25,77,22,59,30,3927.19,0
