x,a,b,c,d,index_value,true_index_value,label
2,116,33,55,28,35,3783.58,0
3,116,30,55,27,20,3785.31,0
4,115,29,55,25,15,3785.88,0
5,79,29,57,22,11,3786.35,0
6,38,37,64,21,16,3785.77,0
7,48,43,64,21,23,3784.96,0
8,49,48,66,21,24,3784.85,0
9,55,53,64,21,38,3783.23,0
10,55,52,57,21,33,3783.81,0
11,54,51,60,19,32,3783.92,0
12,56,49,62,20,27,3784.5,0
13,71,54,57,20,29,3784.27,0
14,71,55,53,20,30,3784.15,0
15,71,57,53,20,34,3783.69,0
16,75,62,61,20,38,3783.23,0
17,75,63,63,22,41,3782.89,0
18,80,69,66,24,50,3781.85,0
19,97,71,65,26,56,3781.16,0
20,111,75,65,27,64,3780.23,0
21,126,81,77,28,78,3778.62,0
22,140,86,85,30,92,3777.0,0
23,148,92,87,32,111,3774.81,0
24,171,100,87,38,127,3772.97,0
25,182,101,99,40,136,3771.93,0
26,185,104,106,42,142,3771.24,0
27,189,100,100,43,139,3771.58,0
28,189,99,93,45,147,3770.66,0
29,199,100,95,47,148,3770.54,0
30,199,101,101,47,148,3770.54,0
31,198,98,98,47,142,3771.24,0
32,196,96,88,49,134,3772.16,0
33,204,95,85,52,138,3771.7,0
34,207,93,91,53,139,3771.58,0
35,209,92,89,54,139,3771.58,0
36,215,87,81,56,129,3772.74,0
37,215,84,77,57,119,3773.89,0
38,215,82,76,54,111,3774.81,0
39,214,74,75,52,82,3778.16,0
40,211,70,68,52,74,3779.08,0
41,199,64,58,51,52,3781.62,0
42,195,60,50,50,47,3782.19,0
43,193,57,54,48,40,3783.0,0
44,188,56,53,46,40,3783.0,0
45,183,50,47,43,30,3784.15,0
46,181,47,39,42,25,3784.73,0
47,174,42,31,42,16,3785.77,0
48,162,40,36,37,10,3786.46,0
49,162,40,34,35,7,3786.81,1
50,160,42,34,35,11,3786.35,0
51,151,47,34,36,24,3784.85,0
52,149,53,38,37,34,3783.69,0
53,152,62,49,38,53,3781.5,0
54,153,68,57,39,64,3780.23,0
55,157,75,63,41,82,3778.16,0
56,160,78,65,42,87,3777.58,0
57,160,79,71,43,96,3776.54,0
58,160,79,72,43,96,3776.54,0
59,160,78,69,43,97,3776.43,0
60,169,82,64,44,109,3775.04,0
61,172,83,66,49,114,3774.47,0
62,172,86,72,49,129,3772.74,0
63,171,85,71,49,131,3772.5,0
64,170,86,69,49,137,3771.81,0
65,179,88,69,51,142,3771.24,0
66,179,88,73,53,144,3771.01,0
67,178,86,75,53,137,3771.81,0
68,180,85,69,54,134,3772.16,0
69,180,84,67,56,131,3772.5,0
70,186,85,69,59,133,3772.27,0
71,186,86,71,60,133,3772.27,0
72,186,86,70,59,128,3772.85,0
73,186,85,66,59,124,3773.31,0
74,190,86,63,60,129,3772.74,0
75,190,87,64,61,131,3772.5,0
76,189,88,67,61,136,3771.93,0
77,187,87,66,61,134,3772.16,0
78,192,89,63,62,139,3771.58,0
79,196,92,63,66,144,3771.01,0
80,199,95,70,69,152,3770.08,0
81,205,100,73,71,163,3768.81,0
82,207,103,75,75,172,3767.78,0
83,211,106,79,77,178,3767.08,0
84,211,106,85,77,174,3767.54,0
85,210,103,87,77,166,3768.47,0
86,208,102,82,77,165,3768.58,0
87,211,101,79,66,165,3768.58,0
88,211,77,79,62,159,3769.28,0
89,210,65,80,60,156,3769.62,0
90,184,37,55,59,146,3770.77,0
91,178,23,46,58,144,3771.01,0
92,175,17,42,57,141,3771.35,0
93,174,13,42,56,135,3772.04,0
94,172,9,39,56,134,3772.16,0
95,171,9,35,57,133,3772.27,0
96,173,10,34,59,134,3772.16,0
97,173,11,37,58,135,3772.04,0
98,173,10,39,56,133,3772.27,0
99,172,7,37,55,126,3773.08,0
100,170,6,32,55,123,3773.43,0
101,168,6,28,56,119,3773.89,0
102,168,8,31,56,124,3773.31,0
103,171,13,34,57,137,3771.81,0
104,172,16,35,60,144,3771.01,0
105,172,20,40,61,150,3770.31,0
106,175,20,44,63,149,3770.43,0
107,175,22,44,64,151,3770.2,0
108,175,23,44,63,157,3769.51,0
109,175,24,42,62,158,3769.39,0
110,175,20,42,61,143,3771.12,0
111,174,18,41,61,137,3771.81,0
112,172,12,36,59,118,3774.0,0
113,171,10,31,59,115,3774.35,0
114,170,9,26,59,111,3774.81,0
115,169,9,24,59,112,3774.7,0
