x,a,b,c,d,index_value,true_index_value,label
2,60,157,127,19,398,3910.36,0
3,59,134,127,17,395,3910.58,0
4,21,127,127,15,383,3911.46,0
5,44,118,117,15,357,3913.37,0
6,46,113,117,18,345,3914.26,0
7,73,109,107,19,332,3915.21,0
8,93,112,103,20,333,3915.14,0
9,95,114,101,20,337,3914.84,0
10,95,114,101,20,338,3914.77,0
11,94,111,109,20,332,3915.21,0
12,89,104,109,18,316,3916.39,0
13,88,98,95,17,296,3917.86,0
14,87,88,82,14,270,3919.77,0
15,68,81,73,10,243,3921.76,0
16,51,76,74,7,233,3922.5,0
17,33,73,69,6,228,3922.86,0
18,34,74,65,5,233,3922.5,0
19,34,77,61,5,235,3922.35,0
20,39,82,66,7,252,3921.1,0
21,51,87,77,7,257,3920.73,0
22,52,91,81,8,271,3919.7,0
23,55,92,79,10,264,3920.22,0
24,73,95,74,13,267,3919.99,0
25,85,102,83,17,280,3919.04,0
26,96,106,90,19,296,3917.86,0
27,99,109,92,19,303,3917.35,0
28,103,108,92,20,303,3917.35,0
29,109,108,89,20,305,3917.2,0
30,114,110,93,21,316,3916.39,0
31,121,111,92,21,330,3915.36,0
32,123,110,90,22,337,3914.84,0
33,132,110,87,23,341,3914.55,0
34,151,116,90,26,354,3913.59,0
35,157,118,94,32,368,3912.56,0
36,159,124,100,33,382,3911.53,0
37,162,124,99,34,384,3911.39,0
38,166,123,96,36,385,3911.31,0
39,178,124,101,39,389,3911.02,0
40,182,123,103,41,391,3910.87,0
41,182,121,99,42,385,3911.31,0
42,185,118,94,43,383,3911.46,0
43,185,115,96,44,380,3911.68,0
44,189,114,96,45,383,3911.46,0
45,199,118,94,48,395,3910.58,0
46,202,121,93,52,405,3909.84,0
47,209,126,98,54,415,3909.11,0
48,222,131,107,59,426,3908.3,0
49,232,136,113,63,431,3907.93,0
50,240,140,116,70,436,3907.56,0
51,242,140,123,71,431,3907.93,0
52,242,135,128,69,417,3908.96,0
53,241,128,122,67,402,3910.06,0
54,236,121,112,67,384,3911.39,0
55,229,117,104,68,380,3911.68,0
56,226,112,100,67,378,3911.83,0
57,226,110,102,66,373,3912.2,0
58,224,107,97,67,370,3912.42,0
59,223,108,93,68,374,3912.12,0
60,226,108,94,70,383,3911.46,0
61,226,110,97,71,388,3911.09,0
62,228,110,97,72,389,3911.02,0
63,228,112,99,73,397,3910.43,0
64,228,111,98,73,398,3910.36,0
65,228,109,96,73,397,3910.43,0
66,226,107,96,73,391,3910.87,0
67,230,107,92,74,394,3910.65,0
68,230,107,89,76,398,3910.36,0
69,230,106,89,74,398,3910.36,0
70,230,101,89,70,378,3911.83,0
71,229,96,84,64,360,3913.15,0
72,221,87,76,58,325,3915.73,0
73,216,78,68,57,299,3917.64,0
74,198,74,64,57,282,3918.89,0
75,190,73,63,57,285,3918.67,0
76,190,76,65,59,297,3917.79,0
77,190,78,67,59,300,3917.57,0
78,192,81,66,60,312,3916.68,0
79,193,83,65,61,315,3916.46,0
80,195,90,71,63,349,3913.96,0
81,201,95,74,66,357,3913.37,0
82,206,99,79,69,374,3912.12,0
83,206,102,85,71,376,3911.97,0
84,206,99,89,71,367,3912.64,0
85,206,97,87,71,362,3913.0,0
86,207,96,82,72,358,3913.3,0
87,208,96,80,74,360,3913.15,0
88,209,98,83,74,379,3911.75,0
89,209,98,85,75,380,3911.68,0
90,209,96,84,71,384,3911.39,0
91,209,95,79,70,377,3911.9,0
92,209,80,76,71,379,3911.75,0
93,207,75,75,67,368,3912.56,0
94,200,56,67,65,352,3913.74,0
95,198,45,57,64,330,3915.36,0
96,191,39,49,62,314,3916.54,0
97,189,29,47,61,312,3916.68,0
98,187,28,44,61,312,3916.68,0
99,183,25,39,61,308,3916.98,0
100,182,25,39,60,309,3916.9,0
101,181,25,36,60,310,3916.83,0
102,180,25,36,59,311,3916.76,0
103,180,23,38,58,304,3917.27,0
104,178,21,36,58,299,3917.64,0
105,175,20,32,57,290,3918.3,0
106,174,20,30,55,287,3918.52,0
107,173,17,32,53,287,3918.52,0
108,171,15,31,51,278,3919.19,0
109,167,10,27,47,270,3919.77,0
110,166,8,23,45,257,3920.73,0
111,164,3,21,45,244,3921.69,0
112,155,2,20,45,230,3922.72,0
113,155,2,15,44,232,3922.57,0
114,155,3,15,43,233,3922.5,0
115,154,4,16,41,236,3922.28,0
116,151,3,20,40,227,3922.94,0
117,150,5,19,40,227,3922.94,0
118,148,6,18,39,228,3922.86,0
119,147,7,20,39,228,3922.86,0
120,146,9,23,39,229,3922.79,0
121,145,11,22,39,233,3922.5,0
122,147,15,22,40,244,3921.69,0
123,150,20,24,42,258,3920.66,0
124,152,23,28,44,267,3919.99,0
125,152,27,35,45,279,3919.11,0
126,152,27,38,45,277,3919.26,0
127,154,27,36,46,278,3919.19,0
128,154,28,34,47,281,3918.96,0
129,155,29,37,47,287,3918.52,0
130,155,29,37,47,290,3918.3,0
131,155,29,37,47,293,3918.08,0
132,156,29,35,48,288,3918.45,0
133,156,28,35,48,287,3918.52,0
134,156,26,35,48,279,3919.11,0
135,156,24,34,48,274,3919.48,0
136,156,22,29,46,261,3920.44,0
137,154,20,27,44,256,3920.8,0
138,152,17,26,43,250,3921.25,0
139,151,15,25,40,240,3921.98,0
140,149,10,22,39,224,3923.16,0
141,146,9,18,39,214,3923.89,0
142,143,10,15,39,217,3923.67,0
143,143,13,19,39,226,3923.01,0
144,143,15,21,38,233,3922.5,0
145,143,16,22,36,227,3922.94,0
146,142,12,20,33,213,3923.97,0
147,140,9,20,31,197,3925.14,0
148,136,4,16,28,177,3926.62,0
149,133,2,12,27,166,3927.43,0
150,130,2,8,27,161,3927.79,0
151,128,3,8,25,161,3927.79,0
152,127,3,13,23,160,3927.87,0
153,125,2,13,22,158,3928.01,0
154,123,2,11,22,155,3928.24,0
155,122,3,11,22,156,3928.16,0
156,122,5,13,22,157,3928.09,0
157,122,6,14,21,159,3927.94,0
158,121,7,14,21,159,3927.94,0
159,120,8,13,21,154,3928.31,0
160,119,9,13,21,154,3928.31,0
161,118,9,15,20,155,3928.24,0
162,117,8,16,19,150,3928.6,0
163,115,8,14,17,147,3928.82,0
164,114,8,12,18,146,3928.9,0
165,114,8,14,18,149,3928.68,0
166,114,6,14,18,140,3929.34,0
167,114,4,12,15,129,3930.15,0
168,112,1,9,12,120,3930.81,0
169,108,3,7,12,125,3930.44,0
170,109,8,11,14,141,3929.27,0
171,111,12,14,14,161,3927.79,0
172,111,16,19,15,176,3926.69,0
173,112,18,21,16,184,3926.1,0
174,112,20,23,17,187,3925.88,0
175,114,23,25,18,195,3925.29,0
176,114,24,25,18,202,3924.78,0
177,114,25,25,18,207,3924.41,0
178,115,25,25,18,209,3924.26,0
179,115,25,26,18,207,3924.41,0
180,115,23,24,18,198,3925.07,0
181,114,22,22,16,195,3925.29,0
182,113,20,18,16,184,3926.1,0
183,113,19,18,16,181,3926.32,0
184,113,18,17,15,174,3926.84,0
185,112,17,14,15,171,3927.06,0
186,112,17,14,14,165,3927.5,0
187,111,17,14,14,164,3927.57,0
188,110,18,15,14,164,3927.57,0
189,111,20,17,16,170,3927.13,0
190,113,24,17,17,182,3926.25,0
191,114,28,18,20,198,3925.07,0
192,118,33,24,21,214,3923.89,0
193,121,37,31,22,232,3922.57,0
194,123,41,36,23,243,3921.76,0
195,125,45,38,25,251,3921.17,0
196,130,48,40,27,262,3920.36,0
197,133,52,46,31,266,3920.07,0
198,136,55,50,34,278,3919.19,0
199,147,60,51,37,282,3918.89,0
200,151,64,54,42,298,3917.71,0
201,152,68,61,52,307,3917.05,0
202,154,70,69,54,318,3916.24,0
203,156,68,71,55,315,3916.46,0
204,156,66,68,56,301,3917.49,0
205,156,62,66,55,286,3918.6,0
206,155,59,62,55,277,3919.26,0
207,154,56,59,54,264,3920.22,0
208,154,54,54,54,260,3920.51,0
209,154,52,52,54,254,3920.95,0
210,153,50,49,53,249,3921.32,0
211,153,47,49,52,241,3921.91,0
212,152,44,46,51,228,3922.86,0
213,151,43,42,51,225,3923.08,0
214,150,44,41,51,220,3923.45,0
215,150,45,43,50,222,3923.31,0
216,149,45,45,48,227,3922.94,0
217,149,43,44,42,219,3923.53,0
218,147,39,42,40,203,3924.7,0
219,144,36,38,38,196,3925.22,0
220,139,33,35,37,182,3926.25,0
221,137,32,35,36,179,3926.47,0
222,136,31,34,35,178,3926.54,0
223,135,30,32,34,174,3926.84,0
224,133,29,30,34,173,3926.91,0
225,132,30,30,34,172,3926.98,0
226,132,31,30,34,175,3926.76,0
227,135,35,29,34,187,3925.88,0
228,136,37,29,36,192,3925.51,0
229,138,43,36,39,204,3924.63,0
230,138,44,42,40,207,3924.41,0
231,138,45,43,40,209,3924.26,0
232,138,44,43,37,205,3924.56,0
233,138,39,43,32,182,3926.25,0
234,137,36,41,30,176,3926.69,0
235,132,30,35,28,152,3928.46,0
236,128,29,33,27,154,3928.31,0
237,127,28,31,26,154,3928.31,0
238,125,28,33,26,158,3928.01,0
239,125,28,32,25,156,3928.16,0
240,125,27,31,25,154,3928.31,0
241,124,27,29,25,149,3928.68,0
242,123,27,29,25,150,3928.6,0
243,123,27,31,25,154,3928.31,0
244,123,27,30,24,154,3928.31,0
245,123,26,29,23,146,3928.9,0
246,123,25,27,23,141,3929.27,0
247,122,23,26,23,133,3929.85,0
248,122,24,25,23,140,3929.34,0
249,122,25,25,23,143,3929.12,0
250,122,26,26,23,146,3928.9,0
251,122,27,28,23,148,3928.75,0
252,122,28,29,23,148,3928.75,0
253,122,27,29,22,141,3929.27,0
254,122,26,27,21,134,3929.78,0
255,121,23,25,21,123,3930.59,0
256,120,22,25,21,128,3930.22,0
257,118,26,24,21,142,3929.19,0
258,119,28,28,21,154,3928.31,0
259,119,31,32,22,169,3927.21,0
260,121,33,32,22,170,3927.13,0
261,122,34,34,23,176,3926.69,0
262,123,35,34,24,175,3926.76,0
263,124,36,35,25,172,3926.98,0
264,126,38,35,27,168,3927.28,0
265,126,38,38,26,160,3927.87,0
266,125,37,37,25,155,3928.24,0
267,124,36,36,25,146,3928.9,3
268,124,37,35,25,152,3928.46,0
269,124,38,35,26,153,3928.38,0
270,125,40,38,27,173,3926.91,0
271,126,42,39,27,174,3926.84,0
272,126,43,40,28,182,3926.25,0
273,127,44,41,29,183,3926.17,0
274,128,45,42,30,188,3925.81,0
275,129,48,43,31,193,3925.44,0
276,130,49,44,32,195,3925.29,0
277,130,49,45,33,194,3925.37,0
278,130,49,45,34,190,3925.66,0
279,133,51,46,35,191,3925.59,0
280,135,54,46,37,202,3924.78,0
281,138,56,49,40,208,3924.34,0
282,139,60,53,44,223,3923.23,0
283,143,63,57,46,230,3922.72,0
284,145,66,60,48,238,3922.13,0
285,147,71,65,53,248,3921.39,0
286,150,74,68,56,257,3920.73,0
287,155,78,72,59,265,3920.14,0
288,155,81,78,64,275,3919.41,0
289,157,84,80,65,282,3918.89,0
290,158,86,82,68,287,3918.52,0
291,160,88,85,70,299,3917.64,0
292,163,91,88,72,305,3917.2,0
