x,a,b,c,d,index_value,true_index_value
2,103,25,63,16,128,3770.75
3,165,43,63,24,189,3767.73
4,165,79,63,28,265,3763.97
5,213,97,77,31,325,3761.01
6,242,97,100,46,325,3761.01
7,242,85,103,52,302,3762.14
8,242,69,84,54,252,3764.62
9,240,61,59,47,237,3765.36
10,233,55,43,46,199,3767.24
11,214,54,56,47,209,3766.74
12,200,57,62,51,229,3765.75
13,210,62,57,58,269,3763.78
14,213,68,55,62,289,3762.79
15,221,76,55,64,309,3761.8
16,222,78,72,69,310,3761.75
17,222,80,77,71,300,3762.24
18,222,79,72,73,294,3762.54
19,222,76,66,74,289,3762.79
20,222,76,62,76,289,3762.79
21,223,72,67,78,278,3763.33
22,223,69,63,80,263,3764.07
23,222,67,57,81,251,3764.67
24,220,68,52,83,247,3764.86
25,228,75,66,85,272,3763.63
26,232,79,77,90,286,3762.93
27,232,85,80,93,297,3762.39
28,234,88,77,94,296,3762.44
29,234,91,73,97,304,3762.04
30,236,94,83,98,319,3761.3
31,236,98,89,98,328,3760.86
32,235,99,87,99,338,3760.36
33,230,95,89,99,338,3760.36
34,230,91,94,100,336,3760.46
35,229,88,86,102,332,3760.66
36,232,85,80,105,341,3760.21
37,232,79,76,104,335,3760.51
38,231,78,70,104,335,3760.51
39,227,70,72,104,324,3761.06
40,222,68,69,104,327,3760.91
41,223,68,57,105,335,3760.51
42,229,76,54,110,356,3759.47
43,231,83,72,115,379,3758.34
44,231,89,86,115,398,3757.4
45,232,89,86,116,398,3757.4
46,236,89,83,120,398,3757.4
47,241,91,83,126,408,3756.9
48,243,93,90,128,413,3756.65
49,243,91,93,127,422,3756.21
50,242,87,91,127,415,3756.56
51,236,80,88,127,401,3757.25
52,235,75,87,128,380,3758.29
53,233,73,80,129,373,3758.63
54,238,81,78,131,388,3757.89
55,238,85,78,136,397,3757.45
56,238,92,87,136,423,3756.16
57,237,92,100,136,425,3756.06
58,235,90,101,136,425,3756.06
59,233,91,97,137,435,3755.57
60,233,93,97,138,452,3754.73
61,233,95,104,138,464,3754.13
62,233,95,106,139,466,3754.03
63,232,92,101,139,447,3754.97
64,230,90,99,139,443,3755.17
65,230,83,93,138,426,3756.01
66,229,82,94,139,423,3756.16
67,226,76,89,140,403,3757.15
68,227,75,83,137,400,3757.3
69,227,68,79,134,371,3758.73
70,226,63,79,132,351,3759.72
71,219,54,72,130,324,3761.06
72,214,48,63,129,295,3762.49
73,212,42,54,129,281,3763.18
74,209,43,50,129,282,3763.13
75,209,43,54,129,283,3763.08
76,209,45,57,129,301,3762.19
77,208,45,54,127,300,3762.24
78,207,43,51,123,292,3762.64
79,205,40,51,120,274,3763.53
80,202,38,48,120,264,3764.02
81,198,35,42,119,251,3764.67
82,197,34,40,117,237,3765.36
83,195,34,37,117,236,3765.41
84,191,36,41,118,234,3765.51
85,193,42,44,120,251,3764.67
86,194,46,47,122,257,3764.37
87,198,52,52,124,265,3763.97
