x,a,b,c,d,index_value,true_index_value
2,153,58,222,173,433,3906.96
3,167,65,222,173,435,3906.79
4,176,65,222,174,417,3908.33
5,176,61,227,174,401,3909.7
6,175,50,218,174,381,3911.4
7,169,46,208,175,370,3912.34
8,192,54,198,177,386,3910.98
9,192,57,194,180,392,3910.46
10,191,66,196,180,408,3909.1
11,190,67,213,180,414,3908.59
12,190,63,212,181,412,3908.76
13,204,64,200,182,413,3908.67
14,220,68,195,187,419,3908.16
15,243,81,195,192,434,3906.88
16,243,84,216,193,439,3906.45
17,242,81,224,193,436,3906.71
18,236,79,212,193,434,3906.88
19,238,78,197,195,439,3906.45
20,238,83,193,195,444,3906.02
21,237,90,213,195,456,3905.0
22,231,96,224,196,457,3904.91
23,234,98,219,198,463,3904.4
24,236,99,218,200,466,3904.15
25,237,92,234,201,466,3904.15
26,237,87,231,202,456,3905.0
27,237,77,213,203,454,3905.17
28,238,75,203,204,453,3905.26
29,238,70,199,205,448,3905.68
30,237,65,203,205,446,3905.85
31,236,58,197,206,433,3906.96
32,235,52,187,207,432,3907.05
33,236,50,177,208,426,3907.56
34,236,49,183,209,425,3907.65
35,236,45,186,209,419,3908.16
36,234,39,173,209,413,3908.67
37,235,33,163,210,405,3909.35
38,235,30,160,210,401,3909.7
39,235,25,157,207,390,3910.63
40,234,16,149,206,379,3911.57
41,227,9,136,206,365,3912.77
42,216,5,123,205,354,3913.71
43,212,6,136,205,349,3914.13
44,212,15,143,206,354,3913.71
45,215,19,139,208,360,3913.2
46,215,25,144,209,375,3911.92
47,215,30,146,210,381,3911.4
48,220,35,154,212,390,3910.63
49,220,37,154,212,391,3910.55
50,220,37,154,210,389,3910.72
51,218,30,148,209,373,3912.09
52,216,27,149,209,364,3912.85
53,209,23,144,210,355,3913.62
54,209,24,141,210,355,3913.62
55,208,23,137,210,358,3913.37
56,206,23,129,211,358,3913.37
57,206,25,138,211,360,3913.2
58,207,25,140,212,362,3913.02
59,207,25,134,212,361,3913.11
60,207,23,130,212,359,3913.28
61,205,22,136,212,355,3913.62
62,204,25,136,212,356,3913.54
63,204,25,130,211,353,3913.79
64,204,20,132,210,347,3914.31
65,203,16,128,210,339,3914.99
66,203,22,132,212,344,3914.56
67,204,29,136,215,356,3913.54
68,208,42,145,217,363,3912.94
69,215,53,151,219,378,3911.66
70,215,59,165,224,380,3911.49
71,220,70,170,225,393,3910.38
72,223,73,170,228,394,3910.29
73,228,85,176,230,408,3909.1
74,228,88,178,232,409,3909.01
75,230,97,189,234,418,3908.24
76,233,98,195,237,415,3908.5
77,233,96,195,236,408,3909.1
78,233,92,193,233,402,3909.61
79,231,83,190,231,379,3911.57
80,229,78,183,230,372,3912.17
81,220,67,174,230,353,3913.79
82,218,65,167,229,348,3914.22
83,215,69,157,229,355,3913.62
84,214,74,166,230,361,3913.11
85,214,83,178,231,375,3911.92
86,214,85,182,230,378,3911.66
87,213,82,180,229,369,3912.43
88,212,83,179,230,363,3912.94
89,215,85,179,233,369,3912.43
90,215,91,181,232,379,3911.57
91,215,90,180,230,376,3911.83
92,213,85,176,228,366,3912.68
93,208,78,174,227,354,3913.71
94,203,74,167,223,345,3914.48
95,202,70,159,222,339,3914.99
96,201,68,160,222,334,3915.42
97,192,66,158,222,331,3915.67
98,192,66,155,222,329,3915.84
99,191,67,155,221,329,3915.84
100,190,67,151,220,327,3916.01
101,188,65,149,219,327,3916.01
102,185,65,150,218,326,3916.1
103,184,63,148,218,327,3916.01
104,183,64,146,218,326,3916.1
105,181,64,143,217,323,3916.35
106,181,62,148,214,316,3916.95
107,179,60,148,212,309,3917.55
108,176,54,143,210,297,3918.57
109,172,53,139,209,294,3918.83
110,169,52,133,208,294,3918.83
111,167,56,137,208,298,3918.49
112,164,57,138,208,300,3918.32
113,164,57,138,207,299,3918.4
114,164,56,135,207,297,3918.57
115,163,56,135,206,297,3918.57
116,162,56,134,206,299,3918.4
117,161,58,132,206,305,3917.89
118,160,62,132,206,308,3917.64
119,163,68,131,207,315,3917.04
120,165,74,142,210,323,3916.35
121,167,82,149,212,335,3915.33
122,168,86,152,213,342,3914.73
123,168,87,155,214,339,3914.99
124,169,87,155,214,338,3915.07
125,169,86,156,214,338,3915.07
126,169,83,155,213,337,3915.16
127,168,82,150,213,337,3915.16
128,167,82,146,213,340,3914.9
129,167,82,152,212,342,3914.73
130,166,78,151,210,334,3915.42
131,164,74,146,206,328,3915.93
132,161,68,141,204,318,3916.78
133,157,67,137,204,314,3917.12
134,155,68,137,203,315,3917.04
135,152,69,142,201,315,3917.04
136,152,66,141,198,310,3917.46
137,150,61,136,195,302,3918.15
138,145,56,133,193,294,3918.83
139,142,52,130,192,289,3919.26
140,139,49,125,190,287,3919.43
141,138,48,125,188,282,3919.85
142,135,45,127,186,273,3920.62
143,133,44,127,185,261,3921.65
144,131,43,123,185,254,3922.25
145,129,44,120,183,254,3922.25
146,128,50,122,183,266,3921.22
147,127,51,125,183,267,3921.14
148,126,53,131,183,270,3920.88
149,126,54,130,183,267,3921.14
150,126,61,128,183,275,3920.45
151,126,63,127,182,277,3920.28
152,125,70,137,178,286,3919.51
153,125,69,141,176,280,3920.03
154,123,68,137,176,279,3920.11
155,120,70,136,174,281,3919.94
156,120,70,139,173,282,3919.85
157,119,68,138,173,283,3919.77
158,113,61,130,173,264,3921.39
159,111,60,128,173,263,3921.48
160,112,63,123,172,263,3921.48
161,112,66,127,172,268,3921.05
162,112,62,128,172,266,3921.22
163,112,61,123,172,265,3921.31
164,111,62,117,171,263,3921.48
165,111,65,121,171,267,3921.14
166,111,69,123,171,272,3920.71
167,111,71,123,171,273,3920.62
168,111,70,124,171,264,3921.39
169,109,67,122,168,258,3921.9
170,106,65,122,165,249,3922.67
171,104,67,120,164,251,3922.5
172,103,70,122,164,253,3922.33
173,102,68,122,162,246,3922.93
174,100,64,121,160,239,3923.53
175,98,61,119,158,227,3924.55
176,96,59,115,152,222,3924.98
177,91,59,115,152,211,3925.92
178,90,56,115,149,204,3926.51
179,87,54,115,145,197,3927.11
180,84,46,109,143,183,3928.31
181,82,45,109,136,182,3928.39
182,76,42,105,135,173,3929.16
183,75,43,107,133,173,3929.16
184,74,45,109,132,173,3929.16
185,73,46,110,131,165,3929.84
186,71,46,109,129,160,3930.27
187,69,41,106,126,139,3932.06
188,67,42,105,118,134,3932.49
189,61,44,105,118,137,3932.23
190,61,50,109,118,147,3931.38
191,60,51,108,115,147,3931.38
192,59,54,106,114,148,3931.29
193,58,53,106,113,140,3931.98
194,57,53,104,109,139,3932.06
195,53,54,98,107,134,3932.49
