x,a,b,c,d,index_value,true_index_value
2,168,108,174,200,33,3850.91
3,167,140,174,199,73,3847.85
4,137,156,174,199,99,3845.87
5,124,166,184,199,123,3844.03
6,123,167,181,198,117,3844.49
7,118,173,178,199,117,3844.49
8,144,178,167,200,131,3843.42
9,153,186,175,200,143,3842.5
10,153,195,178,200,177,3839.9
11,152,196,182,199,188,3839.06
12,146,197,205,199,188,3839.06
13,147,195,200,200,183,3839.44
14,147,194,190,200,191,3838.83
15,157,199,180,201,210,3837.38
16,163,200,196,202,217,3836.84
17,166,203,208,202,227,3836.08
18,168,202,198,203,230,3835.85
19,185,209,191,204,246,3834.63
20,201,214,189,205,264,3833.25
21,204,223,216,206,279,3832.1
22,204,227,233,204,287,3831.49
23,203,222,227,203,277,3832.26
24,198,221,218,203,277,3832.26
25,189,216,217,204,273,3832.56
26,189,215,217,204,280,3832.03
27,190,215,205,205,285,3831.65
28,200,218,201,206,296,3830.81
29,207,221,201,208,300,3830.5
30,207,224,219,208,306,3830.04
31,206,221,223,207,303,3830.27
32,204,220,212,206,305,3830.12
33,201,216,196,206,302,3830.35
34,198,214,205,205,299,3830.58
35,194,210,199,205,291,3831.19
36,192,207,189,204,288,3831.42
37,188,202,180,202,279,3832.1
38,186,200,177,201,277,3832.26
39,180,194,174,201,267,3833.02
40,178,194,165,200,267,3833.02
41,174,192,155,200,272,3832.64
42,174,192,155,199,277,3832.26
43,173,189,160,199,284,3831.72
44,172,187,155,198,278,3832.18
45,167,182,143,198,270,3832.79
46,156,178,136,198,256,3833.86
47,154,174,126,198,245,3834.7
48,154,175,131,200,253,3834.09
49,158,175,130,200,253,3834.09
50,160,178,131,200,267,3833.02
51,160,180,128,199,270,3832.79
52,159,181,137,199,274,3832.49
53,158,181,142,199,264,3833.25
54,157,180,139,198,261,3833.48
55,156,178,136,199,244,3834.78
56,156,175,132,200,241,3835.01
57,160,173,134,200,233,3835.62
58,160,171,130,200,231,3835.77
59,161,170,123,200,228,3836.0
60,161,171,119,200,230,3835.85
61,164,174,128,200,235,3835.47
62,164,176,136,200,240,3835.09
63,163,176,136,201,244,3834.78
64,166,180,132,201,257,3833.79
65,172,184,131,201,272,3832.64
66,175,188,143,202,292,3831.11
67,178,191,152,203,306,3830.04
68,178,189,152,202,299,3830.58
69,177,186,148,202,294,3830.96
70,175,182,146,202,273,3832.56
71,171,178,135,202,268,3832.95
72,171,178,133,202,267,3833.02
73,171,179,132,202,265,3833.18
74,170,183,132,202,271,3832.72
75,175,187,142,202,277,3832.26
76,179,191,154,204,289,3831.34
77,182,194,160,205,295,3830.88
78,189,199,160,207,307,3829.96
79,192,203,168,209,318,3829.12
80,195,210,179,211,339,3827.52
81,206,219,190,214,366,3825.45
82,212,226,202,217,384,3824.08
83,212,232,215,219,397,3823.08
84,214,231,234,219,392,3823.47
85,214,225,234,219,376,3824.69
86,213,221,224,219,372,3825.0
87,215,218,215,220,378,3824.54
88,217,219,212,222,389,3823.7
89,221,219,214,223,401,3822.78
90,225,221,217,225,410,3822.09
91,228,224,216,227,427,3820.79
92,230,225,216,228,428,3820.71
93,230,226,230,229,422,3821.17
94,230,224,230,229,413,3821.86
95,229,221,222,229,396,3823.16
96,229,219,222,229,395,3823.24
97,230,219,218,229,398,3823.01
98,231,220,218,230,405,3822.47
99,232,220,218,230,413,3821.86
100,235,221,216,232,427,3820.79
101,242,226,214,235,442,3819.64
102,242,227,227,236,451,3818.96
103,242,228,237,235,453,3818.8
104,241,227,236,235,452,3818.88
105,240,222,228,235,437,3820.03
106,240,219,225,234,426,3820.87
107,239,211,218,232,411,3822.01
108,238,205,205,230,389,3823.7
109,232,199,193,229,377,3824.61
110,227,193,187,228,351,3826.6
111,225,192,186,228,350,3826.68
112,223,194,181,229,355,3826.29
113,224,197,185,229,375,3824.77
114,224,197,187,229,380,3824.38
115,224,197,187,228,381,3824.31
116,223,195,187,227,377,3824.61
117,222,193,182,225,374,3824.84
118,220,190,176,225,358,3826.07
119,215,193,172,225,365,3825.53
120,216,195,178,225,380,3824.38
121,216,199,187,225,400,3822.85
122,216,197,189,225,405,3822.47
123,215,196,185,225,397,3823.08
124,214,195,181,225,398,3823.01
125,213,196,183,225,403,3822.63
126,216,197,183,226,415,3821.71
127,220,200,180,228,429,3820.64
128,225,204,182,231,442,3819.64
129,228,207,191,233,457,3818.5
130,230,211,200,235,466,3817.81
131,231,211,205,236,468,3817.66
132,234,211,203,237,472,3817.35
133,234,212,202,238,472,3817.35
134,234,210,205,238,475,3817.12
135,234,207,202,231,471,3817.43
136,233,166,197,230,470,3817.5
137,231,155,179,229,456,3818.57
138,219,112,136,227,449,3819.11
139,217,97,126,225,435,3820.18
140,215,92,117,223,421,3821.25
141,210,84,106,222,408,3822.24
142,207,80,106,220,398,3823.01
143,205,70,104,213,372,3825.0
144,204,66,94,208,369,3825.22
145,197,57,78,206,347,3826.91
146,185,57,77,205,342,3827.29
147,177,64,77,205,351,3826.6
148,175,68,86,204,352,3826.52
149,175,71,100,202,355,3826.29
150,174,65,101,201,329,3828.28
151,171,62,93,200,322,3828.82
152,167,57,86,200,305,3830.12
153,164,58,87,199,311,3829.66
154,164,57,83,199,316,3829.28
155,164,56,83,198,313,3829.51
156,164,50,81,198,292,3831.11
157,163,47,75,198,275,3832.41
158,159,41,65,196,248,3834.47
159,157,37,59,193,233,3835.62
160,152,35,54,192,225,3836.23
161,151,33,53,191,225,3836.23
162,150,34,51,191,221,3836.54
163,149,35,49,190,220,3836.62
164,147,37,49,186,227,3836.08
165,142,38,56,186,230,3835.85
166,141,41,61,185,233,3835.62
167,141,43,61,186,234,3835.54
168,141,47,61,187,242,3834.93
169,144,53,61,187,261,3833.48
170,144,55,73,187,266,3833.1
171,144,59,79,188,274,3832.49
172,145,61,78,190,282,3831.88
173,148,66,78,191,295,3830.88
174,150,70,84,192,307,3829.96
175,151,75,92,192,323,3828.74
176,151,77,97,192,321,3828.89
177,151,77,98,192,309,3829.81
178,150,75,96,192,300,3830.5
179,150,74,93,191,293,3831.03
180,150,72,90,191,292,3831.11
181,150,71,85,191,291,3831.19
182,150,70,82,191,291,3831.19
183,150,72,82,191,292,3831.11
184,151,74,83,191,292,3831.11
185,151,76,84,191,290,3831.26
186,151,77,82,191,284,3831.72
187,150,92,80,190,279,3832.1
188,148,93,79,189,273,3832.56
189,146,99,88,187,265,3833.18
190,145,93,86,187,260,3833.56
191,144,92,86,187,255,3833.94
192,144,91,84,185,254,3834.02
193,143,90,83,185,256,3833.86
194,142,91,83,185,260,3833.56
195,142,92,83,184,260,3833.56
196,142,91,84,184,251,3834.25
197,141,91,82,185,250,3834.32
198,142,95,82,185,265,3833.18
199,143,97,84,185,276,3832.33
200,143,101,90,186,290,3831.26
201,144,103,95,186,293,3831.03
202,144,104,98,186,295,3830.88
203,144,104,97,186,299,3830.58
204,144,103,97,186,289,3831.34
205,144,101,95,185,283,3831.8
206,143,100,91,184,273,3832.56
207,142,99,87,184,272,3832.64
208,142,99,88,184,271,3832.72
209,142,100,87,184,276,3832.33
210,141,101,87,183,277,3832.26
211,141,100,91,183,275,3832.41
212,141,99,91,182,274,3832.49
213,140,99,88,182,273,3832.56
214,140,99,88,182,271,3832.72
215,139,99,90,181,270,3832.79
216,139,98,88,181,265,3833.18
217,139,98,88,182,264,3833.25
218,139,100,87,182,270,3832.79
219,140,101,87,182,270,3832.79
220,140,103,92,183,280,3832.03
221,142,105,94,185,282,3831.88
222,144,108,96,186,289,3831.34
223,145,109,97,186,295,3830.88
224,145,110,103,186,299,3830.58
225,145,110,106,187,301,3830.42
226,146,111,105,187,305,3830.12
227,146,111,105,187,303,3830.27
228,146,110,105,187,301,3830.42
229,146,109,105,187,291,3831.19
230,146,108,102,187,289,3831.34
231,146,107,100,187,288,3831.42
232,147,107,100,187,287,3831.49
233,147,108,100,187,286,3831.57
234,147,107,101,187,287,3831.49
235,147,105,99,187,285,3831.65
236,147,104,97,186,285,3831.65
237,146,104,97,186,286,3831.57
238,145,104,99,186,296,3830.81
239,145,104,98,187,297,3830.73
240,149,107,98,188,309,3829.81
241,149,108,97,190,310,3829.73
242,151,111,105,191,311,3829.66
243,152,112,109,191,308,3829.89
244,153,112,110,191,312,3829.58
245,153,113,110,192,316,3829.28
246,154,114,110,192,316,3829.28
247,154,114,114,192,315,3829.35
248,155,115,113,193,317,3829.2
249,155,115,113,193,319,3829.05
250,155,116,113,194,322,3828.82
251,156,117,115,195,325,3828.59
252,157,118,116,195,328,3828.36
253,158,118,117,195,331,3828.13
254,158,121,117,195,332,3828.05
255,158,122,117,195,330,3828.21
256,158,120,121,195,315,3829.35
257,157,119,120,195,313,3829.51
258,156,118,116,193,303,3830.27
259,155,118,117,193,305,3830.12
260,155,117,117,193,308,3829.89
261,154,116,115,191,314,3829.43
262,154,117,115,192,322,3828.82
263,154,118,115,192,328,3828.36
264,154,117,116,192,320,3828.97
265,154,118,116,191,313,3829.51
266,153,118,115,190,302,3830.35
267,153,120,114,190,300,3830.5
268,152,119,113,190,290,3831.26
269,152,117,113,189,286,3831.57
270,150,115,110,187,274,3832.49
271,149,114,108,187,272,3832.64
272,148,114,107,186,265,3833.18
273,148,114,106,186,264,3833.25
274,147,113,106,186,267,3833.02
275,147,114,106,185,277,3832.26
276,147,115,106,185,280,3832.03
277,146,115,108,185,288,3831.42
278,146,116,110,184,289,3831.34
279,146,116,110,184,294,3830.96
280,145,116,111,184,293,3831.03
281,145,116,109,184,292,3831.11
282,145,120,109,184,307,3829.96
283,146,123,109,184,311,3829.66
284,146,140,116,184,328,3828.36
285,145,143,124,181,324,3828.66
286,141,157,137,180,323,3828.74
287,141,158,140,180,320,3828.97
288,141,145,139,180,321,3828.89
289,141,144,135,180,322,3828.82
290,140,144,123,180,323,3828.74
291,140,155,134,179,320,3828.97
292,139,154,135,179,317,3829.2
293,138,151,134,177,301,3830.42
294,136,149,132,176,298,3830.65
295,134,147,128,174,287,3831.49
296,134,147,128,174,287,3831.49
297,134,147,128,173,286,3831.57
298,133,147,128,173,287,3831.49
299,133,148,127,174,288,3831.42
300,134,150,126,175,295,3830.88
301,135,152,126,175,299,3830.58
302,136,155,130,176,315,3829.35
303,136,156,133,176,318,3829.12
304,136,155,134,176,307,3829.96
305,136,154,134,176,304,3830.19
306,136,153,131,175,287,3831.49
307,136,152,130,175,287,3831.49
308,135,150,127,174,285,3831.65
309,133,148,127,173,281,3831.95
310,132,147,126,171,278,3832.18
311,131,146,125,170,277,3832.26
312,130,146,124,169,276,3832.33
313,129,147,122,169,286,3831.57
314,129,148,122,169,290,3831.26
315,129,150,129,169,300,3830.5
316,129,150,129,169,304,3830.19
317,129,150,128,169,305,3830.12
318,130,152,128,169,312,3829.58
319,130,153,128,169,313,3829.51
320,129,154,131,169,324,3828.66
321,129,156,135,169,328,3828.36
322,130,158,136,171,334,3827.9
323,131,161,139,171,348,3826.83
324,132,162,142,172,349,3826.75
325,133,164,146,172,352,3826.52
326,134,164,147,173,351,3826.6
327,136,165,148,174,360,3825.91
328,136,169,149,175,366,3825.45
329,137,172,154,176,384,3824.08
330,139,176,161,177,391,3823.54
331,140,179,168,178,402,3822.7
332,140,178,171,178,391,3823.54
333,141,178,171,179,388,3823.77
334,141,176,168,179,382,3824.23
335,141,176,166,179,384,3824.08
336,142,175,166,179,387,3823.85
337,142,175,165,179,387,3823.85
338,142,175,164,179,390,3823.62
339,141,175,164,179,394,3823.31
340,141,175,164,179,392,3823.47
341,141,174,163,179,387,3823.85
342,141,173,162,178,378,3824.54
343,140,171,159,178,377,3824.61
344,140,169,156,178,374,3824.84
345,140,168,152,178,369,3825.22
346,140,167,151,178,369,3825.22
347,140,167,150,178,370,3825.15
348,140,167,148,178,373,3824.92
349,140,166,148,177,374,3824.84
350,139,166,148,176,372,3825.0
351,139,165,149,176,368,3825.3
352,139,164,148,176,361,3825.84
353,139,163,144,176,357,3826.14
354,138,163,143,176,348,3826.83
355,138,162,143,175,344,3827.14
356,137,161,140,175,343,3827.21
357,137,162,138,175,347,3826.91
358,137,163,138,175,356,3826.22
359,137,164,143,175,359,3825.99
360,138,164,145,176,359,3825.99
361,138,163,143,176,358,3826.07
362,138,162,142,176,357,3826.14
363,139,164,141,176,360,3825.91
364,139,165,141,177,368,3825.3
365,139,167,145,177,373,3824.92
366,139,167,147,177,378,3824.54
367,140,168,147,177,387,3823.85
368,140,170,147,177,388,3823.77
369,140,171,150,177,393,3823.39
370,141,171,150,178,393,3823.39
371,141,171,152,178,393,3823.39
372,141,171,152,178,393,3823.39
373,141,171,153,178,392,3823.47
374,141,171,152,178,391,3823.54
375,141,171,152,178,392,3823.47
376,141,171,150,178,393,3823.39
377,141,171,150,178,387,3823.85
378,141,170,152,178,387,3823.85
379,141,169,151,177,386,3823.92
380,141,169,151,177,387,3823.85
381,141,167,148,177,376,3824.69
382,140,166,148,176,375,3824.77
383,139,166,148,176,368,3825.3
384,139,166,148,176,370,3825.15
385,139,165,147,175,371,3825.07
386,139,165,146,175,368,3825.3
387,139,164,146,175,367,3825.38
388,139,163,145,175,364,3825.61
389,139,163,144,175,364,3825.61
390,138,163,144,174,363,3825.68
391,138,163,144,174,360,3825.91
392,137,161,144,173,357,3826.14
393,136,160,142,172,351,3826.6
394,135,159,139,172,350,3826.68
395,136,163,140,172,365,3825.53
396,138,165,145,174,367,3825.38
397,138,170,151,174,380,3824.38
398,138,170,156,174,375,3824.77
399,139,170,158,174,375,3824.77
400,139,170,157,174,369,3825.22
401,139,169,155,174,372,3825.0
402,139,168,154,174,373,3824.92
403,139,168,153,174,373,3824.92
404,139,168,152,174,371,3825.07
405,139,167,148,174,367,3825.38
406,139,167,147,174,369,3825.22
407,139,167,147,174,370,3825.15
408,139,168,148,175,377,3824.61
409,140,170,148,176,377,3824.61
410,140,171,151,176,376,3824.69
411,140,171,153,176,372,3825.0
412,141,171,152,177,375,3824.77
413,142,172,151,177,384,3824.08
414,142,174,155,178,389,3823.7
415,144,176,159,179,399,3822.93
416,145,178,160,181,400,3822.85
