x,a,b,c,d,index_value,true_index_value
1,175,47,113,22,142,3845.19
2,175,47,113,22,142,3845.19
3,183,59,113,23,179,3843.93
4,195,68,113,23,192,3843.49
5,202,80,120,23,205,3843.04
6,202,81,121,23,202,3843.14
7,202,85,115,23,214,3842.73
8,202,85,102,23,213,3842.77
9,209,86,93,23,211,3842.84
10,209,77,89,23,176,3844.03
11,208,75,90,24,167,3844.34
12,199,61,89,24,119,3845.98
13,197,60,79,22,111,3846.25
14,195,57,63,20,108,3846.36
15,191,56,62,20,100,3846.63
16,188,58,75,16,98,3846.7
17,181,59,76,13,87,3847.07
18,179,61,73,11,79,3847.35
19,174,60,64,10,72,3847.58
20,173,59,72,9,59,3848.03
21,172,59,76,11,61,3847.96
22,180,65,71,13,86,3847.11
23,183,69,69,15,104,3846.49
24,188,79,69,16,135,3845.43
25,188,81,83,16,141,3845.23
26,188,81,89,16,141,3845.23
27,189,83,83,19,150,3844.92
28,194,90,78,19,170,3844.24
29,195,94,86,19,181,3843.86
30,195,97,97,19,194,3843.42
31,194,96,96,15,193,3843.45
32,190,88,87,15,181,3843.86
33,190,85,81,13,168,3844.31
34,188,78,86,12,157,3844.68
35,186,74,83,12,146,3845.06
36,186,73,75,12,144,3845.13
37,188,70,71,12,139,3845.3
38,188,66,67,12,133,3845.5
39,187,61,70,10,120,3845.95
40,185,55,66,9,111,3846.25
41,184,51,57,8,94,3846.83
42,182,48,50,7,85,3847.14
43,182,48,59,7,77,3847.41
44,183,50,59,9,81,3847.28
45,185,54,58,11,89,3847.0
46,188,56,57,11,102,3846.56
47,188,56,55,11,106,3846.42
48,188,55,61,9,109,3846.32
49,187,50,58,8,97,3846.73
50,185,47,51,7,94,3846.83
51,184,43,47,7,91,3846.94
52,184,39,51,6,90,3846.97
53,184,36,48,6,76,3847.45
54,184,33,39,5,73,3847.55
55,184,31,33,5,60,3847.99
56,184,31,29,5,54,3848.2
57,184,31,39,5,53,3848.23
58,185,35,42,6,69,3847.69
59,185,37,40,8,70,3847.65
60,189,45,40,11,99,3846.66
61,191,50,52,13,103,3846.53
62,194,60,62,14,136,3845.4
63,194,64,66,16,141,3845.23
64,197,71,68,17,170,3844.24
65,198,73,68,19,179,3843.93
66,200,79,76,22,202,3843.14
67,202,82,80,23,216,3842.67
68,203,85,83,23,231,3842.15
69,204,87,83,24,239,3841.88
70,206,88,89,24,246,3841.64
71,206,90,90,25,259,3841.2
72,207,91,90,25,270,3840.82
73,208,93,90,26,283,3840.38
74,209,93,89,27,294,3840.0
75,212,97,94,29,304,3839.66
76,212,99,96,31,315,3839.29
77,213,101,98,32,317,3839.22
78,213,99,99,33,311,3839.42
79,213,95,98,34,297,3839.9
80,215,92,96,35,292,3840.07
81,215,91,92,35,284,3840.34
82,215,88,88,35,283,3840.38
83,215,85,84,34,275,3840.65
84,215,83,87,34,276,3840.62
85,215,83,86,34,276,3840.62
86,215,83,85,34,280,3840.48
87,215,79,83,34,261,3841.13
88,215,78,84,34,245,3841.68
89,214,71,81,33,221,3842.5
90,214,69,76,33,207,3842.97
91,213,68,71,33,212,3842.8
92,213,68,68,34,213,3842.77
93,213,66,74,33,208,3842.94
94,213,61,72,32,197,3843.32
95,213,57,67,31,173,3844.14
96,212,54,60,30,166,3844.37
97,211,51,62,29,148,3844.99
98,211,48,62,29,138,3845.33
99,211,47,60,29,142,3845.19
100,211,46,55,30,147,3845.02
101,213,49,51,31,162,3844.51
102,213,51,55,33,166,3844.37
103,213,53,59,32,161,3844.54
104,213,52,58,31,161,3844.54
105,212,47,55,30,134,3845.47
106,212,45,55,30,126,3845.74
107,211,42,53,29,109,3846.32
108,210,41,49,29,105,3846.46
109,210,41,46,29,107,3846.39
110,210,41,46,29,106,3846.42
111,210,42,49,29,106,3846.42
112,213,48,49,31,120,3845.95
113,215,53,51,35,123,3845.84
114,217,60,55,39,143,3845.16
115,218,65,64,41,146,3845.06
116,218,70,70,42,157,3844.68
117,219,75,73,44,172,3844.17
118,222,80,76,47,180,3843.9
119,222,83,81,48,188,3843.62
120,223,82,86,49,187,3843.66
121,223,80,85,48,173,3844.14
122,223,78,85,46,172,3844.17
123,221,72,81,43,150,3844.92
124,219,66,78,41,133,3845.5
125,219,61,76,40,119,3845.98
126,217,54,71,39,96,3846.76
127,216,50,66,38,84,3847.17
128,216,46,64,37,66,3847.79
129,215,43,64,36,54,3848.2
130,215,40,60,35,40,3848.68
131,214,37,56,31,32,3848.95
132,213,32,52,30,15,3849.53
133,211,30,50,30,15,3849.53
134,210,30,51,29,13,3849.6
135,210,29,51,28,19,3849.39
136,210,29,50,27,19,3849.39
137,209,28,46,26,13,3849.6
138,208,30,50,26,12,3849.63
139,208,32,51,26,9,3849.74
140,207,32,51,26,18,3849.43
141,206,33,49,26,19,3849.39
142,207,35,47,26,21,3849.33
143,207,37,51,26,29,3849.05
144,208,42,53,26,45,3848.51
145,208,44,54,27,59,3848.03
146,208,47,57,26,70,3847.65
147,208,46,61,26,74,3847.52
148,208,47,59,26,72,3847.58
149,208,49,59,26,79,3847.35
150,209,52,60,27,86,3847.11
151,209,52,60,27,94,3846.83
152,209,53,63,27,96,3846.76
153,209,55,63,28,101,3846.59
154,210,60,65,30,110,3846.29
155,210,61,67,31,114,3846.15
156,210,62,72,31,112,3846.22
157,210,61,72,32,111,3846.25
158,213,66,72,33,125,3845.77
159,213,71,73,38,131,3845.57
160,215,77,78,40,155,3844.75
161,216,83,86,42,167,3844.34
162,219,90,91,44,194,3843.42
163,219,95,94,49,210,3842.87
164,219,103,99,50,241,3841.81
165,222,108,109,52,255,3841.33
166,222,114,114,55,272,3840.75
167,224,118,120,57,283,3840.38
168,224,122,123,58,293,3840.04
169,225,123,125,60,301,3839.76
170,226,124,128,63,313,3839.35
171,227,125,131,65,321,3839.08
172,227,122,131,66,319,3839.15
173,227,121,128,66,317,3839.22
174,227,118,126,67,308,3839.52
175,228,116,125,67,299,3839.83
176,228,113,122,67,293,3840.04
177,228,110,118,67,284,3840.34
178,227,106,116,64,271,3840.79
179,227,101,116,61,247,3841.61
180,226,96,109,60,233,3842.09
181,224,91,103,60,208,3842.94
182,223,87,100,59,192,3843.49
183,223,83,99,59,187,3843.66
184,223,81,97,58,181,3843.86
185,223,78,92,57,182,3843.83
186,223,77,90,56,181,3843.86
187,222,76,89,56,178,3843.96
188,222,77,89,56,177,3844.0
189,222,77,89,57,178,3843.96
190,222,80,90,57,186,3843.69
191,222,81,91,57,185,3843.73
192,223,87,93,58,215,3842.7
193,223,90,93,61,220,3842.53
194,224,97,103,62,257,3841.27
195,224,99,109,63,258,3841.23
196,224,98,110,63,251,3841.47
197,224,98,111,63,251,3841.47
198,223,96,109,62,249,3841.54
199,223,96,108,61,249,3841.54
200,223,93,107,61,241,3841.81
201,223,91,106,61,235,3842.02
202,223,86,102,60,222,3842.46
203,223,85,99,60,219,3842.56
204,222,85,96,60,223,3842.43
205,222,85,98,60,226,3842.33
206,222,85,98,60,235,3842.02
207,222,86,98,61,238,3841.92
208,222,87,98,61,246,3841.64
209,222,87,98,61,248,3841.57
210,222,84,99,60,240,3841.85
211,222,83,97,59,231,3842.15
212,222,79,93,59,222,3842.46
213,221,78,92,58,218,3842.6
214,221,76,90,58,226,3842.33
215,221,77,90,58,235,3842.02
216,221,77,90,59,243,3841.74
217,221,78,92,59,250,3841.51
218,222,79,92,59,257,3841.27
219,222,80,91,60,269,3840.86
220,222,82,92,62,286,3840.28
221,223,84,93,63,296,3839.93
222,223,86,95,64,301,3839.76
223,223,87,97,65,296,3839.93
224,223,85,98,65,296,3839.93
225,223,83,96,65,295,3839.97
226,223,82,93,65,293,3840.04
227,223,81,91,66,301,3839.76
228,224,83,91,66,310,3839.46
229,224,86,93,67,333,3838.67
230,225,91,94,68,348,3838.16
231,226,93,98,71,360,3837.75
232,226,97,102,72,368,3837.48
233,227,98,102,74,369,3837.44
234,227,98,103,75,372,3837.34
235,227,97,102,76,375,3837.24
236,228,97,101,77,381,3837.03
237,228,97,101,78,384,3836.93
238,228,99,103,79,385,3836.9
239,229,100,103,80,385,3836.9
240,229,101,104,80,387,3836.83
241,229,102,104,81,395,3836.55
242,230,102,107,83,396,3836.52
243,231,103,107,85,397,3836.49
244,231,103,107,86,389,3836.76
245,231,103,106,87,387,3836.83
246,231,102,106,88,385,3836.9
247,232,103,107,89,389,3836.76
248,233,105,107,91,392,3836.66
249,233,107,111,93,390,3836.72
250,234,107,112,94,386,3836.86
251,236,109,113,96,390,3836.72
252,237,113,116,102,397,3836.49
253,240,118,119,106,415,3835.87
254,240,121,126,111,422,3835.63
255,241,124,129,113,426,3835.49
256,241,125,132,115,421,3835.67
257,241,123,132,116,414,3835.9
258,241,121,131,116,413,3835.94
259,241,118,129,116,402,3836.31
260,241,116,129,115,395,3836.55
261,241,113,126,115,387,3836.83
262,241,111,124,115,376,3837.2
263,241,108,122,114,369,3837.44
264,240,106,118,114,362,3837.68
265,240,104,117,114,364,3837.61
266,240,103,116,114,370,3837.41
267,240,103,114,115,376,3837.2
268,240,104,114,115,378,3837.13
269,240,105,117,115,374,3837.27
270,241,107,116,116,377,3837.17
271,241,109,116,117,382,3837.0
272,241,110,119,117,389,3836.76
273,241,110,121,118,394,3836.59
274,242,111,123,119,401,3836.35
275,242,111,122,121,402,3836.31
276,242,111,122,122,405,3836.21
277,243,110,120,123,409,3836.08
278,243,106,120,122,397,3836.49
279,243,104,119,121,388,3836.79
280,242,99,114,121,368,3837.48
281,241,97,112,120,366,3837.54
282,241,95,110,120,365,3837.58
283,241,93,110,120,357,3837.85
284,241,91,106,120,348,3838.16
285,241,91,105,120,346,3838.23
286,241,90,105,121,350,3838.09
287,241,89,105,121,349,3838.12
288,241,88,104,122,351,3838.06
289,241,88,103,120,351,3838.06
290,241,86,103,120,351,3838.06
291,241,84,101,121,353,3837.99
292,241,82,99,121,353,3837.99
293,241,81,98,121,353,3837.99
294,240,81,96,120,355,3837.92
295,241,81,96,120,364,3837.61
296,241,83,96,120,371,3837.37
297,241,84,98,122,377,3837.17
298,241,84,98,122,376,3837.2
299,241,84,98,122,369,3837.44
300,241,84,97,122,368,3837.48
301,241,83,97,122,370,3837.41
302,241,82,96,123,373,3837.3
303,241,82,96,122,373,3837.3
304,241,81,94,122,373,3837.3
305,241,80,94,122,358,3837.82
306,241,79,94,122,357,3837.85
307,240,78,92,122,351,3838.06
308,240,77,92,122,354,3837.95
309,240,76,91,122,353,3837.99
310,240,75,90,122,356,3837.89
311,240,74,89,122,357,3837.85
312,240,73,88,122,356,3837.89
313,240,71,86,122,351,3838.06
314,240,70,86,122,348,3838.16
315,240,69,86,122,345,3838.26
316,240,67,84,121,343,3838.33
317,240,66,82,121,340,3838.43
318,240,64,82,120,336,3838.57
319,239,63,82,119,325,3838.94
320,239,61,80,118,322,3839.05
321,238,61,79,118,317,3839.22
322,238,60,78,118,308,3839.52
323,238,58,78,117,304,3839.66
