x,a,b,c,d,index_value,true_index_value
2,221,64,56,20,383,3843.63
3,221,56,56,23,359,3846.23
4,220,34,56,24,326,3849.81
5,202,28,62,24,303,3852.3
6,197,24,64,25,288,3853.92
7,160,19,57,25,280,3854.79
8,154,17,51,26,267,3856.2
9,152,23,44,30,275,3855.33
10,151,25,45,32,284,3854.36
11,158,29,60,34,284,3854.36
12,158,22,64,34,265,3856.41
13,157,21,51,34,260,3856.95
14,144,21,38,36,254,3857.6
15,152,29,31,38,275,3855.33
16,152,36,49,39,286,3854.14
17,151,46,60,40,316,3850.89
18,153,47,59,42,316,3850.89
19,168,52,59,46,334,3848.94
20,176,53,55,52,335,3848.83
21,178,57,76,54,352,3846.99
22,178,54,76,55,336,3848.72
23,178,49,66,56,335,3848.83
24,180,47,59,57,324,3850.02
25,180,45,68,58,328,3849.59
26,179,44,67,60,320,3850.46
27,177,39,61,60,316,3850.89
28,172,36,57,56,297,3852.95
29,172,23,53,54,270,3855.87
30,171,16,53,53,242,3858.9
31,151,6,40,53,218,3861.5
32,143,3,31,53,205,3862.91
33,141,5,30,53,211,3862.26
34,138,8,36,53,217,3861.61
35,137,14,37,54,222,3861.07
36,141,20,35,56,240,3859.12
37,141,24,36,55,241,3859.01
38,140,24,36,54,241,3859.01
39,136,22,43,53,233,3859.88
40,129,20,41,52,225,3860.74
41,125,19,35,52,227,3860.53
42,121,20,31,52,228,3860.42
43,119,22,37,51,231,3860.1
44,117,24,41,51,232,3859.99
45,115,26,38,52,232,3859.99
46,119,32,37,53,247,3858.36
47,127,37,37,59,256,3857.39
48,131,44,48,61,272,3855.66
49,131,48,55,63,280,3854.79
50,131,51,56,63,287,3854.03
51,133,54,54,64,288,3853.92
52,133,54,60,64,285,3854.25
53,132,51,59,62,277,3855.11
54,129,45,53,58,253,3857.71
55,127,36,45,56,224,3860.85
56,121,31,39,55,207,3862.69
57,110,27,37,55,200,3863.45
58,106,26,38,54,209,3862.48
59,105,25,35,52,198,3863.67
60,104,20,29,50,185,3865.08
61,102,17,29,48,172,3866.48
62,95,14,27,46,158,3868.0
63,91,11,22,44,155,3868.33
64,87,9,18,42,148,3869.08
65,82,7,17,41,134,3870.6
66,80,5,18,41,129,3871.14
67,75,5,16,40,122,3871.9
68,73,6,12,39,122,3871.9
69,72,9,12,39,125,3871.57
70,71,10,16,38,121,3872.01
71,70,8,17,36,112,3872.98
72,67,6,13,35,106,3873.63
73,65,8,8,35,110,3873.2
74,61,11,7,35,112,3872.98
75,61,18,16,36,130,3871.03
76,61,21,22,36,132,3870.82
77,61,22,22,36,129,3871.14
78,61,22,19,35,128,3871.25
79,60,20,22,33,118,3872.33
80,59,19,21,29,113,3872.87
81,55,14,17,24,93,3875.04
82,52,11,13,23,80,3876.45
83,45,9,8,23,69,3877.64
84,40,12,11,23,76,3876.88
85,40,15,14,22,84,3876.01
86,39,18,17,20,85,3875.91
87,37,18,16,19,76,3876.88
88,33,18,19,15,76,3876.88
89,31,16,18,13,54,3879.26
90,29,15,15,11,54,3879.26
91,23,12,10,9,34,3881.43
92,19,13,9,7,33,3881.54
93,16,14,11,5,34,3881.43
94,13,18,14,4,47,3880.02
95,11,20,13,3,52,3879.48
96,9,21,13,3,57,3878.94
97,7,28,14,3,64,3878.18
98,10,30,19,4,67,3877.86
99,10,37,25,5,79,3876.56
100,10,37,26,3,79,3876.56
101,10,36,27,3,76,3876.88
102,9,36,28,3,71,3877.42
103,7,38,27,4,72,3877.31
104,7,41,27,4,79,3876.56
105,11,47,27,5,93,3875.04
106,11,51,31,7,100,3874.28
107,13,56,39,5,113,3872.87
108,13,56,41,4,107,3873.52
109,12,55,41,4,106,3873.63
110,9,54,39,4,101,3874.17
111,9,55,41,4,106,3873.63
112,10,57,41,5,112,3872.98
113,13,60,41,7,123,3871.79
114,19,64,41,9,134,3870.6
115,24,68,46,14,148,3869.08
116,27,74,53,19,162,3867.57
117,29,76,58,21,167,3867.03
118,29,76,59,21,166,3867.13
119,29,76,58,21,162,3867.57
120,29,74,59,17,154,3868.43
121,29,68,56,16,134,3870.6
122,27,65,50,16,121,3872.01
123,23,61,45,16,107,3873.52
124,24,62,45,17,108,3873.42
125,27,65,48,19,119,3872.22
126,28,67,49,21,122,3871.9
127,28,69,51,21,128,3871.25
128,29,69,51,21,129,3871.14
129,29,70,53,22,131,3870.92
130,31,71,52,24,133,3870.71
131,31,71,52,23,133,3870.71
132,31,67,50,21,124,3871.68
133,29,66,48,19,122,3871.9
134,27,62,46,19,112,3872.98
135,25,61,44,19,111,3873.09
136,24,64,42,19,117,3872.44
137,24,65,42,19,124,3871.68
138,24,67,49,20,129,3871.14
139,25,67,51,20,134,3870.6
140,26,68,50,20,135,3870.49
141,26,67,50,18,127,3871.36
142,25,65,50,17,125,3871.57
143,23,62,51,16,110,3873.2
144,22,58,47,13,97,3874.61
145,21,54,43,12,80,3876.45
146,18,51,39,11,69,3877.64
147,16,48,39,10,59,3878.72
148,15,49,37,10,59,3878.72
149,14,50,36,10,61,3878.5
150,14,52,36,10,68,3877.75
151,14,54,36,11,71,3877.42
152,15,57,40,11,82,3876.23
153,17,60,43,13,83,3876.12
154,20,63,43,15,93,3875.04
155,23,67,45,17,106,3873.63
156,29,73,50,20,128,3871.25
157,31,78,55,25,140,3869.95
158,32,82,63,28,157,3868.11
159,33,81,65,29,156,3868.22
160,33,80,63,29,147,3869.19
161,33,78,62,29,144,3869.52
162,36,81,61,30,148,3869.08
163,37,82,61,33,153,3868.54
164,41,89,64,35,174,3866.27
165,49,95,67,40,189,3864.64
166,52,101,76,47,203,3863.13
167,53,103,87,49,209,3862.48
168,53,103,90,50,209,3862.48
169,54,101,87,51,205,3862.91
170,55,102,89,52,209,3862.48
171,55,103,88,53,209,3862.48
172,56,104,88,53,219,3861.39
173,58,105,88,55,225,3860.74
174,60,106,89,57,234,3859.77
175,60,106,92,58,239,3859.23
176,61,106,91,59,242,3858.9
177,62,107,90,60,244,3858.69
178,62,107,90,61,240,3859.12
179,62,105,90,61,237,3859.45
180,62,104,89,61,230,3860.2
181,62,103,86,61,228,3860.42
182,63,104,86,62,239,3859.23
183,64,106,86,64,242,3858.9
184,67,108,88,66,253,3857.71
185,67,108,89,68,254,3857.6
186,67,108,88,68,251,3857.93
187,67,107,88,68,249,3858.15
188,68,109,88,69,258,3857.17
189,71,112,88,72,260,3856.95
190,72,114,92,74,269,3855.98
191,72,114,96,75,262,3856.74
192,73,112,97,75,260,3856.95
193,74,111,96,76,257,3857.28
194,74,110,94,77,255,3857.5
195,75,111,92,77,257,3857.28
196,75,111,92,78,258,3857.17
197,77,111,94,80,262,3856.74
198,77,111,95,81,260,3856.95
199,78,112,94,82,265,3856.41
200,78,113,94,83,265,3856.41
201,79,113,95,83,271,3855.76
202,79,112,95,83,271,3855.76
203,79,111,95,83,268,3856.09
204,78,107,91,83,258,3857.17
205,78,106,89,81,256,3857.39
206,77,102,86,80,247,3858.36
207,76,100,84,80,244,3858.69
208,74,98,80,79,239,3859.23
209,74,97,79,78,238,3859.34
210,74,93,79,76,229,3860.31
211,72,92,78,75,226,3860.64
212,70,89,74,75,217,3861.61
213,69,89,72,75,213,3862.04
214,69,89,72,74,217,3861.61
215,69,88,74,74,218,3861.5
216,68,87,73,74,221,3861.18
217,68,87,72,75,222,3861.07
218,68,90,72,75,229,3860.31
219,69,91,73,75,233,3859.88
220,69,90,78,73,233,3859.88
221,68,87,77,70,220,3861.29
222,65,84,74,67,213,3862.04
223,63,81,69,66,203,3863.13
224,61,79,69,66,199,3863.56
225,59,78,69,66,198,3863.67
226,59,77,67,66,195,3863.99
227,59,77,65,65,193,3864.21
228,58,75,64,63,180,3865.62
229,57,73,64,62,174,3866.27
230,56,72,60,61,164,3867.35
231,55,72,60,61,165,3867.24
232,55,73,60,61,172,3866.48
233,54,73,62,61,170,3866.7
