x,a,b,c,d,index_value,true_index_value
2,227,104,142,205,390,3759.35
3,227,98,142,205,373,3760.35
4,226,93,142,205,373,3760.35
5,236,89,138,205,370,3760.52
6,236,89,130,205,390,3759.35
7,235,83,122,205,391,3759.29
8,228,75,107,205,379,3759.99
9,220,69,87,205,365,3760.82
10,200,58,71,205,352,3761.58
11,199,54,82,204,343,3762.11
12,192,48,82,203,335,3762.58
13,190,42,66,202,325,3763.17
14,179,36,53,199,313,3763.87
15,155,32,43,197,306,3764.29
16,150,31,56,199,307,3764.23
17,160,35,56,201,314,3763.82
18,181,44,51,202,331,3762.82
19,181,47,50,203,337,3762.46
20,188,54,57,204,341,3762.23
21,193,55,70,204,351,3761.64
22,202,58,75,205,359,3761.17
23,209,58,66,205,371,3760.46
24,209,59,59,205,377,3760.11
25,208,59,75,203,382,3759.82
26,198,59,80,203,381,3759.88
27,196,59,73,202,384,3759.7
28,195,56,68,199,384,3759.7
29,175,55,65,199,384,3759.7
30,182,56,74,200,385,3759.64
31,185,58,73,200,393,3759.17
32,185,57,66,200,396,3758.99
33,184,49,64,198,383,3759.76
34,180,43,71,191,380,3759.93
35,154,33,64,189,355,3761.4
36,148,29,52,189,354,3761.46
37,152,28,43,190,355,3761.4
38,154,30,41,191,362,3760.99
39,161,30,49,197,361,3761.05
40,175,32,49,199,365,3760.82
41,189,33,42,201,368,3760.64
42,195,38,44,203,376,3760.17
43,200,40,54,204,383,3759.76
44,204,44,56,205,392,3759.23
45,208,47,56,206,397,3758.93
46,222,54,53,207,414,3757.94
47,227,57,51,208,419,3757.64
48,232,63,65,210,436,3756.64
49,237,66,73,210,440,3756.41
50,236,65,74,208,448,3755.94
51,236,61,72,207,437,3756.58
52,229,55,73,207,428,3757.11
53,227,48,65,207,415,3757.88
54,221,43,59,207,404,3758.52
55,221,43,52,207,408,3758.29
56,221,44,47,207,413,3757.99
57,221,46,56,207,423,3757.41
58,224,47,57,207,423,3757.41
59,224,48,53,207,421,3757.52
60,227,48,52,208,416,3757.82
61,231,48,58,211,416,3757.82
62,232,49,59,211,420,3757.58
63,232,50,57,210,422,3757.46
64,232,47,55,209,420,3757.58
65,230,46,50,209,416,3757.82
66,226,43,54,209,411,3758.11
67,226,42,54,209,407,3758.35
68,225,41,49,209,408,3758.29
69,226,41,45,208,404,3758.52
70,226,38,49,207,399,3758.82
71,225,35,47,207,388,3759.46
72,220,32,41,207,384,3759.7
73,218,32,36,207,383,3759.76
74,218,32,35,207,381,3759.88
75,220,34,41,207,376,3760.17
76,222,35,42,208,375,3760.23
77,226,37,40,208,378,3760.05
78,226,39,39,208,382,3759.82
79,225,42,46,208,384,3759.7
80,225,45,51,209,388,3759.46
81,228,47,50,210,393,3759.17
82,228,48,49,209,394,3759.11
83,227,48,48,209,394,3759.11
84,224,52,52,209,396,3758.99
85,226,54,54,210,398,3758.88
86,228,58,56,211,403,3758.58
87,228,60,56,211,409,3758.23
88,228,62,60,211,411,3758.11
89,230,63,64,212,417,3757.76
90,230,65,65,213,420,3757.58
91,230,66,64,213,419,3757.64
92,231,64,62,213,418,3757.7
93,231,61,63,213,407,3758.35
94,231,56,60,213,402,3758.64
95,231,54,53,213,395,3759.05
96,231,53,50,213,396,3758.99
97,231,55,51,213,406,3758.41
98,233,57,56,214,410,3758.17
99,235,57,56,215,418,3757.7
100,235,56,53,216,420,3757.58
101,235,56,52,215,418,3757.7
102,235,54,53,215,417,3757.76
103,235,53,49,214,412,3758.05
104,234,51,46,212,413,3757.99
105,232,48,44,210,409,3758.23
106,230,47,44,210,406,3758.41
107,225,47,43,210,403,3758.58
108,227,47,41,211,401,3758.7
109,228,47,40,212,400,3758.76
110,228,46,39,212,399,3758.82
111,228,43,41,212,393,3759.17
112,228,40,39,211,390,3759.35
113,227,37,34,210,385,3759.64
114,226,34,31,209,381,3759.88
115,223,32,32,209,380,3759.93
116,222,31,31,207,374,3760.29
117,222,30,28,205,373,3760.35
118,221,28,27,204,373,3760.35
119,215,23,25,202,365,3760.82
120,212,19,24,201,354,3761.46
121,204,14,20,198,341,3762.23
122,199,8,16,195,328,3762.99
123,195,4,11,192,321,3763.4
124,190,1,9,191,319,3763.52
125,188,0,9,190,319,3763.52
126,187,1,8,190,321,3763.4
127,187,4,7,190,323,3763.29
128,187,10,7,190,335,3762.58
129,186,13,13,188,342,3762.17
130,186,20,20,190,356,3761.35
131,188,23,22,191,363,3760.93
132,189,25,23,191,365,3760.82
133,191,25,23,191,365,3760.82
134,191,25,26,191,365,3760.82
135,190,25,26,192,363,3760.93
136,192,25,25,192,363,3760.93
137,193,27,24,192,363,3760.93
138,193,28,29,192,363,3760.93
139,192,28,31,194,361,3761.05
140,195,31,30,195,371,3760.46
141,197,34,31,195,371,3760.46
142,197,34,34,195,370,3760.52
143,196,32,38,192,365,3760.82
144,193,28,37,193,352,3761.58
145,194,25,33,193,347,3761.87
146,194,23,29,193,346,3761.93
147,194,23,28,193,351,3761.64
148,194,24,28,193,356,3761.35
149,195,25,28,193,361,3761.05
150,195,27,28,194,365,3760.82
151,197,28,28,195,364,3760.88
152,197,28,30,195,363,3760.93
153,197,27,29,195,359,3761.17
154,198,27,27,197,361,3761.05
155,201,27,26,199,367,3760.7
156,203,28,28,199,369,3760.58
157,203,28,31,199,365,3760.82
158,203,27,29,198,362,3760.99
159,202,26,27,196,362,3760.99
160,199,25,27,195,361,3761.05
161,198,23,29,194,352,3761.58
162,197,21,27,193,344,3762.05
163,195,19,23,191,333,3762.7
164,193,19,23,191,329,3762.93
165,192,20,25,191,337,3762.46
166,192,23,25,191,341,3762.23
167,194,25,25,192,353,3761.52
168,194,27,25,192,360,3761.11
169,195,30,25,192,365,3760.82
170,195,32,29,192,375,3760.23
171,195,33,33,193,374,3760.29
172,196,33,32,193,373,3760.35
173,196,32,31,193,360,3761.11
174,196,31,31,192,359,3761.17
175,196,29,29,192,350,3761.7
176,195,28,26,191,350,3761.7
177,194,27,23,190,350,3761.7
178,192,27,23,189,351,3761.64
179,191,28,25,189,351,3761.64
180,191,28,25,189,348,3761.82
181,191,28,24,189,347,3761.87
182,191,27,24,188,343,3762.11
183,190,28,25,188,351,3761.64
184,191,29,27,188,354,3761.46
185,191,29,28,188,356,3761.35
186,190,28,27,188,356,3761.35
187,191,27,27,189,351,3761.64
188,191,27,28,189,351,3761.64
189,191,27,27,189,352,3761.58
190,192,27,26,189,351,3761.64
191,192,27,25,190,349,3761.76
192,194,27,24,191,351,3761.64
193,195,29,25,192,351,3761.64
194,196,31,28,192,357,3761.29
195,196,31,27,192,356,3761.35
196,197,32,27,192,355,3761.4
197,197,33,30,193,359,3761.17
198,198,35,30,195,365,3760.82
199,200,38,30,196,369,3760.58
200,201,39,31,197,374,3760.29
201,202,41,35,197,376,3760.17
202,203,42,36,198,381,3759.88
203,204,43,36,198,382,3759.82
204,204,44,36,199,382,3759.82
205,205,45,36,199,387,3759.52
206,206,47,39,200,387,3759.52
207,207,50,41,201,393,3759.17
208,208,51,42,203,396,3758.99
209,212,56,42,204,406,3758.41
210,212,57,45,204,408,3758.29
211,214,61,53,204,410,3758.17
212,215,61,57,204,408,3758.29
213,216,61,57,204,408,3758.29
214,216,61,57,205,402,3758.64
215,216,59,58,205,402,3758.64
216,215,57,56,205,398,3758.88
217,216,56,54,205,400,3758.76
218,216,56,51,206,401,3758.7
219,216,56,51,206,407,3758.35
220,217,56,53,206,409,3758.23
221,217,57,53,206,411,3758.11
222,218,57,52,207,412,3758.05
223,218,59,52,207,416,3757.82
224,218,60,55,207,418,3757.7
225,218,60,57,207,418,3757.7
226,218,59,56,208,417,3757.76
227,220,59,54,208,417,3757.76
228,221,61,54,209,418,3757.7
229,222,62,57,210,418,3757.7
230,224,63,58,211,418,3757.7
231,225,64,58,213,420,3757.58
232,227,65,58,214,423,3757.41
233,228,66,61,215,427,3757.17
234,228,66,61,216,429,3757.05
235,228,66,60,216,429,3757.05
236,228,65,60,215,424,3757.35
237,228,64,59,215,422,3757.46
238,228,62,59,215,419,3757.64
239,228,62,58,216,419,3757.64
240,228,61,57,216,422,3757.46
241,229,61,57,217,421,3757.52
242,229,61,57,217,421,3757.52
243,231,62,57,218,424,3757.35
244,232,63,57,219,426,3757.23
245,233,64,58,220,427,3757.17
246,234,64,58,221,426,3757.23
247,235,64,58,222,425,3757.29
248,235,62,57,220,421,3757.52
249,234,61,56,220,416,3757.82
250,232,59,54,219,411,3758.11
251,231,58,54,219,413,3757.99
252,232,58,54,219,416,3757.82
253,232,57,55,219,421,3757.52
254,232,56,52,219,423,3757.41
255,232,56,52,219,423,3757.41
256,232,55,52,219,427,3757.17
257,232,56,52,220,427,3757.17
258,232,56,52,220,428,3757.11
259,233,56,52,221,423,3757.41
260,233,56,52,221,422,3757.46
261,233,55,52,221,419,3757.64
262,232,53,50,221,413,3757.99
263,232,51,49,220,412,3758.05
264,232,49,47,218,400,3758.76
265,231,47,47,218,398,3758.88
266,230,45,45,218,392,3759.23
267,229,44,43,218,396,3758.99
268,229,43,42,218,396,3758.99
269,229,44,42,217,400,3758.76
270,229,45,44,217,402,3758.64
271,229,46,45,217,411,3758.11
272,228,46,46,217,412,3758.05
273,228,46,45,217,410,3758.17
274,228,47,45,217,408,3758.29
275,228,48,45,217,408,3758.29
276,228,49,47,217,406,3758.41
277,228,49,47,217,402,3758.64
278,228,47,47,216,400,3758.76
279,228,45,47,215,394,3759.11
280,226,42,46,213,391,3759.29
281,225,40,43,212,387,3759.52
282,224,38,41,212,387,3759.52
283,223,37,41,212,388,3759.46
284,223,37,40,212,389,3759.41
285,223,37,40,213,389,3759.41
286,224,36,39,213,383,3759.76
287,224,36,39,213,381,3759.88
288,224,36,39,213,379,3759.99
289,224,36,38,213,378,3760.05
290,224,36,36,213,381,3759.88
291,224,38,36,213,387,3759.52
292,224,39,39,213,392,3759.23
293,224,39,40,213,393,3759.17
294,224,38,38,213,391,3759.29
295,224,39,38,213,394,3759.11
296,224,39,39,213,395,3759.05
297,224,39,40,213,391,3759.29
298,223,39,40,212,389,3759.41
299,223,36,40,211,384,3759.7
300,223,34,37,210,381,3759.88
301,221,32,35,210,380,3759.93
302,221,33,35,210,385,3759.64
303,221,35,35,210,387,3759.52
304,221,37,37,211,394,3759.11
305,221,38,37,211,392,3759.23
306,222,39,40,211,393,3759.17
307,223,39,41,212,394,3759.11
308,224,40,41,212,398,3758.88
309,224,41,41,213,406,3758.41
310,225,43,43,214,407,3758.35
311,225,42,45,214,403,3758.58
312,225,40,45,213,400,3758.76
313,224,38,42,213,395,3759.05
314,224,37,40,214,393,3759.17
315,224,36,40,214,390,3759.35
316,224,36,40,214,388,3759.46
317,224,35,38,214,387,3759.52
318,224,35,38,214,380,3759.93
319,224,36,38,214,377,3760.11
320,224,35,39,213,371,3760.46
321,224,31,38,211,364,3760.88
322,223,30,36,210,361,3761.05
323,221,30,34,210,367,3760.7
324,220,32,36,209,375,3760.23
325,220,32,38,208,383,3759.76
326,219,31,38,207,380,3759.93
327,218,31,37,207,380,3759.93
328,216,30,37,207,375,3760.23
329,216,31,38,207,373,3760.35
330,216,31,39,207,372,3760.4
331,216,32,39,207,369,3760.58
332,217,36,39,207,381,3759.88
333,217,38,42,207,382,3759.82
334,217,42,46,206,391,3759.29
335,217,42,47,206,390,3759.35
336,217,42,47,206,383,3759.76
337,216,42,46,206,382,3759.82
338,216,41,45,206,375,3760.23
339,216,40,44,206,374,3760.29
340,216,39,42,206,371,3760.46
341,216,38,41,205,370,3760.52
342,215,38,40,205,372,3760.4
343,215,38,40,205,372,3760.4
344,215,38,39,205,371,3760.46
345,215,37,37,205,366,3760.76
346,214,36,37,205,363,3760.93
347,214,35,36,205,355,3761.4
348,214,34,34,205,352,3761.58
349,213,32,34,204,341,3762.23
350,212,29,32,203,341,3762.23
351,210,28,30,201,331,3762.82
352,209,25,27,200,328,3762.99
353,208,24,27,199,324,3763.23
354,207,24,26,197,325,3763.17
355,205,24,27,196,321,3763.4
356,203,23,28,193,321,3763.4
357,202,22,26,191,321,3763.4
358,201,19,25,191,315,3763.76
359,200,19,23,190,314,3763.82
360,198,19,23,188,313,3763.87
361,198,19,23,188,320,3763.46
362,198,19,22,188,321,3763.4
363,197,20,22,187,332,3762.76
364,197,23,22,187,333,3762.7
365,197,25,24,188,340,3762.29
366,199,27,27,189,339,3762.35
367,199,27,27,189,341,3762.23
368,198,26,28,189,342,3762.17
369,197,25,28,186,340,3762.29
370,196,24,27,186,343,3762.11
371,196,23,25,186,343,3762.11
372,196,23,25,186,345,3761.99
373,196,24,25,185,346,3761.93
374,196,25,25,185,350,3761.7
375,196,27,26,187,352,3761.58
376,196,29,27,187,355,3761.4
377,197,31,29,187,362,3760.99
378,197,33,32,188,364,3760.88
379,197,35,34,188,368,3760.64
380,197,35,34,188,367,3760.7
381,197,34,34,186,364,3760.88
382,196,32,34,186,360,3761.11
383,193,30,35,182,358,3761.23
384,192,29,34,180,353,3761.52
385,190,28,32,178,352,3761.58
386,189,27,31,178,354,3761.46
387,189,26,30,176,355,3761.4
388,188,26,32,176,357,3761.29
389,188,26,32,177,357,3761.29
390,189,26,32,177,357,3761.29
391,189,26,32,177,357,3761.29
392,188,27,33,176,356,3761.35
393,188,27,33,177,356,3761.35
394,189,27,33,177,356,3761.35
395,189,26,31,177,361,3761.05
396,189,27,31,178,361,3761.05
397,190,27,32,178,361,3761.05
398,190,27,32,178,358,3761.23
399,190,27,31,178,356,3761.35
400,190,28,31,179,365,3760.82
401,191,29,31,179,366,3760.76
402,191,31,34,180,373,3760.35
403,191,32,34,180,373,3760.35
404,191,33,35,180,373,3760.35
405,191,33,36,180,373,3760.35
406,191,33,36,180,372,3760.4
407,192,34,36,181,374,3760.29
408,193,34,36,182,374,3760.29
409,194,35,37,182,372,3760.4
410,194,34,37,182,364,3760.88
411,194,33,36,182,363,3760.93
412,194,32,34,183,361,3761.05
413,194,31,34,183,359,3761.17
414,194,29,33,183,355,3761.4
415,194,28,30,182,352,3761.58
416,193,26,27,181,353,3761.52
417,193,26,27,181,358,3761.23
418,193,28,26,181,363,3760.93
419,193,29,26,181,367,3760.7
420,193,30,27,182,371,3760.46
421,194,31,27,182,373,3760.35
422,194,32,28,183,376,3760.17
423,195,33,30,184,377,3760.11
424,195,34,30,184,381,3759.88
425,196,36,31,185,382,3759.82
