x,a,b,c,d,index_value,true_index_value
189,224,99,112,117,422,3894.1
190,225,102,114,119,430,3893.58
191,225,105,115,120,437,3893.13
192,227,107,118,120,445,3892.62
193,227,109,123,124,452,3892.17
194,227,109,125,124,456,3891.91
195,228,108,124,126,456,3891.91
196,228,106,124,126,443,3892.75
197,228,103,123,126,442,3892.81
198,228,98,118,126,430,3893.58
199,228,95,113,128,428,3893.71
200,230,96,110,130,437,3893.13
201,230,96,110,131,438,3893.07
202,230,96,113,132,440,3892.94
203,231,95,112,132,432,3893.45
204,231,94,110,132,428,3893.71
205,231,93,109,132,430,3893.58
206,230,93,109,132,430,3893.58
207,230,93,109,133,428,3893.71
208,230,91,107,133,425,3893.9
209,230,90,105,132,424,3893.97
210,230,88,104,132,422,3894.1
211,230,87,104,131,421,3894.16
212,229,85,101,130,412,3894.74
213,229,84,100,130,412,3894.74
214,228,82,98,129,402,3895.38
215,228,82,98,129,399,3895.58
216,228,80,97,128,394,3895.9
217,227,78,96,127,385,3896.48
218,227,75,94,126,383,3896.61
219,226,72,92,124,370,3897.44
220,226,69,90,122,363,3897.89
221,225,66,88,122,355,3898.41
222,224,64,85,120,353,3898.54
223,223,63,85,119,353,3898.54
224,222,61,85,119,343,3899.18
225,221,59,83,118,336,3899.63
226,221,58,81,118,324,3900.4
227,222,59,80,119,333,3899.82
228,222,60,80,122,334,3899.76
229,222,61,84,120,343,3899.18
230,222,61,85,120,341,3899.31
231,222,60,85,121,337,3899.57
232,222,58,83,121,334,3899.76
233,222,56,82,120,329,3900.08
234,221,54,80,119,322,3900.53
235,221,53,78,119,319,3900.73
236,221,52,77,118,319,3900.73
237,220,52,77,117,322,3900.53
238,220,52,78,117,328,3900.15
239,219,52,77,117,329,3900.08
240,219,51,76,117,330,3900.02
241,219,52,76,117,335,3899.7
242,219,53,77,117,331,3899.95
243,219,53,78,117,331,3899.95
244,219,52,76,116,327,3900.21
245,219,51,75,113,322,3900.53
246,217,50,75,112,329,3900.08
247,217,51,75,112,329,3900.08
248,216,51,76,112,339,3899.44
249,216,51,76,112,338,3899.5
250,216,50,75,111,336,3899.63
251,216,50,75,109,336,3899.63
252,215,50,75,108,336,3899.63
253,214,49,75,107,337,3899.57
254,213,48,74,101,334,3899.76
255,212,46,74,99,331,3899.95
256,211,45,73,98,326,3900.28
257,209,45,73,99,330,3900.02
258,209,46,72,98,334,3899.76
259,209,47,74,98,340,3899.37
260,209,48,75,98,341,3899.31
261,208,50,76,99,347,3898.92
262,209,51,76,99,352,3898.6
263,209,51,78,99,346,3898.99
264,209,49,79,97,342,3899.25
265,208,48,79,97,334,3899.76
266,207,46,76,96,330,3900.02
267,207,46,75,95,327,3900.21
268,207,46,75,93,327,3900.21
269,205,45,75,92,332,3899.89
270,204,46,75,92,332,3899.89
271,204,46,76,92,333,3899.82
272,204,47,76,92,337,3899.57
273,204,48,76,91,340,3899.37
274,204,49,77,90,344,3899.12
275,204,50,78,90,344,3899.12
276,203,51,78,90,348,3898.86
277,204,52,79,91,357,3898.28
278,205,54,80,93,363,3897.89
279,207,57,81,95,374,3897.19
280,207,59,84,98,375,3897.12
281,208,61,88,99,382,3896.67
282,208,62,88,100,381,3896.74
283,208,63,89,101,383,3896.61
284,209,64,89,102,383,3896.61
285,210,65,90,103,383,3896.61
286,210,65,91,105,383,3896.61
287,210,65,91,106,386,3896.41
288,211,65,92,106,387,3896.35
289,211,65,92,107,381,3896.74
290,211,64,91,107,375,3897.12
291,211,63,91,106,369,3897.51
292,211,63,91,106,373,3897.25
293,212,64,91,107,378,3896.93
294,212,66,91,109,387,3896.35
295,212,66,91,110,387,3896.35
296,212,67,92,111,394,3895.9
297,213,68,92,111,396,3895.77
298,213,68,93,112,404,3895.26
299,213,69,94,113,405,3895.19
300,214,70,94,114,411,3894.8
301,215,71,96,116,412,3894.74
302,216,72,96,117,412,3894.74
303,216,72,96,118,414,3894.61
304,219,78,96,120,431,3893.52
305,221,81,96,126,440,3892.94
306,223,88,105,130,460,3891.65
307,224,91,112,134,465,3891.33
308,225,93,114,137,466,3891.27
309,226,95,117,139,466,3891.27
310,227,96,119,142,468,3891.14
311,227,98,120,143,471,3890.94
312,228,98,122,144,475,3890.69
313,228,98,122,145,470,3891.01
314,228,97,122,145,468,3891.14
315,228,97,121,145,468,3891.14
316,229,97,121,147,469,3891.07
317,230,97,121,148,471,3890.94
318,230,97,121,150,473,3890.81
319,230,97,123,151,472,3890.88
320,230,97,123,151,470,3891.01
321,230,95,121,151,461,3891.59
322,231,94,120,152,458,3891.78
323,231,93,118,152,454,3892.04
324,231,92,118,152,451,3892.23
325,231,91,117,153,450,3892.29
326,231,90,116,153,453,3892.1
327,231,89,115,153,452,3892.17
328,231,88,115,153,449,3892.36
329,231,87,114,153,441,3892.87
330,231,86,113,153,442,3892.81
331,231,86,112,153,440,3892.94
332,231,85,111,153,446,3892.55
333,231,86,111,154,446,3892.55
334,231,86,113,154,454,3892.04
335,231,86,113,154,456,3891.91
336,231,86,113,154,458,3891.78
337,231,86,114,154,456,3891.91
338,231,86,113,154,453,3892.1
339,232,85,112,154,449,3892.36
340,232,84,111,155,443,3892.75
341,232,82,110,154,439,3893.0
342,232,80,109,152,433,3893.39
343,231,78,108,151,430,3893.58
344,230,77,106,150,427,3893.78
345,229,75,105,148,422,3894.1
346,229,73,104,147,421,3894.16
347,228,72,102,147,416,3894.48
348,227,71,101,146,414,3894.61
349,227,68,100,137,407,3895.06
350,226,65,99,135,402,3895.38
351,224,63,96,135,396,3895.77
352,222,63,96,135,399,3895.58
353,222,64,97,135,401,3895.45
354,222,63,98,133,395,3895.83
355,221,61,97,132,394,3895.9
356,220,60,95,130,387,3896.35
357,220,59,93,129,387,3896.35
358,219,58,92,129,385,3896.48
359,218,57,92,127,389,3896.22
360,217,57,93,127,389,3896.22
361,217,57,92,127,390,3896.16
362,217,58,92,128,392,3896.03
363,219,60,92,129,396,3895.77
364,219,61,94,130,403,3895.32
365,219,61,95,131,402,3895.38
366,220,62,95,132,400,3895.51
367,220,62,95,133,401,3895.45
368,220,62,95,133,404,3895.26
369,220,63,95,134,409,3894.93
370,220,63,95,133,411,3894.8
371,220,62,96,132,406,3895.13
372,220,62,95,132,402,3895.38
373,219,61,94,132,401,3895.45
374,219,61,94,131,399,3895.58
375,219,60,94,130,396,3895.77
376,217,59,91,129,392,3896.03
377,218,58,91,129,389,3896.22
378,218,57,91,128,387,3896.35
379,217,56,90,128,385,3896.48
380,217,56,89,128,390,3896.16
381,217,57,89,128,391,3896.09
382,217,57,91,128,388,3896.29
383,217,57,91,126,385,3896.48
384,217,56,90,124,381,3896.74
385,216,54,89,123,378,3896.93
386,215,53,87,123,378,3896.93
387,215,52,87,123,379,3896.86
388,215,52,87,122,379,3896.86
389,214,52,86,121,375,3897.12
390,214,52,86,119,368,3897.57
391,213,51,86,117,365,3897.77
392,213,50,85,117,360,3898.09
393,212,49,84,117,363,3897.89
394,212,49,84,118,366,3897.7
395,213,51,84,118,377,3896.99
396,213,52,84,119,378,3896.93
397,213,53,87,119,383,3896.61
398,213,52,86,119,381,3896.74
399,213,51,85,119,379,3896.86
400,213,52,85,119,378,3896.93
401,213,52,85,119,378,3896.93
402,213,52,85,119,379,3896.86
403,213,51,84,119,376,3897.06
404,213,51,84,120,375,3897.12
405,213,51,84,119,372,3897.31
406,213,51,84,119,371,3897.38
407,213,50,83,119,366,3897.7
408,213,49,82,118,368,3897.57
409,212,49,82,118,364,3897.83
410,212,48,83,118,364,3897.83
411,212,47,82,118,355,3898.41
412,212,47,82,118,355,3898.41
413,212,47,81,119,358,3898.22
414,213,48,81,119,364,3897.83
415,213,49,82,120,372,3897.31
416,213,49,83,120,378,3896.93
417,213,49,83,120,382,3896.67
418,213,49,83,121,381,3896.74
419,213,49,83,121,377,3896.99
420,213,48,83,120,375,3897.12
