x,a,b,c,d,index_value,true_index_value
2,80,77,84,16,199,3939.04
3,95,73,84,16,198,3939.17
4,104,72,84,16,197,3939.31
5,104,73,84,16,194,3939.71
6,103,71,84,16,195,3939.57
7,88,70,82,16,197,3939.31
8,92,69,79,16,198,3939.17
9,110,68,74,16,205,3938.24
10,130,68,71,16,206,3938.11
11,132,68,79,16,207,3937.98
12,132,64,78,16,204,3938.38
13,131,60,71,16,201,3938.78
14,120,53,62,16,199,3939.04
15,112,47,58,15,191,3940.11
16,90,40,58,15,188,3940.51
17,78,36,54,11,176,3942.11
18,52,34,48,10,173,3942.51
19,34,31,45,9,171,3942.77
20,33,26,49,7,163,3943.84
21,26,22,45,6,157,3944.64
22,14,20,38,6,151,3945.44
23,14,20,35,6,152,3945.3
24,13,17,34,4,145,3946.24
25,8,16,35,5,142,3946.64
26,21,16,30,5,139,3947.04
27,21,17,28,5,141,3946.77
28,21,18,29,5,148,3945.84
29,23,18,30,5,151,3945.44
30,25,17,32,4,152,3945.3
31,25,13,30,4,148,3945.84
32,24,12,23,4,144,3946.37
33,28,12,15,4,147,3945.97
34,31,14,19,5,148,3945.84
35,37,20,25,5,159,3944.37
36,38,21,27,6,160,3944.24
37,44,26,26,6,162,3943.97
38,45,28,26,8,165,3943.57
39,53,34,33,9,175,3942.24
40,59,37,35,9,181,3941.44
41,67,41,37,9,187,3940.64
42,67,41,38,10,186,3940.77
43,68,40,43,10,181,3941.44
44,69,38,42,10,180,3941.57
45,69,35,37,9,177,3941.97
46,68,34,31,10,173,3942.51
47,71,32,26,11,172,3942.64
48,76,34,31,11,170,3942.91
49,77,36,33,11,171,3942.77
50,80,37,34,13,174,3942.37
51,84,39,34,13,179,3941.71
52,87,40,38,15,182,3941.31
53,95,44,41,15,189,3940.37
54,95,46,41,16,190,3940.24
55,99,50,42,16,198,3939.17
56,99,51,44,16,199,3939.04
57,101,54,53,16,201,3938.78
58,105,55,56,17,204,3938.38
59,107,55,57,17,205,3938.24
60,114,54,55,17,209,3937.71
61,117,53,55,18,209,3937.71
62,120,52,56,19,210,3937.58
63,121,51,52,20,210,3937.58
64,122,49,50,20,206,3938.11
65,125,46,48,20,203,3938.51
66,130,46,48,22,202,3938.64
67,134,47,46,23,203,3938.51
68,138,49,48,25,206,3938.11
69,148,52,48,27,213,3937.18
70,149,53,52,28,214,3937.04
71,153,53,54,29,221,3936.11
72,155,53,50,29,221,3936.11
73,159,54,50,31,221,3936.11
74,160,53,51,31,220,3936.24
75,160,50,53,31,215,3936.91
76,159,48,51,30,212,3937.31
77,156,45,47,30,208,3937.84
78,154,41,44,30,203,3938.51
79,153,39,42,30,199,3939.04
80,152,36,39,30,195,3939.57
81,154,36,37,30,195,3939.57
82,160,39,36,32,201,3938.78
83,160,40,36,33,204,3938.38
84,162,43,41,33,210,3937.58
85,164,46,43,34,212,3937.31
86,170,50,46,36,223,3935.84
87,172,52,49,37,223,3935.84
88,172,49,51,37,214,3937.04
89,172,48,48,37,207,3937.98
90,170,44,44,37,197,3939.31
91,169,43,41,37,199,3939.04
92,168,44,39,37,200,3938.91
93,167,43,41,37,205,3938.24
94,167,42,40,37,206,3938.11
95,169,42,37,37,207,3937.98
96,169,42,37,38,206,3938.11
97,171,43,38,38,206,3938.11
98,173,44,38,39,207,3937.98
99,178,47,38,41,211,3937.44
100,183,51,38,43,216,3936.78
101,192,56,41,46,222,3935.98
102,194,59,50,48,224,3935.71
103,198,62,54,49,228,3935.18
104,200,62,54,50,229,3935.04
105,200,59,52,51,217,3936.64
106,199,58,52,51,216,3936.78
107,199,55,51,50,207,3937.98
108,199,52,49,49,206,3938.11
109,198,50,45,48,204,3938.38
110,196,45,43,47,197,3939.31
111,193,43,43,46,192,3939.97
112,188,38,39,46,183,3941.17
113,186,37,36,46,179,3941.71
114,184,35,33,44,178,3941.84
115,183,33,33,44,172,3942.64
116,181,31,34,44,168,3943.17
117,177,31,32,44,164,3943.71
118,177,32,33,44,165,3943.57
119,176,32,33,44,164,3943.71
120,175,34,34,44,164,3943.71
121,174,37,35,44,166,3943.44
122,175,40,38,44,171,3942.77
123,175,41,40,43,173,3942.51
124,174,39,40,43,168,3943.17
125,172,38,40,43,166,3943.44
126,171,36,38,43,164,3943.71
127,171,37,36,43,168,3943.17
128,170,37,35,43,169,3943.04
129,170,37,37,43,171,3942.77
130,170,36,36,44,170,3942.91
131,171,34,34,43,165,3943.57
132,171,31,34,43,160,3944.24
133,171,30,30,43,153,3945.17
134,172,32,30,44,155,3944.9
135,172,35,32,45,162,3943.97
136,173,36,33,45,165,3943.57
137,173,36,33,45,160,3944.24
138,172,34,34,45,154,3945.04
139,171,32,32,45,148,3945.84
140,171,30,29,45,142,3946.64
141,171,27,29,44,137,3947.3
142,171,25,26,44,131,3948.1
143,170,24,26,44,132,3947.97
144,169,26,25,44,135,3947.57
145,169,27,25,44,137,3947.3
146,170,27,26,45,137,3947.3
147,171,28,28,45,136,3947.44
148,172,29,28,46,138,3947.17
149,172,29,28,45,137,3947.3
150,171,27,25,45,135,3947.57
151,170,26,24,45,130,3948.24
152,169,26,24,45,131,3948.1
153,171,29,24,46,138,3947.17
154,172,31,26,47,143,3946.5
155,175,34,29,48,149,3945.7
156,176,35,31,49,148,3945.84
157,176,35,32,49,146,3946.1
