x,a,b,c,d,index_value,true_index_value
2,151,149,208,238,353,3789.29
3,171,172,208,238,399,3786.7
4,171,195,208,236,428,3785.08
5,170,215,217,237,469,3782.78
6,167,208,235,237,448,3783.96
7,167,204,229,236,425,3785.25
8,166,189,216,235,395,3786.93
9,149,187,213,230,356,3789.12
10,123,192,199,227,358,3789.01
11,98,198,207,227,367,3788.5
12,98,214,231,227,409,3786.14
13,98,219,237,227,412,3785.98
14,97,206,231,224,381,3787.71
15,90,201,221,220,364,3788.67
16,71,197,223,220,362,3788.78
17,71,201,225,220,382,3787.66
18,71,202,219,219,393,3787.04
19,69,202,212,217,399,3786.7
20,65,200,216,217,400,3786.65
21,70,202,222,217,402,3786.54
22,70,200,219,217,401,3786.59
23,69,194,210,216,383,3787.6
24,65,189,204,214,382,3787.66
25,62,185,206,211,374,3788.11
26,52,187,201,211,386,3787.43
27,61,196,197,212,404,3786.42
28,69,208,200,212,418,3785.64
29,69,216,215,212,419,3785.58
30,69,216,223,211,418,3785.64
31,68,213,215,211,404,3786.42
32,66,212,210,210,407,3786.26
33,69,214,205,210,413,3785.92
34,69,218,214,209,430,3784.97
35,68,219,218,209,435,3784.68
36,65,220,216,210,443,3784.24
37,74,222,212,211,447,3784.01
38,82,226,209,211,457,3783.45
39,83,228,219,211,463,3783.11
40,83,228,223,210,463,3783.11
41,83,227,219,211,462,3783.17
42,89,232,215,211,466,3782.95
43,91,231,224,212,469,3782.78
44,98,231,228,212,468,3782.83
45,98,224,219,212,468,3782.83
46,97,218,215,210,457,3783.45
47,90,211,208,208,443,3784.24
48,85,196,210,206,415,3785.81
49,83,188,203,204,396,3786.87
50,72,178,191,201,376,3788.0
51,64,173,185,199,363,3788.72
52,62,171,189,198,358,3789.01
53,58,170,188,196,352,3789.34
54,53,169,186,196,347,3789.62
55,56,176,183,196,361,3788.84
56,59,178,180,198,363,3788.72
57,65,189,193,198,386,3787.43
58,65,191,199,198,389,3787.27
59,67,195,198,200,391,3787.15
60,79,203,196,202,409,3786.14
61,86,211,202,202,420,3785.53
62,87,218,212,202,436,3784.63
63,87,219,216,202,436,3784.63
64,87,215,211,201,431,3784.91
65,86,213,206,202,436,3784.63
66,88,214,209,202,439,3784.46
67,93,215,209,202,447,3784.01
68,93,214,208,203,446,3784.07
69,97,215,203,203,448,3783.96
70,97,215,206,203,450,3783.84
71,98,212,208,203,450,3783.84
72,98,207,202,203,446,3784.07
73,99,203,197,203,442,3784.29
74,99,199,193,202,436,3784.63
75,99,195,195,202,434,3784.74
76,98,192,193,201,429,3785.02
77,97,188,187,202,422,3785.41
78,100,191,184,202,426,3785.19
79,103,193,190,202,431,3784.91
80,103,197,195,202,439,3784.46
81,103,197,192,202,438,3784.52
82,103,195,186,202,437,3784.57
83,103,198,185,202,450,3783.84
84,106,201,189,203,455,3783.56
85,106,204,193,204,466,3782.95
86,112,204,192,204,463,3783.11
87,112,202,188,204,457,3783.45
88,112,200,193,204,450,3783.84
89,112,198,191,204,446,3784.07
90,113,196,188,204,440,3784.4
91,113,192,186,204,434,3784.74
92,112,189,182,202,429,3785.02
93,111,185,182,202,425,3785.25
94,111,182,178,202,422,3785.41
95,111,180,175,202,417,3785.69
96,112,181,172,203,421,3785.47
97,116,183,172,203,426,3785.19
98,116,183,177,203,425,3785.25
99,116,181,177,203,421,3785.47
100,115,177,172,202,409,3786.14
101,113,174,168,201,406,3786.31
102,113,172,169,201,406,3786.31
103,113,168,166,201,397,3786.82
104,112,166,161,200,394,3786.99
105,112,166,157,200,389,3787.27
106,112,167,157,201,390,3787.21
107,113,170,161,201,401,3786.59
108,115,173,162,201,409,3786.14
109,115,174,162,202,413,3785.92
110,118,177,162,202,423,3785.36
111,119,177,166,202,423,3785.36
112,120,179,168,202,427,3785.13
113,120,176,166,202,419,3785.58
114,120,170,163,202,405,3786.37
115,118,167,159,198,396,3786.87
116,110,160,158,197,384,3787.55
117,110,160,155,197,384,3787.55
118,108,154,153,196,378,3787.88
119,106,153,150,195,377,3787.94
120,104,148,150,193,370,3788.33
121,102,147,147,193,371,3788.28
122,102,146,146,193,371,3788.28
123,102,144,143,193,368,3788.44
124,102,141,141,193,365,3788.61
125,102,137,140,191,361,3788.84
126,100,131,136,191,349,3789.51
127,99,128,132,190,345,3789.74
128,97,122,127,189,325,3790.86
129,94,119,126,185,318,3791.25
130,89,107,126,185,284,3793.16
131,87,106,122,179,279,3793.44
132,77,99,116,178,265,3794.22
133,75,103,117,178,279,3793.44
134,75,106,122,177,285,3793.1
135,74,108,124,176,287,3792.99
136,73,100,123,175,267,3794.11
137,71,97,118,171,253,3794.9
138,62,90,115,167,234,3795.96
139,56,91,115,166,232,3796.08
140,55,96,115,166,245,3795.35
141,55,100,116,166,253,3794.9
142,56,106,120,165,266,3794.17
143,56,108,124,165,273,3793.78
144,56,108,123,165,273,3793.78
145,55,108,121,164,276,3793.61
146,56,109,120,164,273,3793.78
147,56,110,124,164,273,3793.78
148,56,108,126,164,262,3794.39
149,55,107,123,163,262,3794.39
150,54,105,121,162,257,3794.67
151,54,104,120,162,258,3794.62
152,53,97,120,161,238,3795.74
153,52,96,116,158,235,3795.91
154,48,91,111,157,225,3796.47
155,48,97,110,157,240,3795.63
156,48,98,114,157,245,3795.35
157,48,102,119,157,252,3794.95
158,49,104,117,157,250,3795.07
159,49,107,117,157,256,3794.73
160,51,111,117,157,260,3794.5
161,51,115,123,157,270,3793.94
162,51,117,125,158,274,3793.72
163,53,118,124,158,278,3793.49
164,54,119,124,158,278,3793.49
165,54,116,128,158,266,3794.17
166,54,115,128,157,265,3794.22
167,53,110,123,156,253,3794.9
168,52,109,122,157,256,3794.73
169,56,114,119,157,257,3794.67
170,56,117,124,157,267,3794.11
171,56,121,130,157,268,3794.06
172,55,121,131,156,270,3793.94
173,54,118,129,156,259,3794.56
174,54,115,129,155,252,3794.95
175,52,111,126,153,241,3795.57
176,49,109,124,152,234,3795.96
177,49,108,122,151,236,3795.85
178,49,109,121,152,240,3795.63
179,50,109,123,152,241,3795.57
180,50,109,123,152,239,3795.68
181,51,110,121,153,243,3795.46
182,54,113,120,153,249,3795.12
183,56,115,123,153,256,3794.73
184,56,115,127,153,250,3795.07
185,56,114,127,154,248,3795.18
186,58,116,124,155,254,3794.84
187,59,117,124,155,257,3794.67
188,60,118,128,155,265,3794.22
189,61,118,127,155,264,3794.28
190,61,118,126,155,265,3794.22
191,62,118,125,155,265,3794.22
192,62,116,124,155,263,3794.34
193,61,109,124,154,250,3795.07
194,59,108,121,150,247,3795.23
195,54,101,116,150,240,3795.63
196,53,96,114,149,230,3796.19
197,52,93,114,147,230,3796.19
198,49,89,110,145,221,3796.69
199,47,89,110,145,222,3796.64
200,47,89,110,144,221,3796.69
201,46,92,110,143,229,3796.24
202,47,94,113,143,230,3796.19
203,48,99,118,144,241,3795.57
204,49,99,120,144,242,3795.51
205,49,98,119,144,237,3795.8
206,49,96,119,144,234,3795.96
207,49,93,117,143,222,3796.64
208,48,92,114,142,220,3796.75
209,47,90,112,142,216,3796.97
210,47,88,112,141,211,3797.25
211,46,86,112,140,211,3797.25
212,45,83,109,139,205,3797.59
213,44,82,108,139,205,3797.59
214,43,83,106,138,210,3797.31
215,43,85,108,138,218,3796.86
216,45,90,109,139,224,3796.52
217,46,94,110,140,232,3796.08
218,47,96,113,140,231,3796.13
219,47,94,115,140,219,3796.81
220,46,93,114,138,215,3797.03
221,46,90,111,138,211,3797.25
222,46,89,109,138,208,3797.42
223,45,88,107,136,205,3797.59
224,44,86,106,136,205,3797.59
225,44,85,106,136,204,3797.65
226,44,84,104,136,203,3797.7
227,43,80,102,134,190,3798.43
228,41,77,100,132,189,3798.49
229,38,70,100,131,163,3799.95
230,37,65,98,127,163,3799.95
231,30,57,94,122,143,3801.07
232,24,54,93,120,144,3801.01
233,23,56,92,119,144,3801.01
234,23,59,95,119,157,3800.28
235,23,63,96,122,161,3800.06
236,26,70,97,122,176,3799.22
237,26,72,100,121,180,3798.99
238,27,76,105,120,183,3798.83
239,27,75,106,120,177,3799.16
240,27,72,105,119,171,3799.5
241,27,70,102,119,163,3799.95
242,27,66,102,119,160,3800.12
