x,a,b,c,d,index_value,true_index_value
2,150,156,223,238,455,3894.23
3,211,158,223,238,458,3893.78
4,211,160,223,238,455,3894.23
5,210,163,234,238,449,3895.12
6,183,163,237,238,444,3895.86
7,171,160,228,238,443,3896.01
8,171,158,222,238,442,3896.16
9,169,155,207,238,440,3896.46
10,177,156,194,238,445,3895.72
11,181,157,204,238,444,3895.86
12,181,156,211,237,438,3896.76
13,180,154,201,237,430,3897.95
14,174,154,190,237,424,3898.84
15,170,154,183,236,423,3898.99
16,166,153,194,236,423,3898.99
17,165,152,190,236,426,3898.55
18,168,155,182,236,427,3898.4
19,168,158,179,235,430,3897.95
20,168,163,175,235,433,3897.5
21,172,167,191,236,436,3897.06
22,182,170,199,236,442,3896.16
23,182,173,199,236,444,3895.86
24,182,174,196,236,447,3895.42
25,181,173,209,235,444,3895.86
26,180,171,209,234,443,3896.01
27,172,167,200,234,435,3897.21
28,166,160,188,233,429,3898.1
29,162,158,174,231,423,3898.99
30,142,155,182,231,422,3899.14
31,144,156,182,231,424,3898.84
32,144,158,180,231,426,3898.55
33,144,159,176,231,426,3898.55
34,142,162,189,230,427,3898.4
35,144,167,190,230,430,3897.95
36,148,170,195,230,435,3897.21
37,151,173,198,231,437,3896.91
38,160,175,198,232,437,3896.91
39,168,177,206,232,439,3896.61
40,171,180,210,232,446,3895.57
41,175,182,209,232,450,3894.97
42,176,184,209,233,453,3894.52
43,188,186,216,234,457,3893.93
44,191,189,218,234,459,3893.63
45,197,192,220,235,466,3892.59
46,201,195,219,235,472,3891.69
47,201,193,218,235,471,3891.84
48,200,190,224,234,468,3892.29
49,198,186,224,233,460,3893.48
50,196,183,215,233,455,3894.23
51,196,178,211,233,446,3895.57
52,195,176,211,232,441,3896.31
53,190,173,202,232,432,3897.65
54,193,173,198,232,434,3897.35
55,193,173,196,232,435,3897.21
56,192,171,194,232,438,3896.76
57,188,168,194,231,438,3896.76
58,186,165,187,231,430,3897.95
59,186,162,178,231,429,3898.1
60,185,162,173,231,426,3898.55
61,189,165,180,231,430,3897.95
62,191,168,184,232,436,3897.06
63,193,171,186,232,439,3896.61
64,194,171,185,232,437,3896.91
65,196,171,184,233,437,3896.91
66,201,174,188,233,440,3896.46
67,204,176,189,233,447,3895.42
68,205,179,193,233,452,3894.67
69,205,179,195,233,455,3894.23
70,205,178,200,234,449,3895.12
71,209,178,198,234,448,3895.27
72,213,179,194,235,451,3894.82
73,216,185,197,235,460,3893.48
74,221,187,199,235,463,3893.03
75,223,191,212,236,468,3892.29
76,226,192,218,237,469,3892.14
77,230,194,218,237,472,3891.69
78,230,194,219,237,468,3892.29
79,232,192,223,237,465,3892.74
80,232,190,218,237,459,3893.63
81,234,188,213,238,460,3893.48
82,236,188,208,238,465,3892.74
83,239,191,205,238,468,3892.29
84,242,192,212,238,472,3891.69
85,242,192,215,238,470,3891.99
86,242,191,213,238,467,3892.44
87,240,188,209,238,464,3892.88
88,238,185,209,237,457,3893.93
89,235,183,205,236,457,3893.93
90,232,180,200,236,455,3894.23
91,231,178,196,236,454,3894.37
92,230,176,192,236,451,3894.82
93,229,174,192,236,447,3895.42
94,227,172,187,234,445,3895.72
95,223,171,182,234,442,3896.16
96,222,169,179,234,441,3896.31
97,220,169,176,234,441,3896.31
98,221,170,178,234,443,3896.01
99,221,171,180,234,446,3895.57
100,221,172,179,234,449,3895.12
101,221,173,180,234,450,3894.97
102,220,173,185,233,451,3894.82
103,219,171,184,233,450,3894.97
104,217,170,179,232,450,3894.97
105,215,170,178,232,452,3894.67
106,215,171,181,232,453,3894.52
107,215,173,183,233,456,3894.08
108,216,174,183,233,457,3893.93
109,217,176,185,233,462,3893.18
110,221,178,185,233,462,3893.18
111,221,177,192,233,463,3893.03
112,221,177,191,233,462,3893.18
113,220,175,187,233,460,3893.48
114,220,175,185,233,459,3893.63
115,220,174,183,233,457,3893.93
116,220,170,183,233,451,3894.82
117,218,167,179,231,448,3895.27
118,211,163,171,230,443,3896.01
119,208,161,168,230,444,3895.86
120,206,161,170,230,446,3895.57
121,206,162,171,230,448,3895.27
122,207,164,170,230,449,3895.12
123,208,164,170,230,449,3895.12
124,208,164,170,230,444,3895.86
125,207,164,171,230,444,3895.86
126,207,165,171,230,445,3895.72
127,208,165,172,230,449,3895.12
128,209,166,172,230,451,3894.82
129,211,166,173,230,453,3894.52
130,211,167,172,230,454,3894.37
131,212,167,170,230,454,3894.37
132,212,168,169,231,454,3894.37
133,213,168,168,231,453,3894.52
134,213,168,170,231,452,3894.67
135,213,167,169,230,450,3894.97
136,213,166,165,230,448,3895.27
137,213,166,164,230,447,3895.42
138,213,165,164,230,446,3895.57
