x,a,b,c,d,index_value,true_index_value
1,14,171,197,13,265,3970.09
2,127,171,197,13,265,3970.09
3,126,171,197,15,292,3967.4
4,147,179,197,16,315,3965.1
5,173,183,197,18,339,3962.71
6,212,190,212,21,353,3961.31
7,227,197,222,26,380,3958.61
8,234,196,233,27,381,3958.51
9,234,192,237,28,390,3957.62
10,233,183,227,29,386,3958.02
11,229,176,224,30,385,3958.11
12,222,167,227,31,376,3959.01
13,219,164,220,31,374,3959.21
14,204,152,202,29,370,3959.61
15,203,146,197,28,365,3960.11
16,199,131,197,27,351,3961.51
17,172,120,179,26,335,3963.11
18,165,107,156,27,318,3964.8
19,142,100,145,27,307,3965.9
20,142,94,143,27,298,3966.8
21,143,92,150,27,297,3966.9
22,143,86,143,27,283,3968.3
23,142,83,132,26,282,3968.4
24,132,77,121,26,278,3968.8
25,127,74,130,25,276,3969.0
26,114,69,129,25,272,3969.39
27,110,66,115,21,262,3970.39
28,108,51,100,19,233,3973.29
29,104,40,89,17,215,3975.08
30,88,26,85,17,186,3977.98
31,68,16,69,16,165,3980.07
32,63,12,54,14,161,3980.47
33,61,7,49,14,144,3982.17
34,57,7,57,14,142,3982.37
35,53,10,56,15,143,3982.27
36,53,14,52,14,151,3981.47
37,53,22,56,13,162,3980.37
38,51,20,57,13,156,3980.97
39,49,19,62,13,150,3981.57
40,43,18,57,12,138,3982.77
41,42,15,51,12,122,3984.37
42,40,14,45,12,120,3984.57
43,36,11,45,12,108,3985.76
44,38,14,47,12,109,3985.66
45,42,16,42,12,110,3985.56
46,42,19,42,11,107,3985.86
47,41,21,38,11,103,3986.26
48,38,21,46,11,95,3987.06
49,36,21,49,11,85,3988.06
50,32,22,42,11,82,3988.36
51,30,22,40,11,73,3989.26
52,29,19,45,10,69,3989.66
53,22,14,42,8,55,3991.05
54,14,10,36,7,42,3992.35
55,12,13,30,6,40,3992.55
56,10,13,24,6,41,3992.45
57,9,17,37,5,42,3992.35
58,9,21,38,6,42,3992.35
59,13,27,40,7,47,3991.85
60,14,35,43,7,56,3990.96
61,16,40,53,7,60,3990.56
62,16,44,58,7,54,3991.15
63,15,43,54,6,53,3991.25
64,12,44,47,7,49,3991.65
65,14,46,46,7,51,3991.45
66,15,48,54,9,58,3990.76
67,23,54,54,11,65,3990.06
68,26,59,54,10,75,3989.06
69,30,66,59,10,82,3988.36
70,30,70,69,10,88,3987.76
71,31,76,72,10,94,3987.16
72,38,83,72,10,103,3986.26
73,38,87,77,10,110,3985.56
74,38,88,84,10,107,3985.86
75,37,84,87,10,95,3987.06
76,35,77,78,9,80,3988.56
77,35,74,69,9,72,3989.36
78,35,76,61,9,71,3989.46
79,35,77,61,9,64,3990.16
80,34,74,66,9,58,3990.76
81,32,66,57,9,39,3992.65
82,31,63,48,9,32,3993.35
83,30,55,41,9,16,3994.95
84,29,54,42,9,15,3995.05
85,24,53,36,7,14,3995.15
86,19,53,36,7,15,3995.05
87,18,57,37,6,16,3994.95
88,15,59,42,6,23,3994.25
89,16,63,46,6,32,3993.35
90,18,64,46,6,37,3992.85
91,18,62,41,6,24,3994.15
92,17,61,40,5,23,3994.25
93,14,56,40,5,6,3995.95
94,14,58,36,5,9,3995.65
95,14,58,32,5,9,3995.65
96,13,58,34,6,11,3995.45
97,16,61,34,7,14,3995.15
98,20,68,36,7,24,3994.15
99,20,72,39,8,28,3993.75
100,22,80,44,9,43,3992.25
101,25,84,48,9,50,3991.55
102,25,88,58,10,62,3990.36
103,25,92,64,11,71,3989.46
104,28,98,64,11,81,3988.46
105,29,99,65,11,84,3988.16
106,29,100,74,11,82,3988.36
107,28,96,76,10,76,3988.96
108,27,93,68,10,67,3989.86
109,25,85,60,9,50,3991.55
110,22,81,54,7,48,3991.75
111,20,77,49,8,39,3992.65
112,22,81,49,8,54,3991.15
113,23,84,53,9,58,3990.76
114,26,90,55,11,77,3988.86
115,28,94,54,11,85,3988.06
116,30,99,63,11,94,3987.16
117,30,103,73,11,99,3986.66
118,30,102,74,12,96,3986.96
119,31,102,73,12,94,3987.16
120,35,105,74,12,104,3986.16
121,37,108,74,13,112,3985.37
122,40,113,79,14,130,3983.57
123,41,116,83,15,139,3982.67
124,42,117,86,15,143,3982.27
125,44,116,87,16,142,3982.37
126,44,113,86,16,135,3983.07
127,44,111,82,16,130,3983.57
128,44,108,74,16,128,3983.77
129,44,107,74,16,131,3983.47
130,51,112,74,18,149,3981.67
131,52,113,74,21,151,3981.47
132,54,116,81,21,158,3980.77
133,55,114,80,22,156,3980.97
134,55,111,80,22,146,3981.97
135,55,108,75,22,146,3981.97
136,54,105,69,22,142,3982.37
137,53,103,65,22,144,3982.17
138,53,103,67,22,146,3981.97
139,55,104,67,22,151,3981.47
140,56,104,66,23,152,3981.37
141,56,103,66,23,156,3980.97
142,60,107,63,24,164,3980.17
143,65,111,67,27,173,3979.28
144,68,119,77,30,184,3978.18
145,71,125,87,32,195,3977.08
146,79,133,95,34,209,3975.68
147,83,136,102,39,213,3975.28
148,86,142,116,41,224,3974.19
149,87,141,122,42,229,3973.69
150,88,142,121,43,232,3973.39
151,91,146,119,45,244,3972.19
152,94,149,124,46,249,3971.69
153,98,153,131,48,262,3970.39
154,101,156,136,50,269,3969.69
155,101,156,140,51,268,3969.79
156,101,153,142,51,263,3970.29
157,100,147,136,51,250,3971.59
158,101,142,126,52,242,3972.39
159,101,137,117,52,234,3973.19
160,101,134,112,52,231,3973.49
161,101,130,111,52,224,3974.19
162,102,128,105,52,224,3974.19
163,102,126,100,53,222,3974.39
164,102,125,96,53,222,3974.39
165,102,123,95,53,222,3974.39
166,103,122,95,54,221,3974.49
167,104,121,92,54,217,3974.88
168,104,121,87,55,222,3974.39
169,106,122,85,55,223,3974.29
170,106,122,90,56,229,3973.69
171,107,123,89,56,234,3973.19
172,107,124,89,57,235,3973.09
173,107,124,90,57,236,3972.99
174,107,125,91,57,239,3972.69
175,109,125,91,58,239,3972.69
176,109,125,91,59,237,3972.89
177,109,121,89,59,230,3973.59
178,110,121,86,59,232,3973.39
179,110,122,86,60,233,3973.29
180,110,124,89,60,243,3972.29
181,112,123,87,60,243,3972.29
182,113,125,86,62,248,3971.79
183,114,126,86,63,249,3971.69
184,114,126,90,63,249,3971.69
185,114,125,89,63,248,3971.79
186,113,123,84,63,241,3972.49
187,113,122,81,63,241,3972.49
188,113,121,82,63,241,3972.49
189,113,119,81,63,239,3972.69
190,113,118,76,63,236,3972.99
191,113,116,73,62,232,3973.39
192,113,114,73,61,226,3973.99
193,112,108,68,59,213,3975.28
194,110,106,62,59,205,3976.08
195,106,103,57,58,198,3976.78
196,105,102,55,57,200,3976.58
