x,a,b,c,d,index_value,true_index_value
2,109,106,79,9,168,3847.98
3,135,104,79,9,161,3848.24
4,135,100,79,9,165,3848.09
5,133,100,79,9,165,3848.09
6,146,101,78,9,192,3847.08
7,161,102,77,12,206,3846.55
8,170,100,71,14,229,3845.68
9,177,99,61,15,228,3845.72
10,177,93,53,15,222,3845.95
11,176,88,63,14,216,3846.17
12,169,83,61,13,208,3846.47
13,168,75,52,13,198,3846.85
14,152,67,42,12,186,3847.3
15,152,59,29,12,168,3847.98
16,151,51,33,12,147,3848.77
17,155,46,26,14,134,3849.26
18,157,44,17,16,135,3849.22
19,160,44,11,17,136,3849.18
20,164,46,7,19,140,3849.03
21,167,47,20,20,139,3849.07
22,174,52,22,21,148,3848.73
23,177,56,19,23,164,3848.13
24,193,66,19,29,183,3847.41
25,204,72,40,32,203,3846.66
26,207,80,52,35,212,3846.32
27,207,80,53,32,199,3846.81
28,206,75,51,31,178,3847.6
29,195,71,46,31,165,3848.09
30,190,68,53,32,160,3848.28
31,192,69,51,35,181,3847.49
32,197,73,49,37,195,3846.96
33,198,74,49,39,211,3846.36
34,198,71,61,39,198,3846.85
35,200,70,58,40,190,3847.15
36,207,69,52,43,205,3846.59
37,212,72,49,47,208,3846.47
38,215,77,49,49,253,3844.78
39,220,81,61,52,256,3844.67
40,224,86,68,54,284,3843.61
41,225,90,68,57,291,3843.35
42,234,96,71,61,313,3842.52
43,234,97,85,62,315,3842.45
44,234,98,90,63,314,3842.48
45,235,95,85,65,308,3842.71
46,235,92,81,66,311,3842.6
47,234,87,77,66,295,3843.2
48,233,82,79,66,285,3843.57
49,232,78,73,67,277,3843.88
50,231,76,67,68,281,3843.72
51,231,75,68,68,288,3843.46
52,233,73,70,69,285,3843.57
53,235,71,66,71,275,3843.95
54,235,69,63,73,268,3844.21
55,237,71,63,74,268,3844.21
56,237,71,59,77,272,3844.06
57,237,70,67,76,256,3844.67
58,236,68,68,76,254,3844.74
59,234,65,63,76,231,3845.61
60,232,63,59,76,244,3845.12
61,232,63,61,77,248,3844.97
62,232,63,61,78,268,3844.21
63,232,63,57,79,269,3844.18
64,232,60,56,79,254,3844.74
65,231,59,53,79,252,3844.82
66,230,56,55,80,237,3845.38
67,231,55,53,80,236,3845.42
68,231,54,49,80,232,3845.57
69,231,53,46,80,232,3845.57
70,229,53,50,79,239,3845.31
71,226,53,50,79,242,3845.19
72,225,53,50,77,255,3844.7
73,225,49,49,76,239,3845.31
74,223,48,47,75,232,3845.57
75,217,41,47,74,206,3846.55
76,215,40,45,74,199,3846.81
77,214,37,40,73,200,3846.77
78,211,34,39,72,194,3847.0
79,211,30,41,71,171,3847.87
80,209,26,37,71,160,3848.28
81,205,23,32,71,151,3848.62
82,204,24,29,70,151,3848.62
83,203,24,29,69,158,3848.36
84,201,26,34,69,168,3847.98
85,200,28,37,70,169,3847.94
86,200,29,37,70,185,3847.34
87,200,28,36,71,184,3847.38
88,200,26,38,71,179,3847.56
89,199,23,36,71,168,3847.98
90,199,20,31,71,154,3848.51
91,199,19,28,72,146,3848.81
92,199,18,25,70,136,3849.18
93,199,17,27,68,120,3849.79
94,197,15,25,68,115,3849.97
95,193,13,22,67,99,3850.58
96,192,11,20,66,82,3851.22
97,190,10,20,66,81,3851.25
98,189,10,21,67,86,3851.07
99,189,11,21,67,91,3850.88
100,189,11,21,66,92,3850.84
101,189,12,19,65,85,3851.1
102,187,13,21,65,84,3851.14
103,186,15,23,66,92,3850.84
104,187,18,23,67,103,3850.43
105,187,20,25,67,113,3850.05
106,187,21,27,67,122,3849.71
107,187,22,29,68,125,3849.6
108,187,23,30,68,136,3849.18
109,187,24,30,68,135,3849.22
110,187,24,30,68,130,3849.41
111,187,26,30,68,131,3849.37
112,187,26,33,66,145,3848.84
113,186,28,34,66,156,3848.43
114,183,28,34,66,155,3848.47
115,182,27,34,65,141,3849.0
116,181,25,35,65,138,3849.11
117,181,24,34,65,127,3849.52
118,180,22,31,62,124,3849.64
119,179,18,31,60,110,3850.16
120,178,16,31,59,102,3850.46
121,174,12,28,59,93,3850.8
122,173,11,27,59,92,3850.84
123,172,12,25,58,97,3850.65
124,171,12,27,58,101,3850.5
125,171,11,28,57,97,3850.65
126,170,8,25,57,85,3851.1
127,169,7,22,57,80,3851.29
128,169,7,21,56,81,3851.25
129,168,7,21,55,87,3851.03
130,167,6,22,54,88,3850.99
131,166,5,19,53,88,3850.99
132,165,4,17,53,84,3851.14
133,164,3,16,52,79,3851.33
134,163,1,17,51,70,3851.67
135,163,1,16,51,57,3852.16
136,162,1,13,51,50,3852.42
137,162,3,13,52,58,3852.12
138,163,5,16,52,66,3851.82
