x,a,b,c,d,index_value,true_index_value
2,105,30,154,205,368,3888.45
3,137,42,154,204,367,3888.52
4,137,46,154,204,378,3887.81
5,148,64,167,199,398,3886.52
6,149,67,174,199,411,3885.68
7,154,74,173,201,429,3884.52
8,169,79,164,201,437,3884.0
9,174,81,156,201,444,3883.55
10,181,88,150,200,460,3882.52
11,181,89,167,198,462,3882.39
12,180,89,179,193,466,3882.13
13,167,86,174,191,464,3882.26
14,166,78,158,189,454,3882.9
15,165,76,147,185,450,3883.16
16,163,76,161,181,453,3882.97
17,160,78,162,179,461,3882.45
18,161,80,156,180,463,3882.32
19,166,83,148,182,462,3882.39
20,172,86,142,182,468,3882.0
21,174,89,159,184,472,3881.74
22,178,90,160,184,469,3881.94
23,178,88,154,184,451,3883.1
24,178,80,148,180,428,3884.58
25,176,70,154,171,405,3886.06
26,167,61,143,161,380,3887.68
27,158,50,130,160,359,3889.03
28,158,49,119,157,352,3889.48
29,158,46,114,156,343,3890.06
30,157,45,126,155,339,3890.32
31,161,48,124,156,345,3889.93
32,163,52,120,156,351,3889.55
33,163,58,120,156,365,3888.64
34,165,61,131,155,369,3888.39
35,165,61,136,155,369,3888.39
36,168,61,127,156,364,3888.71
37,170,62,119,156,359,3889.03
38,170,57,118,156,344,3890.0
39,169,51,122,152,335,3890.58
40,167,44,115,146,312,3892.06
41,165,41,102,145,309,3892.26
42,165,42,100,144,308,3892.32
43,164,45,111,139,311,3892.13
44,161,47,117,137,314,3891.93
45,161,49,115,136,316,3891.8
46,163,56,110,137,328,3891.03
47,165,60,106,138,333,3890.71
48,167,67,120,138,349,3889.68
49,167,70,128,138,353,3889.42
50,168,70,125,139,350,3889.61
51,172,71,124,140,351,3889.55
52,173,70,132,140,351,3889.55
53,173,69,132,140,351,3889.55
54,173,68,126,139,348,3889.74
55,173,68,121,139,343,3890.06
56,172,66,120,134,341,3890.19
57,171,64,121,133,334,3890.64
58,171,67,117,135,333,3890.71
59,173,73,116,138,339,3890.32
60,178,82,115,139,352,3889.48
61,178,86,129,139,358,3889.1
62,177,92,139,138,365,3888.64
63,179,93,136,138,365,3888.64
64,179,93,133,138,358,3889.1
65,179,88,132,135,350,3889.61
66,177,86,132,130,341,3890.19
67,175,81,130,131,336,3890.51
68,176,82,125,131,337,3890.45
69,178,85,124,132,345,3889.93
70,179,87,133,132,346,3889.87
71,179,90,138,135,353,3889.42
72,181,93,135,138,358,3889.1
73,185,98,135,145,367,3888.52
74,189,106,136,147,383,3887.48
75,191,111,145,149,390,3887.03
76,191,117,157,149,403,3886.19
77,192,119,161,149,402,3886.26
78,192,116,158,150,398,3886.52
79,194,115,157,151,402,3886.26
80,195,115,155,153,402,3886.26
81,196,116,155,153,413,3885.55
82,196,116,152,153,414,3885.48
83,196,115,151,153,417,3885.29
84,197,114,154,155,418,3885.23
85,199,114,152,155,417,3885.29
86,199,113,147,159,411,3885.68
87,202,118,146,162,421,3885.03
88,203,121,150,163,423,3884.9
89,204,127,159,164,435,3884.13
90,205,128,161,166,436,3884.07
91,206,128,159,167,443,3883.61
92,207,129,157,169,445,3883.49
93,208,129,163,172,450,3883.16
94,210,130,162,173,452,3883.03
95,210,131,162,173,452,3883.03
96,210,128,161,173,442,3883.68
97,211,124,159,173,438,3883.94
98,211,121,158,173,424,3884.84
99,211,119,153,171,421,3885.03
100,210,116,148,171,419,3885.16
101,211,115,147,173,418,3885.23
102,211,113,147,175,417,3885.29
103,213,115,145,176,425,3884.78
104,213,116,144,176,427,3884.65
105,213,114,145,174,431,3884.39
106,212,113,144,170,425,3884.78
107,211,112,146,170,424,3884.84
108,211,112,145,170,424,3884.84
109,211,112,143,170,425,3884.78
110,211,114,143,171,430,3884.45
111,212,114,145,171,437,3884.0
112,212,116,151,171,441,3883.74
113,213,116,152,172,441,3883.74
114,213,116,151,172,434,3884.19
115,213,115,151,171,431,3884.39
116,213,116,153,173,429,3884.52
117,215,120,155,174,435,3884.13
118,215,122,156,174,438,3883.94
119,215,121,159,174,436,3884.07
120,215,122,162,176,440,3883.81
121,216,123,161,177,440,3883.81
122,216,123,161,178,445,3883.49
123,217,122,159,178,438,3883.94
124,217,119,158,178,430,3884.45
125,217,116,158,178,421,3885.03
126,217,113,153,178,414,3885.48
127,217,110,147,178,404,3886.13
128,218,109,144,178,404,3886.13
129,218,108,144,178,404,3886.13
130,218,110,145,181,408,3885.87
131,219,113,146,182,412,3885.61
132,219,113,146,182,406,3886.0
133,219,112,148,181,402,3886.26
134,219,113,151,180,394,3886.77
135,219,113,152,180,395,3886.71
136,219,112,150,180,392,3886.9
137,219,111,148,180,394,3886.77
138,219,108,148,179,395,3886.71
139,219,106,146,177,393,3886.84
140,218,103,142,176,383,3887.48
141,218,100,139,174,374,3888.06
142,217,100,138,173,371,3888.26
143,217,103,140,173,373,3888.13
144,217,103,141,173,372,3888.19
145,217,103,141,171,371,3888.26
146,216,100,138,169,369,3888.39
147,216,100,140,168,372,3888.19
148,215,94,139,167,360,3888.97
149,214,93,133,159,359,3889.03
150,212,86,125,158,342,3890.13
151,212,85,124,158,344,3890.0
152,212,84,124,158,345,3889.93
153,212,82,122,158,345,3889.93
154,212,79,120,156,339,3890.32
155,211,75,116,151,334,3890.64
156,210,71,116,149,327,3891.1
157,209,69,112,147,324,3891.29
158,208,67,110,145,322,3891.42
159,208,64,107,144,311,3892.13
160,207,63,105,140,308,3892.32
161,206,61,105,138,300,3892.84
162,205,63,105,137,307,3892.38
163,206,65,106,139,311,3892.13
164,206,68,106,139,324,3891.29
165,206,69,110,140,326,3891.16
166,206,71,112,141,334,3890.64
167,208,73,111,141,338,3890.39
