x,a,b,c,d,index_value,true_index_value
2,132,207,239,159,430,3872.59
3,131,194,239,159,427,3872.93
4,105,192,239,159,427,3872.93
5,85,167,241,159,414,3874.41
6,84,159,236,159,414,3874.41
7,51,139,220,159,387,3877.48
8,33,133,211,161,386,3877.6
9,64,138,199,161,392,3876.91
10,105,147,194,161,404,3875.55
11,124,156,211,162,407,3875.21
12,124,150,220,162,404,3875.55
13,131,144,207,162,394,3876.69
14,131,135,196,163,394,3876.69
15,130,132,189,163,388,3877.37
16,125,124,190,163,384,3877.82
17,125,121,185,162,379,3878.39
18,125,108,177,161,367,3879.76
19,123,99,166,161,360,3880.55
20,97,87,151,160,348,3881.92
21,84,92,158,160,353,3881.35
22,84,98,159,161,361,3880.44
23,83,106,158,161,366,3879.87
24,80,107,156,161,363,3880.21
25,80,106,166,159,362,3880.33
26,80,104,163,160,357,3880.9
27,81,101,154,160,356,3881.01
28,90,106,149,160,359,3880.67
29,90,108,151,160,363,3880.21
30,91,119,157,160,369,3879.53
31,91,117,157,160,368,3879.64
32,90,117,151,160,367,3879.76
33,100,121,147,161,372,3879.19
34,108,126,157,161,380,3878.28
35,112,136,165,162,393,3876.8
36,127,145,165,163,404,3875.55
37,133,147,165,165,413,3874.52
38,141,153,165,166,420,3873.73
39,153,156,175,168,425,3873.16
40,153,158,179,169,431,3872.47
41,158,164,177,170,436,3871.91
42,170,171,177,172,444,3871.0
43,177,174,187,173,448,3870.54
44,177,170,193,173,445,3870.88
45,176,166,186,173,443,3871.11
46,172,157,174,173,438,3871.68
47,173,152,169,173,439,3871.56
48,173,148,172,173,440,3871.45
49,172,144,168,173,439,3871.56
50,172,138,161,173,436,3871.91
51,173,136,158,174,438,3871.68
52,176,137,162,175,439,3871.56
53,181,140,161,175,443,3871.11
54,182,141,159,176,444,3871.0
55,186,141,158,177,446,3870.77
56,186,140,156,178,445,3870.88
57,187,138,161,178,443,3871.11
58,187,133,159,178,437,3871.79
59,186,129,153,178,435,3872.02
60,186,128,148,178,433,3872.25
61,186,128,153,178,432,3872.36
62,185,125,156,177,427,3872.93
63,182,118,150,177,420,3873.73
64,181,114,144,177,416,3874.18
65,181,110,139,177,418,3873.95
66,182,111,142,178,421,3873.61
67,192,119,143,180,432,3872.36
68,196,122,143,182,437,3871.79
69,210,138,148,184,452,3870.09
70,219,143,158,187,458,3869.4
71,229,157,166,190,466,3868.49
72,232,162,171,191,471,3867.92
73,236,167,175,192,473,3867.7
74,237,166,176,193,476,3867.35
75,243,164,181,194,476,3867.35
76,243,156,180,195,471,3867.92
77,242,151,174,193,466,3868.49
78,240,136,166,192,451,3870.2
79,239,127,160,191,441,3871.34
80,230,116,150,191,431,3872.47
81,223,109,143,191,426,3873.04
82,221,105,138,191,425,3873.16
83,219,104,136,191,425,3873.16
84,221,102,137,191,428,3872.82
85,221,98,135,191,425,3873.16
86,220,95,129,191,423,3873.39
87,217,91,125,191,417,3874.07
88,217,91,126,191,418,3873.95
89,218,94,127,191,423,3873.39
90,218,95,123,191,425,3873.16
91,218,92,122,190,422,3873.5
92,217,90,119,189,421,3873.61
93,214,84,119,189,411,3874.75
94,209,80,116,189,409,3874.98
95,207,76,110,189,404,3875.55
96,207,74,106,189,405,3875.43
97,206,76,107,188,406,3875.32
98,206,78,108,188,407,3875.21
99,205,78,108,187,407,3875.21
100,202,76,107,187,402,3875.77
101,200,75,105,187,402,3875.77
102,198,76,107,184,401,3875.89
103,197,72,108,182,399,3876.12
104,194,70,105,181,396,3876.46
105,180,60,99,180,384,3877.82
106,177,55,99,179,381,3878.16
107,172,48,97,178,372,3879.19
108,170,45,92,177,369,3879.53
109,165,41,89,177,366,3879.87
110,164,39,89,176,359,3880.67
111,161,35,89,175,355,3881.12
112,158,34,88,175,351,3881.58
113,161,42,85,176,360,3880.55
114,163,45,84,177,363,3880.21
115,163,53,93,176,370,3879.42
116,162,50,97,176,364,3880.1
117,159,48,92,176,360,3880.55
118,156,45,89,176,355,3881.12
119,157,46,87,176,357,3880.9
120,157,47,89,177,357,3880.9
121,157,47,89,176,356,3881.01
122,156,48,86,176,355,3881.12
123,156,47,86,175,355,3881.12
124,155,46,84,175,353,3881.35
125,153,43,85,175,349,3881.81
126,151,42,83,175,344,3882.37
127,151,41,81,174,342,3882.6
128,150,39,81,174,336,3883.29
129,148,40,84,174,335,3883.4
130,148,43,83,174,331,3883.85
131,149,48,86,174,334,3883.51
132,149,49,88,173,330,3883.97
133,147,48,88,172,328,3884.2
134,143,48,88,171,319,3885.22
135,141,47,89,171,316,3885.56
136,139,46,86,169,308,3886.47
137,137,40,85,168,299,3887.5
138,135,38,82,165,291,3888.41
139,129,26,81,163,272,3890.57
140,127,25,76,163,270,3890.8
141,117,22,71,163,267,3891.14
142,112,29,71,163,273,3890.45
143,117,38,76,163,279,3889.77
144,117,44,85,162,283,3889.32
145,116,45,87,162,280,3889.66
146,114,42,83,162,276,3890.11
147,111,39,83,162,270,3890.8
148,109,37,79,162,268,3891.02
149,109,42,77,161,273,3890.45
150,109,46,77,161,277,3890.0
151,109,47,80,161,274,3890.34
152,108,43,82,161,269,3890.91
153,105,39,79,161,261,3891.82
154,102,36,74,160,259,3892.05
155,101,33,73,159,254,3892.62
156,99,30,73,157,252,3892.84
157,93,27,71,156,242,3893.98
158,92,26,69,156,239,3894.32
159,90,23,68,155,231,3895.23
160,88,22,66,152,227,3895.69
161,81,17,65,151,222,3896.26
162,78,17,65,150,219,3896.6
163,77,17,62,150,219,3896.6
164,76,17,62,150,219,3896.6
165,77,25,63,150,227,3895.69
166,78,29,63,150,233,3895.01
167,79,41,70,150,245,3893.64
168,79,43,75,150,248,3893.3
169,78,43,76,149,244,3893.75
170,77,41,76,149,239,3894.32
171,76,41,73,148,236,3894.66
172,75,43,72,149,238,3894.44
173,75,50,72,150,243,3893.87
174,78,54,72,151,249,3893.19
175,82,64,77,151,259,3892.05
176,83,68,82,152,264,3891.48
177,85,74,85,153,273,3890.45
178,86,77,85,154,274,3890.34
179,89,81,87,154,281,3889.54
180,89,85,89,154,283,3889.32
181,90,87,91,154,288,3888.75
182,90,84,91,154,280,3889.66
183,89,83,91,154,277,3890.0
184,88,78,87,153,269,3890.91
