x,a,b,c,d,index_value,distance_from_signal
604,24,34,26,74,85,-30
605,23,28,23,72,69,-29
606,21,23,19,69,59,-28
607,20,22,17,67,61,-27
608,20,25,17,66,67,-26
609,19,30,18,65,74,-25
610,19,34,19,64,79,-24
611,19,35,20,64,75,-23
612,19,30,19,64,58,-22
613,18,24,17,62,49,-21
614,17,16,14,60,30,-20
615,16,11,12,58,22,-19
616,14,5,9,56,12,-18
617,12,4,7,52,11,-17
618,11,6,7,47,11,-16
619,10,13,10,47,22,-15
620,11,19,12,47,28,-14
621,12,26,14,48,32,-13
622,12,33,16,49,37,-12
623,14,40,19,51,39,-11
624,14,43,24,51,38,-10
625,14,42,26,51,30,-9
626,14,42,24,51,26,-8
627,13,39,23,49,25,-7
628,12,42,23,47,30,-6
629,12,45,23,47,37,-5
630,12,46,24,46,35,-4
631,12,43,24,46,29,-3
632,11,37,23,45,16,-2
633,10,33,21,43,10,-1
634,8,29,17,40,9,0
635,7,34,17,37,15,1
636,8,37,19,37,19,2
637,8,43,22,37,29,3
638,9,49,23,38,35,4
639,10,54,23,40,45,5
640,12,65,28,43,58,6
641,14,73,30,45,72,7
642,14,81,35,47,87,8
643,15,88,42,48,97,9
644,15,89,44,48,98,10
645,15,87,45,48,92,11
646,15,85,42,47,84,12
647,15,83,40,47,81,13
648,15,83,38,46,84,14
649,15,83,37,46,83,15
650,15,83,36,46,81,16
651,15,84,35,46,81,17
652,15,85,35,46,84,18
653,15,88,34,46,94,19
654,15,91,34,47,97,20
655,16,95,35,47,106,21
656,16,97,36,48,107,22
657,16,98,38,48,111,23
658,16,97,37,48,109,24
659,16,95,36,48,107,25
660,16,92,34,47,103,26
661,16,93,31,46,109,27
662,16,93,31,46,110,28
663,16,94,32,46,110,29
