x,a,b,c,d,index_value,distance_from_signal
260,46,106,50,36,122,-30
261,46,106,51,36,121,-29
262,47,106,51,36,121,-28
263,48,106,51,36,120,-27
264,48,106,51,36,113,-26
265,48,104,51,36,109,-25
266,47,103,49,35,102,-24
267,46,102,49,35,100,-23
268,46,102,48,34,99,-22
269,47,102,49,35,100,-21
270,47,102,48,35,99,-20
271,47,101,48,35,93,-19
272,47,100,47,35,85,-18
273,47,96,44,33,72,-17
274,45,93,43,30,67,-16
275,43,91,40,27,60,-15
276,42,92,37,27,67,-14
277,43,93,38,27,71,-13
278,43,94,40,27,77,-12
279,43,93,40,27,69,-11
280,43,92,39,27,68,-10
281,43,91,36,26,60,-9
282,42,89,36,25,55,-8
283,41,88,36,24,50,-7
284,39,86,32,21,44,-6
285,38,85,31,18,41,-5
286,36,84,31,16,42,-4
287,35,84,31,16,42,-3
288,35,84,31,15,39,-2
289,35,83,30,14,34,-1
290,33,81,30,12,32,0
291,31,82,30,5,39,1
292,29,83,32,5,43,2
293,29,85,35,5,47,3
294,29,84,35,5,47,4
295,29,84,33,5,44,5
296,30,85,33,6,50,6
297,30,85,34,6,49,7
298,31,86,35,7,48,8
299,32,88,35,7,50,9
300,32,88,36,7,52,10
301,32,89,37,7,53,11
302,33,89,37,7,52,12
303,33,90,37,7,52,13
304,33,90,37,9,56,14
305,35,91,37,9,57,15
306,35,92,40,9,52,16
307,35,91,41,8,50,17
308,35,91,40,9,49,18
309,35,92,40,9,51,19
310,36,93,42,9,54,20
311,36,94,42,11,60,21
312,38,97,43,12,67,22
313,39,101,45,14,77,23
314,40,103,49,16,87,24
315,42,106,55,16,91,25
316,43,107,58,17,94,26
317,44,108,60,19,103,27
318,46,112,60,21,105,28
319,48,115,64,24,119,29
