x,a,b,c,d,index_value,distance_from_signal
341,58,121,74,31,126,-30
342,58,121,75,31,125,-29
343,58,120,74,31,120,-28
344,58,121,74,31,129,-27
345,58,122,74,31,129,-26
346,59,122,76,31,127,-25
347,59,121,77,31,122,-24
348,59,121,78,31,118,-23
349,59,120,75,30,118,-22
350,59,121,75,31,125,-21
351,60,121,76,32,121,-20
352,60,121,77,32,121,-19
353,60,121,77,32,113,-18
354,60,121,75,31,108,-17
355,60,120,75,31,103,-16
356,60,119,73,30,108,-15
357,60,118,72,30,112,-14
358,60,118,72,30,112,-13
359,60,118,71,30,108,-12
360,60,118,70,30,105,-11
361,60,118,70,30,96,-10
362,60,117,70,30,99,-9
363,60,116,68,29,100,-8
364,60,115,68,29,95,-7
365,60,114,67,29,89,-6
366,60,113,64,28,80,-5
367,59,112,63,28,87,-4
368,59,112,63,28,88,-3
369,59,112,64,28,92,-2
370,60,112,63,27,84,-1
371,60,111,62,27,83,0
372,60,111,60,26,85,1
373,59,112,60,27,89,2
374,60,113,61,27,96,3
375,60,114,62,27,101,4
376,60,116,62,28,103,5
377,61,116,65,28,104,6
378,61,117,65,28,109,7
379,61,118,66,29,113,8
380,62,119,66,29,115,9
381,62,119,67,29,115,10
382,62,120,68,30,118,11
383,62,121,69,30,125,12
384,64,123,70,31,123,13
385,64,124,73,32,126,14
386,65,126,74,33,127,15
387,65,126,77,33,131,16
388,66,127,77,34,131,17
389,66,128,78,35,131,18
390,67,129,80,36,139,19
391,68,130,81,36,140,20
392,68,131,84,37,145,21
393,68,132,84,37,144,22
394,69,133,85,39,144,23
395,70,135,86,39,144,24
396,70,135,88,39,143,25
397,70,135,89,39,135,26
398,70,133,89,39,133,27
399,70,132,87,38,129,28
400,70,131,86,38,130,29
