x,a,b,c,d,index_value,distance_from_signal
361,61,87,47,33,121,-30
362,62,88,47,35,124,-29
363,62,89,48,35,126,-28
364,63,89,49,36,123,-27
365,64,89,49,36,121,-26
366,64,88,48,36,111,-25
367,64,87,48,36,108,-24
368,64,86,46,35,103,-23
369,63,85,45,34,100,-22
370,63,85,44,34,96,-21
371,62,84,44,33,92,-20
372,62,84,43,33,92,-19
373,62,85,43,34,93,-18
374,63,85,43,34,98,-17
375,63,85,43,34,96,-16
376,63,86,43,35,99,-15
377,64,86,43,36,100,-14
378,65,87,43,37,103,-13
379,66,87,43,38,101,-12
380,66,87,43,38,100,-11
381,66,87,43,38,96,-10
382,66,86,42,37,91,-9
383,65,85,41,36,87,-8
384,65,84,40,35,81,-7
385,64,83,39,34,79,-6
386,64,83,39,34,71,-5
387,64,82,38,33,69,-4
388,63,81,37,30,59,-3
389,62,80,36,30,53,-2
390,61,79,36,27,49,-1
391,60,79,34,26,46,0
392,59,79,34,26,48,1
393,59,79,35,26,51,2
394,59,80,35,25,51,3
395,59,80,35,26,51,4
396,60,80,34,26,53,5
397,60,81,34,26,56,6
398,60,82,34,26,61,7
399,60,82,34,26,62,8
400,60,82,35,26,63,9
401,60,83,35,26,62,10
402,60,83,35,26,64,11
403,61,84,35,27,68,12
404,62,86,35,29,74,13
405,63,87,37,29,79,14
406,63,88,38,30,82,15
407,64,89,39,31,83,16
408,65,89,39,33,87,17
409,66,90,39,33,90,18
410,66,91,40,33,92,19
411,66,91,41,33,90,20
412,66,92,41,33,91,21
413,66,93,41,33,91,22
414,66,92,41,33,87,23
415,66,91,40,32,85,24
416,65,90,38,29,80,25
417,65,90,38,30,80,26
418,65,91,38,30,91,27
419,66,92,38,31,92,28
420,66,93,39,32,102,29
