x,a,b,c,d,index_value,distance_from_signal
970,58,131,77,18,39,-30
971,58,132,75,17,39,-29
972,58,130,75,17,35,-28
973,58,128,74,17,33,-27
974,58,126,71,17,30,-26
975,58,125,70,17,30,-25
976,58,125,69,16,29,-24
977,57,124,68,16,29,-23
978,57,124,68,16,28,-22
979,57,123,68,15,27,-21
980,57,123,67,15,26,-20
981,57,121,66,15,25,-19
982,57,120,65,15,23,-18
983,57,118,63,15,22,-17
984,57,118,63,14,22,-16
985,57,118,64,14,22,-15
986,56,118,65,13,22,-14
987,56,115,66,13,22,-13
988,56,114,64,13,20,-12
989,56,111,61,12,18,-11
990,56,111,61,12,19,-10
991,56,111,63,11,19,-9
992,56,111,63,11,17,-8
993,56,109,61,11,16,-7
994,56,108,60,10,14,-6
995,55,107,60,10,12,-5
996,55,107,60,9,11,-4
997,55,107,61,9,8,-3
998,55,105,60,9,7,-2
999,55,102,58,8,4,-1
1000,54,102,57,8,2,0
1001,54,103,57,7,2,1
1002,54,106,62,6,2,2
1003,54,107,65,6,2,3
1004,54,107,66,6,2,4
1005,54,107,66,5,2,5
1006,54,111,67,5,4,6
1007,54,112,69,5,6,7
1008,54,114,72,5,7,8
1009,54,115,73,5,7,9
1010,54,117,74,4,6,10
1011,54,119,75,4,6,11
1012,55,121,75,4,7,12
1013,55,123,76,4,8,13
1014,55,124,79,4,8,14
1015,55,127,81,4,10,15
1016,56,130,81,4,14,16
1017,56,134,83,5,17,17
1018,56,138,87,5,20,18
1019,57,144,91,5,22,19
1020,58,149,93,6,25,20
1021,58,155,98,7,28,21
1022,59,160,104,7,32,22
1023,59,164,109,7,34,23
1024,60,169,112,8,37,24
1025,60,172,115,8,39,25
1026,60,176,118,8,40,26
1027,61,178,122,9,43,27
1028,61,180,124,9,44,28
1029,61,180,126,9,43,29
