x,a,b,c,d,index_value,distance_from_signal
110,146,95,82,209,376,-30
111,146,101,88,209,384,-29
112,146,103,90,209,389,-28
113,145,99,89,209,378,-27
114,143,99,85,209,377,-26
115,143,96,84,209,372,-25
116,143,98,84,209,378,-24
117,144,102,83,210,388,-23
118,145,103,83,210,392,-22
119,145,103,85,210,384,-21
120,144,103,84,210,384,-20
121,143,102,83,210,378,-19
122,143,104,81,210,384,-18
123,145,108,82,211,391,-17
124,147,111,82,213,397,-16
125,147,114,85,214,402,-15
126,147,118,87,214,408,-14
127,148,119,87,215,410,-13
128,150,124,88,215,420,-12
129,153,126,91,217,422,-11
130,153,131,96,218,432,-10
131,155,132,96,219,436,-9
132,156,134,96,220,441,-8
133,157,136,96,221,445,-7
134,158,138,98,222,448,-6
135,159,138,98,222,450,-5
136,160,138,99,223,448,-4
137,160,142,99,223,450,-3
138,166,145,100,225,454,-2
139,167,150,107,229,459,-1
140,168,151,110,230,463,0
141,168,149,109,230,459,1
142,168,147,107,231,457,2
143,168,143,105,231,450,3
144,168,142,102,231,449,4
145,169,141,100,232,449,5
146,170,142,100,233,448,6
147,171,142,103,234,448,7
148,171,141,102,234,450,8
149,171,142,101,234,451,9
150,172,143,101,235,451,10
151,172,142,101,235,447,11
152,172,139,101,235,444,12
153,171,137,100,235,440,13
154,170,135,97,235,437,14
155,170,138,97,235,438,15
156,171,138,98,236,440,16
157,171,139,99,236,442,17
158,171,138,98,236,442,18
159,172,138,97,236,440,19
160,172,138,97,237,440,20
161,172,138,97,237,439,21
162,171,137,96,237,439,22
163,172,137,95,238,442,23
164,172,137,95,237,444,24
165,172,136,96,237,441,25
166,171,135,95,236,441,26
167,169,133,94,233,435,27
168,169,128,94,232,426,28
169,167,124,89,231,420,29
