x,a,b,c,d,index_value,distance_from_signal
481,58,217,115,171,340,-30
482,58,216,114,171,338,-29
483,58,216,113,171,337,-28
484,59,218,113,172,347,-27
485,59,219,115,172,348,-26
486,59,219,116,173,351,-25
487,60,222,115,175,355,-24
488,61,223,115,175,356,-23
489,61,225,120,176,364,-22
490,61,226,122,176,366,-21
491,61,227,122,177,367,-20
492,62,228,123,177,369,-19
493,62,223,124,177,349,-18
494,61,222,121,177,345,-17
495,60,215,115,175,319,-16
496,60,214,112,174,316,-15
497,60,215,112,174,321,-14
498,60,216,112,174,322,-13
499,60,216,113,174,329,-12
500,60,215,112,174,328,-11
501,60,212,110,174,318,-10
502,60,211,109,174,318,-9
503,60,208,106,173,314,-8
504,59,208,104,173,317,-7
505,60,211,104,173,325,-6
506,60,213,107,173,330,-5
507,60,215,110,174,340,-4
508,61,221,110,176,355,-3
509,64,226,113,180,362,-2
510,64,232,123,181,376,-1
511,64,235,132,182,377,0
512,64,233,136,182,366,1
513,64,231,135,182,356,2
514,64,228,130,181,344,3
515,64,228,129,180,339,4
516,64,227,129,180,338,5
517,64,225,126,180,333,6
518,64,224,124,180,332,7
519,63,224,122,180,331,8
520,63,222,122,180,330,9
521,63,222,119,180,330,10
522,63,223,119,180,332,11
523,63,223,119,180,336,12
524,63,220,118,180,328,13
525,63,219,117,180,324,14
526,63,217,115,179,322,15
527,63,217,115,179,323,16
528,63,215,114,179,319,17
529,63,213,112,178,314,18
530,62,212,109,178,306,19
531,62,211,108,178,308,20
532,62,210,107,177,307,21
533,62,208,107,177,306,22
534,61,207,104,176,300,23
535,61,206,102,176,301,24
536,61,206,100,176,301,25
537,61,206,100,176,300,26
538,61,206,100,175,300,27
539,61,207,101,175,300,28
540,61,210,101,175,303,29
