x,a,b,c,d,index_value,distance_from_signal
2,235,96,182,157,426,-13
3,235,89,182,157,420,-12
4,234,81,182,157,401,-11
5,140,72,182,151,397,-10
6,78,70,172,152,415,-9
7,86,70,172,152,421,-8
8,93,72,173,153,454,-7
9,114,68,168,153,456,-6
10,114,61,162,153,446,-5
11,113,55,158,149,442,-4
12,88,49,151,152,435,-3
13,128,53,146,155,454,-2
14,162,54,144,159,461,-1
15,184,58,148,161,476,0
16,187,53,151,162,470,1
17,189,49,144,163,464,2
18,189,43,134,163,449,3
19,201,41,126,165,444,4
20,201,40,122,167,440,5
21,204,41,123,168,442,6
22,220,42,120,171,444,7
23,225,45,122,173,453,8
24,226,44,122,174,453,9
25,229,43,122,175,453,10
26,237,42,116,177,456,11
27,243,43,111,178,456,12
28,243,41,109,179,451,13
29,242,40,108,179,447,14
30,240,39,107,179,435,15
31,240,37,104,179,429,16
32,239,33,99,178,420,17
33,235,30,93,178,404,18
34,233,26,92,177,392,19
35,229,23,89,177,373,20
36,227,21,84,177,365,21
37,223,24,79,178,371,22
38,226,26,78,179,372,23
39,233,33,84,181,385,24
40,234,35,87,184,386,25
41,241,38,87,185,399,26
42,241,39,87,185,399,27
43,240,41,92,185,408,28
44,240,39,94,186,408,29
