x,a,b,c,d,index_value,distance_from_signal
519,216,176,171,208,337,-30
520,216,175,170,207,334,-29
521,216,174,168,207,333,-28
522,215,173,167,206,334,-27
523,215,172,166,206,334,-26
524,214,170,164,205,328,-25
525,214,169,163,204,322,-24
526,213,168,160,203,318,-23
527,212,168,160,202,320,-22
528,211,170,162,202,328,-21
529,210,171,164,202,330,-20
530,210,171,165,202,332,-19
531,210,172,165,202,333,-18
532,210,173,165,202,336,-17
533,210,174,165,202,336,-16
534,209,175,165,202,339,-15
535,209,175,165,202,339,-14
536,209,175,166,202,339,-13
537,209,174,165,202,340,-12
538,209,174,164,201,340,-11
539,209,174,164,201,337,-10
540,209,174,164,201,336,-9
541,208,175,164,200,328,-8
542,208,175,164,200,325,-7
543,208,175,165,200,319,-6
544,207,163,160,199,313,-5
545,206,161,156,197,305,-4
546,205,148,125,195,299,-3
547,203,147,123,194,291,-2
548,202,144,122,193,286,-1
549,201,144,122,192,283,0
550,200,143,122,192,287,1
551,199,143,123,191,288,2
552,199,143,122,191,287,3
553,198,142,122,191,287,4
554,198,143,122,191,290,5
555,198,145,123,191,301,6
556,199,149,123,191,311,7
557,200,153,127,192,324,8
558,200,156,133,193,335,9
559,200,157,137,194,337,10
560,200,157,138,194,337,11
561,200,156,137,194,337,12
562,200,156,135,194,339,13
563,201,157,134,194,344,14
564,201,158,134,195,345,15
565,201,158,136,196,344,16
566,201,157,135,196,340,17
567,201,156,134,196,343,18
568,201,155,131,196,344,19
569,201,155,131,196,343,20
570,201,154,129,196,344,21
571,202,154,128,196,346,22
572,202,154,128,197,346,23
573,202,154,128,197,345,24
574,202,154,127,197,344,25
575,202,153,125,197,344,26
576,202,153,124,197,344,27
577,202,154,123,197,349,28
578,203,156,123,197,352,29
