x,a,b,c,d,index_value,distance_from_signal
804,170,161,125,197,356,-30
805,170,161,125,197,353,-29
806,170,161,124,198,353,-28
807,170,160,124,197,348,-27
808,170,160,123,196,348,-26
809,169,160,123,196,343,-25
810,169,159,122,196,342,-24
811,169,159,121,196,340,-23
812,169,158,121,196,340,-22
813,169,158,121,196,347,-21
814,169,159,121,196,349,-20
815,169,159,121,196,357,-19
816,169,159,122,197,356,-18
817,169,159,122,197,353,-17
818,169,158,121,197,347,-16
819,169,158,120,197,348,-15
820,169,158,120,197,351,-14
821,170,159,120,197,353,-13
822,170,159,121,197,353,-12
823,170,159,121,197,353,-11
824,170,160,122,197,355,-10
825,170,161,122,198,357,-9
826,170,162,123,198,365,-8
827,172,164,124,199,368,-7
828,173,166,126,201,377,-6
829,173,168,130,203,380,-5
830,173,169,133,205,385,-4
831,174,170,134,206,389,-3
832,174,171,135,206,395,-2
833,176,173,137,207,400,-1
834,177,174,139,209,406,0
835,177,174,142,213,400,1
836,177,173,142,215,394,2
837,177,171,141,214,371,3
838,177,169,139,212,365,4
839,176,166,136,210,347,5
840,175,165,134,209,346,6
841,174,164,132,209,336,7
842,174,164,131,209,336,8
843,174,164,131,209,342,9
844,174,164,131,208,347,10
845,174,164,131,207,344,11
846,174,163,130,207,340,12
847,174,162,129,208,341,13
848,174,162,128,208,343,14
849,174,162,128,207,346,15
850,173,162,128,207,346,16
851,173,162,127,207,346,17
852,173,162,127,207,332,18
853,173,161,127,205,331,19
854,173,160,125,204,319,20
855,172,159,124,204,316,21
856,172,158,123,203,313,22
857,172,158,122,203,310,23
858,172,156,121,203,300,24
859,172,155,119,201,298,25
860,171,154,119,200,285,26
861,170,152,119,197,274,27
862,169,151,116,194,269,28
863,167,149,115,193,260,29
