x,a,b,c,d,index_value,distance_from_signal
224,89,163,120,95,307,-30
225,88,162,119,94,303,-29
226,88,161,118,95,303,-28
227,89,161,116,95,306,-27
228,90,163,116,99,307,-26
229,98,166,119,101,310,-25
230,99,168,122,101,312,-24
231,99,170,127,102,314,-23
232,101,172,129,103,317,-22
233,102,173,131,105,319,-21
234,105,175,134,105,323,-20
235,107,177,134,106,325,-19
236,107,179,137,106,327,-18
237,107,179,140,106,327,-17
238,107,178,140,106,327,-16
239,108,177,139,107,328,-15
240,109,176,139,107,328,-14
241,111,176,138,108,329,-13
242,111,177,138,108,330,-12
243,111,176,139,108,331,-11
244,112,177,138,110,332,-10
245,114,178,138,111,333,-9
246,117,180,139,113,336,-8
247,119,183,142,115,339,-7
248,122,185,145,117,342,-6
249,125,189,150,119,346,-5
250,129,191,154,123,350,-4
251,141,198,158,125,356,-3
252,147,206,164,128,365,-2
253,164,215,175,131,374,-1
254,165,222,196,142,379,0
255,165,221,211,143,373,1
256,165,218,210,142,368,2
257,164,214,202,142,362,3
258,165,211,200,141,361,4
259,165,196,197,139,352,5
260,164,194,190,138,351,6
261,159,180,177,137,343,7
262,158,180,176,137,344,8
263,157,178,172,136,344,9
264,156,176,171,136,343,10
265,156,174,167,135,341,11
266,155,172,165,135,340,12
267,155,171,163,134,339,13
268,154,169,160,133,336,14
269,153,167,159,132,334,15
270,152,164,155,132,327,16
271,150,163,153,131,325,17
272,149,161,150,130,322,18
273,148,160,150,129,320,19
274,148,158,150,129,313,20
275,146,157,148,128,308,21
276,143,155,145,128,302,22
277,141,155,145,128,304,23
278,141,156,145,128,307,24
279,142,158,146,129,313,25
280,142,159,148,129,314,26
281,142,159,148,129,314,27
282,142,159,146,129,314,28
283,142,161,146,129,317,29
