x,a,b,c,d,index_value,distance_from_signal
859,170,174,158,228,295,-30
860,170,173,157,227,287,-29
861,169,171,155,226,279,-28
862,169,171,153,225,282,-27
863,169,172,153,225,287,-26
864,169,172,156,225,282,-25
865,169,172,156,225,280,-24
866,169,171,155,225,277,-23
867,169,171,154,224,272,-22
868,168,171,153,224,267,-21
869,168,170,152,224,262,-20
870,168,170,151,224,267,-19
871,168,169,151,224,268,-18
872,168,168,152,223,260,-17
873,168,166,150,222,246,-16
874,168,162,149,220,231,-15
875,166,159,145,215,210,-14
876,165,155,141,211,195,-13
877,163,152,140,208,175,-12
878,162,149,138,205,159,-11
879,161,146,137,202,147,-10
880,159,144,135,199,133,-9
881,158,142,135,197,123,-8
882,158,142,135,195,111,-7
883,157,141,135,194,108,-6
884,157,140,134,193,94,-5
885,156,139,134,190,94,-4
886,155,138,133,189,81,-3
887,155,136,134,186,74,-2
888,154,132,132,180,54,-1
889,152,130,130,176,47,0
890,149,130,129,174,49,1
891,149,133,131,173,62,2
892,149,137,135,173,78,3
893,149,140,139,174,93,4
894,149,143,142,174,106,5
895,149,147,142,174,120,6
896,149,149,147,175,127,7
897,149,149,150,176,124,8
898,149,149,149,176,119,9
899,150,150,149,176,125,10
900,150,152,150,176,136,11
901,150,156,151,176,154,12
902,151,158,153,176,163,13
903,151,162,158,177,176,14
904,151,163,164,178,177,15
905,151,162,165,179,175,16
906,151,163,163,180,181,17
907,151,164,163,180,187,18
908,151,165,164,180,198,19
909,151,165,165,181,203,20
910,151,166,166,181,209,21
911,151,166,166,181,207,22
912,151,165,166,181,201,23
913,151,163,163,181,196,24
914,151,162,160,180,186,25
915,151,161,158,180,185,26
916,151,162,158,180,192,27
917,151,162,158,180,198,28
918,151,163,158,181,205,29
