x,a,b,c,d,index_value,distance_from_signal
916,142,160,48,172,340,-30
917,142,160,48,173,339,-29
918,142,159,47,174,338,-28
919,142,159,47,173,335,-27
920,142,158,46,173,336,-26
921,142,158,44,173,337,-25
922,142,158,44,173,337,-24
923,142,158,44,173,337,-23
924,143,158,44,174,336,-22
925,143,159,43,174,336,-21
926,143,159,43,175,337,-20
927,143,159,43,175,337,-19
928,143,159,43,175,337,-18
929,143,159,43,175,336,-17
930,143,159,42,176,336,-16
931,143,159,42,176,336,-15
932,143,159,42,176,336,-14
933,144,159,42,176,336,-13
934,144,159,42,177,337,-12
935,144,160,41,178,338,-11
936,144,161,41,178,340,-10
937,144,161,42,178,342,-9
938,145,162,42,179,346,-8
939,146,164,41,179,347,-7
940,146,166,43,181,350,-6
941,147,168,44,182,355,-5
942,149,171,47,184,357,-4
943,150,173,52,186,363,-3
944,151,175,53,191,365,-2
945,152,177,55,193,366,-1
946,153,178,56,195,369,0
947,153,178,57,197,367,1
948,155,178,56,199,366,2
949,155,178,56,200,362,3
950,155,177,56,202,361,4
951,155,177,56,204,358,5
952,155,175,54,204,351,6
953,155,174,49,203,343,7
954,154,173,47,201,339,8
955,154,173,47,201,338,9
956,153,173,47,201,339,10
957,153,173,43,201,338,11
958,153,172,42,201,337,12
959,153,171,41,201,336,13
960,153,170,40,201,337,14
961,154,170,39,201,338,15
962,154,170,39,201,341,16
963,154,170,39,202,346,17
964,154,171,40,202,348,18
965,154,171,40,202,348,19
966,153,171,46,201,346,20
967,154,171,48,201,344,21
968,154,171,48,201,342,22
969,154,171,48,202,340,23
970,154,172,48,202,346,24
971,155,173,53,202,351,25
972,155,175,57,204,356,26
973,156,176,58,205,359,27
974,156,177,61,207,356,28
975,156,177,62,208,356,29
