x,a,b,c,d,index_value,distance_from_signal
36,173,103,167,131,426,-30
37,185,104,164,132,426,-29
38,190,108,164,136,438,-28
39,196,111,168,138,445,-27
40,196,114,170,139,455,-26
41,202,116,168,141,464,-25
42,207,118,168,143,465,-24
43,219,122,171,145,473,-23
44,219,121,173,148,469,-22
45,220,120,171,148,468,-21
46,220,116,167,146,456,-20
47,220,109,164,144,444,-19
48,219,104,161,143,430,-18
49,206,94,155,140,410,-17
50,198,89,149,139,388,-16
51,193,87,145,140,380,-15
52,193,90,147,143,385,-14
53,194,94,149,144,393,-13
54,194,97,149,144,409,-12
55,198,98,147,146,410,-11
56,204,96,146,148,408,-10
57,204,95,145,149,402,-9
58,203,95,142,149,401,-8
59,205,99,141,150,408,-7
60,216,104,141,153,425,-6
61,216,107,146,156,431,-5
62,222,110,148,157,447,-4
63,225,113,146,160,448,-3
64,232,114,146,162,462,-2
65,239,117,149,166,465,-1
66,240,119,150,168,475,0
67,242,118,150,169,471,1
68,242,116,150,168,470,2
69,241,111,147,167,457,3
70,239,108,144,166,450,4
71,234,103,141,164,434,5
72,232,100,136,164,426,6
73,227,97,131,164,419,7
74,224,94,129,164,417,8
75,223,93,129,163,415,9
76,221,88,125,162,401,10
77,219,86,122,161,399,11
78,216,82,118,159,387,12
79,214,80,118,158,389,13
80,209,79,115,152,389,14
81,206,74,115,146,378,15
82,203,66,111,139,365,16
83,193,58,105,137,339,17
84,181,51,100,136,328,18
85,160,50,99,136,320,19
86,160,56,98,138,333,20
87,161,60,102,136,339,21
88,161,60,107,134,344,22
89,160,57,104,132,339,23
90,154,54,99,132,334,24
91,149,53,97,131,334,25
92,148,55,97,130,335,26
93,146,56,100,129,330,27
94,144,56,99,129,330,28
95,144,59,96,131,329,29
