x,a,b,c,d,index_value,distance_from_signal
85,138,173,164,232,412,-30
86,137,167,158,232,401,-29
87,136,163,152,232,401,-28
88,136,164,153,232,401,-27
89,136,162,154,231,402,-26
90,136,153,150,229,384,-25
91,135,151,144,229,383,-24
92,131,147,137,230,383,-23
93,131,148,142,230,398,-22
94,131,150,141,230,402,-21
95,132,151,141,231,406,-20
96,132,151,139,232,407,-19
97,132,152,140,232,411,-18
98,132,152,138,231,412,-17
99,131,150,138,231,409,-16
100,131,149,136,231,407,-15
101,130,149,134,232,406,-14
102,130,148,136,232,404,-13
103,130,146,135,231,399,-12
104,130,144,132,231,397,-11
105,129,144,130,231,396,-10
106,129,147,128,232,400,-9
107,130,154,132,233,410,-8
108,133,160,138,235,419,-7
109,133,165,144,236,430,-6
110,133,166,148,236,429,-5
111,133,165,150,236,429,-4
112,133,165,149,236,424,-3
113,133,165,149,237,425,-2
114,133,166,147,237,427,-1
115,133,166,148,237,428,0
116,133,166,149,238,428,1
117,134,166,147,238,425,2
118,134,162,146,237,421,3
119,134,160,144,236,417,4
120,132,152,141,235,408,5
121,130,148,138,234,401,6
122,129,141,132,233,391,7
123,127,137,128,233,386,8
124,125,136,124,233,387,9
125,125,137,128,232,387,10
126,125,131,129,228,375,11
127,124,121,123,226,354,12
128,121,114,118,224,342,13
129,114,105,113,223,326,14
130,112,102,110,222,322,15
131,110,99,108,220,310,16
132,108,93,105,219,303,17
133,107,92,102,218,297,18
134,105,86,101,216,285,19
135,103,84,100,215,282,20
136,101,81,97,215,271,21
137,100,88,97,215,285,22
138,100,92,100,216,294,23
139,100,102,108,215,311,24
140,100,101,110,215,308,25
141,99,99,107,215,301,26
142,98,99,103,214,299,27
143,98,97,104,212,293,28
144,97,95,101,212,290,29
