x,a,b,c,d,index_value,distance_from_signal
193,129,94,66,127,248,-30
194,128,92,66,125,244,-29
195,127,89,63,123,238,-28
196,125,86,60,120,227,-27
197,123,83,58,119,225,-26
198,120,80,55,118,213,-25
199,118,77,53,117,209,-24
200,118,77,51,116,205,-23
201,116,78,51,115,203,-22
202,115,79,51,114,204,-21
203,115,78,52,114,198,-20
204,113,74,51,113,190,-19
205,111,68,48,113,165,-18
206,109,63,44,100,153,-17
207,96,58,44,98,134,-16
208,94,54,42,95,121,-15
209,90,53,41,89,118,-14
210,86,42,39,84,92,-13
211,81,41,39,78,89,-12
212,76,29,34,61,52,-11
213,58,28,34,53,47,-10
214,51,20,34,51,39,-9
215,47,19,35,40,44,-8
216,40,16,34,37,48,-7
217,38,16,35,35,51,-6
218,37,13,34,33,39,-5
219,35,13,31,29,36,-4
220,32,11,28,25,22,-3
221,28,7,27,20,14,-2
222,24,2,24,15,10,-1
223,20,1,21,8,6,0
224,14,3,21,6,16,1
225,13,7,22,5,19,2
226,13,10,26,5,27,3
227,14,14,27,6,31,4
228,17,20,27,9,39,5
229,18,22,29,10,46,6
230,20,31,33,11,63,7
231,21,33,33,17,66,8
232,25,44,36,21,90,9
233,33,49,40,24,100,10
234,34,56,48,25,117,11
235,34,59,53,26,125,12
236,34,55,52,26,105,13
237,34,53,51,26,101,14
238,33,48,45,20,86,15
239,30,49,43,19,86,16
240,30,49,43,19,90,17
241,31,50,41,20,95,18
242,32,53,40,22,102,19
243,33,57,42,22,114,20
244,33,60,44,23,123,21
245,34,61,45,23,132,22
246,35,62,45,24,134,23
247,36,64,45,24,139,24
248,36,66,45,24,141,25
249,36,67,45,26,149,26
250,38,69,45,26,153,27
251,38,69,46,26,158,28
252,38,66,46,25,152,29
