x,a,b,c,d,index_value,distance_from_signal
194,128,92,66,125,244,-30
195,127,89,63,123,238,-29
196,125,86,60,120,227,-28
197,123,83,58,119,225,-27
198,120,80,55,118,213,-26
199,118,77,53,117,209,-25
200,118,77,51,116,205,-24
201,116,78,51,115,203,-23
202,115,79,51,114,204,-22
203,115,78,52,114,198,-21
204,113,74,51,113,190,-20
205,111,68,48,113,165,-19
206,109,63,44,100,153,-18
207,96,58,44,98,134,-17
208,94,54,42,95,121,-16
209,90,53,41,89,118,-15
210,86,42,39,84,92,-14
211,81,41,39,78,89,-13
212,76,29,34,61,52,-12
213,58,28,34,53,47,-11
214,51,20,34,51,39,-10
215,47,19,35,40,44,-9
216,40,16,34,37,48,-8
217,38,16,35,35,51,-7
218,37,13,34,33,39,-6
219,35,13,31,29,36,-5
220,32,11,28,25,22,-4
221,28,7,27,20,14,-3
222,24,2,24,15,10,-2
223,20,1,21,8,6,-1
224,14,3,21,6,16,0
225,13,7,22,5,19,1
226,13,10,26,5,27,2
227,14,14,27,6,31,3
228,17,20,27,9,39,4
229,18,22,29,10,46,5
230,20,31,33,11,63,6
231,21,33,33,17,66,7
232,25,44,36,21,90,8
233,33,49,40,24,100,9
234,34,56,48,25,117,10
235,34,59,53,26,125,11
236,34,55,52,26,105,12
237,34,53,51,26,101,13
238,33,48,45,20,86,14
239,30,49,43,19,86,15
240,30,49,43,19,90,16
241,31,50,41,20,95,17
242,32,53,40,22,102,18
243,33,57,42,22,114,19
244,33,60,44,23,123,20
245,34,61,45,23,132,21
246,35,62,45,24,134,22
247,36,64,45,24,139,23
248,36,66,45,24,141,24
249,36,67,45,26,149,25
250,38,69,45,26,153,26
251,38,69,46,26,158,27
252,38,66,46,25,152,28
253,37,65,42,25,150,29
