mean_index_value,std_index_value,min_index_value,max_index_value,mean_a,std_a,mean_b,std_b,mean_c,std_c,mean_d,std_d,trend_slope,signal_label,signal_index
422.5,31.459886995917806,364,473,168.44,58.43089761349185,104.94,11.514693363928808,165.54,15.797455232939722,133.84,17.626927452865157,0.7329171668667444,3,64
171.22,82.88972019669094,10,256,102.5,34.92572293380596,67.42,31.010919735750225,54.46,15.788409595365215,100.3,36.881083033369364,-4.83174069627851,4,221
167.46,86.03943329446477,6,256,100.42,36.67234402552597,65.86,32.3495008320319,53.52,16.354790847744564,98.0,38.96361463347725,-5.164705882352942,1,222
337.1,10.908244401294253,321,366,142.12,3.628908870698843,158.44,6.398851937843923,43.44,3.6542399192930812,172.38,7.6768669204491,0.6298679471788718,2,944
402.74,28.41012323170768,363,459,152.7,8.617140015156787,107.88,18.246207321869747,90.92,7.556157105571697,213.76,5.324414310992528,0.9296998799519749,3,138
58.04,30.784941985672553,10,114,21.82,9.722034724463468,26.94,11.918789830364835,16.96,5.1979587830420595,68.86,19.728783489084766,-1.8306842737094826,4,632
432.9230769230769,21.32080962526806,397,461,140.0,58.642987645583,68.46153846153847,14.233852749785072,167.23076923076923,13.899363571484402,153.84615384615384,2.9110752265029105,4.1098901098901175,3,13
102.86,55.54884227012315,5,181,62.6,30.859788246393478,22.78,11.502067249864615,22.46,9.444164595026876,77.18,32.8681285982488,-3.564033613445377,4,209
93.62,19.75656956094166,49,126,60.34,4.419853169599225,82.82,4.684712436451669,42.88,3.3784430661209037,31.78,4.2488413786848405,-0.15764705882352992,1,389
362.76,13.983313671104208,340,400,170.24,1.5059067374976502,162.32,3.576795966749445,125.1,4.06201920231798,197.96,2.6875373751553937,-0.02823529411764851,2,832
96.82,32.32026596172647,34,139,42.62,3.59074774771984,99.72,8.228968244400201,45.96,8.007547460148496,30.36,6.073562650150743,-2.108859543817526,4,288
117.6,16.365718276136782,80,144,57.22,3.2089797475846087,119.66,3.432200460346102,74.16,5.092451396379723,29.24,2.04600157599636,-0.9785354141656667,1,369
425.04,22.056476673877587,376,475,162.98,3.502127633194382,198.26,4.9561752863864434,184.02,7.327582779317822,200.14,8.22145029164315,1.3856422569027638,2,727
408.04,25.094076055141468,347,438,170.64,2.455813593936491,190.4,4.407785320154717,175.38,5.745947995531018,225.14,6.966420918101583,1.5981752701080432,3,821
250.74,86.08676449029876,54,340,166.96,5.517911465289699,165.62,14.653675446168196,151.58,10.474634083521652,219.3,14.98196194339945,-5.428619447779109,4,887
251.16,11.346778739144517,224,266,98.06,13.848170880469878,114.38,15.804791316921227,78.18,8.368283173107022,107.56,8.635853124253183,-0.13464585834333576,1,165
316.36,20.58210040649052,290,374,98.36,20.420837696943234,168.78,15.009235252241961,126.08,17.16645994195587,101.32,11.491682884164707,1.3310924369747912,2,252
436.86,21.45903548814887,407,476,220.74,11.536649674592956,215.94,10.186846260481891,210.46,14.994162129281637,203.32,12.859428368290082,1.3093397358943557,3,466
334.72,16.459027669845344,286,373,215.02,7.20399549003247,174.44,9.344123985758348,167.2,13.356951870292344,205.86,6.167756844250261,-0.8703961584633839,4,547
431.52,12.467492424178118,412,455,217.88,3.021285035428819,182.74,10.197658794937157,135.78,12.362368837132555,226.58,5.087359284520401,0.7450660264105615,3,765
82.28,39.82156117851079,4,144,127.52,13.959474874633006,61.74,31.546408961518058,83.38,5.050318236083177,91.16,27.332689556048944,-2.657575030012005,4,1046
394.68,25.84604339514413,342,430,134.0,2.98977850520805,153.68,14.02830956985749,142.9,10.208539842420448,230.36,3.4685761355581115,1.4119567827130846,3,114
153.76,62.826473037133916,81,301,61.96,18.370295454946856,49.3,28.134697874507125,74.34,12.66299445516062,180.44,15.972118564190898,-2.999855942376951,4,190
147.94,30.240809027078704,104,201,35.1,2.984654630825168,128.14,14.097343793807976,66.46,9.96977063580764,142.66,5.475772240757742,-0.6321728691476569,1,292
337.94,17.873032930156228,303,376,59.24,1.7090395918557924,218.64,5.38615003921149,116.06,5.828886546103547,172.82,2.847770341577309,0.10866746698679614,2,510
227.04,19.175835133344897,195,256,37.62,1.6889798877501447,177.8,8.8409991124376,59.38,6.5118103066188695,114.92,3.306394546626157,1.2502280912364951,3,747
79.22,34.437929966944345,5,119,18.34,4.479477010289737,125.22,16.658992791172174,24.62,5.569193690952662,49.64,14.153329456134257,-2.0626650660264096,4,925
439.2,16.843820401390115,403,460,118.26,16.415286554095278,179.32,19.406962773232515,188.74,14.711941560847636,216.52,1.2655562623057197,1.0042737094837983,3,102
26.42,9.109515097200426,4,41,57.02,1.0592642806809498,119.02,7.691739539457712,67.26,4.956175286386445,15.86,3.8651240178640323,-0.5019447779111644,4,998
95.375,45.145505497963654,12,158,114.375,35.69290312279646,26.8125,10.584383150031307,48.0,15.786069808536892,97.875,4.256367778595579,-9.244117647058818,1,16
210.94,31.72806007177822,158,256,210.48,21.841021131843462,83.1,15.98372897157402,73.8,17.77868478411891,148.22,16.63938038485318,1.4783673469387757,2,93
191.4,48.002125803266814,81,258,209.4,29.274213769745117,73.3,21.061862235242323,59.56,23.729048761002637,158.08,15.221949779907987,-3.039615846338536,1,128
298.6,17.951180962799736,265,325,180.12,3.6736235795303855,108.96,6.207171625775843,73.24,8.8975116906759,175.56,4.815620840725798,0.42103241296518484,2,288
158.78,23.18100031297623,122,207,61.38,10.544154004635429,49.78,11.126893326622703,31.78,5.311865808484522,40.14,16.333276412506674,-0.8637214885954376,1,556
385.88,29.210453817852574,354,453,129.18,5.317241881322477,152.64,8.118409414939075,112.8,11.353323706460301,147.34,9.921343720710908,1.8019687875150041,2,835
323.06,11.17287166419134,285,337,217.9,6.56288264190581,103.4,4.160062793874581,102.88,5.784003274337857,100.9,7.791282412584789,0.3540456182472983,3,331
206.4,66.93036283621772,99,322,204.0,16.085232167349997,66.1,17.87855858683404,70.5,14.375787467339743,93.32,13.521622894988816,-4.422569027611044,4,386
